nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6,  A7,  A8
 743,     1,  -8,  -4,  -4, -20,  -4,  -4,  -4,  -8,  92
 744,     1,  -6,  90,  -6,  -6, -26, -18,  -6,  -6,  -6
 745,     1,  -6,  -6,  -6,  -6, -30, -22,  -6, -18,  78
 746,     0, -23, -35, -11, -35, -27, -15, -11, -11, -31
 747,     1, -13,  -5, -17,  -5,  -5,  -5, -17,  -5,  83
 748,     1, -15,  -3,  -3, -11,  89,  -3,  -3,  -3,  -3
 749,     0, -35, -11, -35, -35, -11, -27, -15, -43, -31
 750,     1,  -9,  67, -37,  -9,  -9,  -9,  -9,  -9, -13
 751,     0, -18, -26, -10, -14, -10, -10, -26, -10, -42
 752,     1,  68, -16,  -8, -28, -36,  -8,  -8,  -8, -24
 753,     1,  -6,  70,  -6, -22, -22,  -6, -14, -26,  -6
 754,     1,  -7,  81,  -7,  -7, -23,  -7,  -7, -19,  -7
 755,     1, -24,  -8, -24,  -8,  -8, -28, -16,  76,  -8
 756,     1, -10, -10, -30, -42, -42, -10,  62, -34, -14
 757,     1,  73, -23,  -7, -11,  -7,  -7, -19, -19,  -7
 758,     1, -10, -10,  86,  -6,  -6,  -6, -10,  -6,  -6
 759,     1, -36, -32,  80, -32,  -8, -24,  -8,  -8, -24
 760,     1,  -5,  -5,  -5, -21,  -5,  83,  -5,  -5,  -5
 761,     1,  -9,  -9,  71, -25,  -9, -13,  -9, -25, -41
 762,     1,  73,  -7, -27,  -7, -35,  -7,  -7, -23,  -7
 763,     1,  -4,  -4,  -4,  80,  -4,  -4,  -4,  -8,  -4
 764,     1, -17,  -5,  79,  -9,  -5,  -5,  -5,  -5,  -5
 765,     1,  85,  -7,  -3,  -7,  -3,  -3,  -3,  -7,  -3
 766,     1,  82,  -6,  -6, -18,  -6,  -6,  -6,  -6,  -6
 767,     1,  87,  -9,  -9,  -9,  -9, -33,  -9, -21,  -9
 768,     1, -30,  82,  -6,  -6, -22, -10,  -6, -14, -26
 769,     1, -16,  84,  -4, -16, -20,  -4,  -4, -16, -12
 770,     1,  -5,  -5,  -5,  -5,  83, -25,  87,  -9,  -5
 771,     1,  -4, -16,  -4, -20,  -8,  -8,  92,  -4,  -8
 772,     1, -28, -32, -16,  -8,  72,  -8, -12,  -8,  -8
 773,     1, -17,  79,  -9,  -9,  -9,  -9, -25,  -9, -13
 774,     1,  -7,  -7,  89,  -7,  -7,  -7, -15,  -7, -19
 775,     1,  70, -42, -10, -10, -10,  54, -10, -42, -10
 776,     1,  67,  -9,  -9, -37, -41, -13,  -9, -25,  -9
 777,     1,  -8,  -4,  -4,  -4,  -4,  92,  -4,  -4,  -4
 778,     1, -15,  -3,  -3,  -3,  93,  -3,  -3,  -3,  -3
 779,     0, -30, -10, -10, -10, -10, -10, -10, -10, -38
 780,     1, -22,  -6,  -6, -26,  -6, -18,  -6,  -6,  90
 781,     1, -10,  -6, -10,  -6,  78,  -6,  -6,  -6, -18
 782,     1,  -4,  -4,  -8,  -4,  -4,  -4,  -4,  92,  -4
 783,     1,  -7,  69,  -7,  -7, -23,  -7, -23, -11,  -7
 784,     1,  -9, -41, -41, -13,  -9, -17,  -9,  -9,  67
 785,     0, -23, -19, -11, -11, -39, -43, -11, -11, -27
 786,     1,  -7, -35, -27,  -7,  69,  -7,  -7,  -7,  -7
 787,     1,  -6,  78, -22, -10,  -6, -22,  -6,  -6, -22
 788,     1,  -4,  -4,  84,  -4,  -4,  -4,  -4,  -4,  -4
 789,     1,  -9,  -9,  -9,  67,  -9,  -9, -17, -21,  -9
 790,     1,  84,  -4,  -4, -16,  -4,  -4,  -4, -16,  -4
 791,     1,  -3,  -3,  -3,  -3,  -3,  -7,  93, -11, -11
 792,     1,  -9,  63, -29,  -9,  -9,  -9,  -9, -37,  -9
 793,     1, -34, -10, -10,  54, -10, -10, -10, -10, -30
 794,     1,  -2,  -2,  -2,  -2,  -2, -10,  90,  -2,  -2
 795,     1,  -3,  -7,  -3,  89,  -3,  -3,  -3, -11,  -3
 796,     1,  73,  -7,  -7,  -7, -19,  -7,  -7,  -7,  -7
 797,     1, -14,  -6, -18,  -6,  -6,  70,  -6,  -6,  -6
 798,     1,  -3,  -3,  -7,  -3,  -3,  93,  -3,  -3,  -3
 799,     1, -18, -10, -22, -26, -18,  70, -26, -26,  -6
 800,     1,  -3,  -3,  85,  -3,  -3,  -3, -15, -11,  -3
 801,     0, -31, -11, -27, -11, -23, -11, -11, -11, -27
 802,     1, -18,  -6, -18,  -6,  -6,  -6,  -6,  86,  -6
 803,     1,  74,  -6,  -6, -26,  -6,  -6,  -6,  -6, -26
 804,     1, -10,  66, -10, -38, -46, -42, -14, -18, -42
 805,     1,  -9,  -5, -21,  87,  -5,  -5,  -5,  -5,  -5
 806,     1,  -9, -41, -29,  -9, -13,  -9,  -9,  59,  -9
 807,     1,  87,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5
 808,     1,  -7,  -7, -27, -27,  -7, -27,  81,  -7, -15
 809,     1, -41,  -9,  59,  -9,  -9,  -9, -33, -41, -37
 810,     1,  -8,  -8,  -8, -32,  68,  -8,  -8,  -8, -16
 811,     1,  -9,  -9,  -9, -33, -41,  -9, -41,  67,  -9
 812,     1, -20,  -4, -16,  -4,  -4,  -4,  -4,  -4,  92
 813,     1,  -6, -26,  78,  -6, -22, -14, -26, -14,  -6
 814,     1,  -6,  -6,  -6, -30,  90, -22,  -6, -26,  -6
 815,     1,  -6, -10,  -6, -10,  78,  -6,  -6,  -6,  -6
 816,     1, -11, -27,  -7,  65,  -7,  -7,  -7, -31, -27
 817,     1,  -6,  82,  -6,  -6,  -6, -18, -18,  -6, -18
 818,     0, -30, -14, -10, -34, -46, -10, -10, -42, -14
 819,     1, -10, -10, -34, -14, -30, -10,  66, -10, -10
 820,     1,  -3,  89,  -3,  -3,  -7,  -3,  -3,  -3,  -3
 821,     1,  -8, -16,  -8,  -8,  68,  -8, -28, -28,  -8
 822,     1,  67,  83,  -9, -29, -17,  -9,  -9,  -9, -33
 823,     0, -19, -15, -11, -11, -11, -19, -11, -15, -11
 824,     0, -11, -11, -43, -27, -31, -47, -11, -15, -43
 825,     1, -21,  83,  -5,  -5,  -5,  -5, -17,  -5, -13
 826,     1, -12,  -8,  -8, -28,  -8, -36,  -8,  -8,  68
 827,     1,  -9, -33,  -9,  -9, -37,  -9, -21,  -9,  75
 828,     1, -18,  -6,  -6,  82, -18,  -6, -14,  -6,  -6
 829,     1, -25, -29,  -9,  -9,  59, -25, -37,  -9,  -9
 830,     1,  -7, -11,  -7,  -7,  -7,  81,  -7, -19, -11
 831,     0, -11, -11, -43, -43, -11, -11, -11, -31, -35
 832,     1, -33,  -9,  -9,  -9,  67, -21,  -9, -37, -29
 833,     1,  -7,  -7,  -7,  69, -27,  -7,  -7, -15, -19
 834,     1, -21,  79,  -5,  -5,  -5,  -5,  -9,  -5, -13
 835,     0, -43, -19, -11, -11, -11, -15, -11, -11, -39
 836,     1, -27, -23,  -7, -27, -11, -35,  -7, -31,  77
 837,     1,  -8, -32,  -8, -16,  -8, -24, -20,  -8,  72
 838,     1,  -9, -21, -13, -41,  -9, -41,  -9,  79,  -9
 839,     1,  -7, -15,  69,  -7, -11, -27,  -7, -19,  -7
 840,     1, -10, -10, -42,  58, -10, -38, -26, -10, -10
 841,     1,  -7, -19,  -7,  77, -11,  -7,  -7, -23,  -7
 842,     1,  62, -10, -10, -10, -10, -34, -10, -38, -34
 843,     1,  -5,  -5,  -5,  -5,  -5,  83,  -5,  -5, -17
 844,     1,  71,  -9, -13, -33,  -9,  -9,  -9,  -9,  -9
 845,     1, -30,  -6, -10,  -6,  78,  -6,  -6,  -6, -14
 846,     1,  -6, -18,  74,  -6, -10, -14,  -6, -10, -18
 847,     1, -10,  -6,  82,  -6,  -6,  -6,  -6,  -6, -26
 848,     1,  -8, -12,  -8,  -8, -40, -28,  60,  -8, -20
 849,     1, -36, -36,  -8,  84,  -8,  -8, -36, -28, -12
 850,     1,  -2,  -2,  -2,  -2,  -2,  -2,  90, -10,  -2
 851,     1,  -4,  -8,  88,  -4,  -4,  -4,  -4,  -4, -16
 852,     1,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  83,  -9
 853,     1, -17,  -9,  79, -25,  -9,  -9, -21, -41,  -9
 854,     1, -17,  -5,  -5, -17,  -5, -13, -17, -21,  83
 855,     1,  -9, -21,  -9,  -9,  -9,  -9,  67,  -9,  -9
 856,     1,  -4,  -4,  -4, -20,  84,  -4,  -4, -16,  -8
 857,     1, -25,  -9,  71,  -9, -21, -17,  -9,  -9, -17
 858,     1,  -5, -21,  -5,  91,  -9,  -5,  -5, -21, -21
 859,     1,  -2,  94,  -6,  -2,  -6,  -2,  -2,  -2,  -2
 860,     1, -37,  -9, -41,  -9,  67,  -9, -17,  -9, -41
 861,     1,  83,  -5,  -5,  -5, -21, -25,  -5,  -5, -13
 862,     1,  -7, -19,  -7,  -7, -19,  -7,  -7,  89,  -7
 863,     1,  -6, -22, -14, -10,  -6,  -6,  -6,  78,  -6
 864,     1,  -7,  -7, -31,  -7,  -7,  65, -23, -15, -15
 865,     1,  -3,  -3,  -3,  -3,  -3,  -3, -15, -11,  93
 866,     1, -12,  -4,  -4,  -4,  -4,  84,  -4,  -4,  -4
 867,     1,  -5,  -5,  -5,  -5,  -5,  -5,  83,  -5, -17
 868,     1,  -8,  -4,  -4, -16, -12,  84, -16, -16,  -4
 869,     1,  -9, -33,  -9,  -9,  -9,  59, -29, -41, -33
 870,     1, -20, -20,  84, -32,  -8,  -8,  -8,  -8,  -8
 871,     1, -42,  70, -26, -26, -14, -38, -10, -10, -10
 872,     1,  -7,  -7, -27, -11, -15,  -7,  -7,  73,  -7
 873,     1,  94,  -2,  -2,  -2,  -2,  -2,  -6,  -2,  -2
 874,     1,  -4,  -4,  84,  -4, -16, -12,  -4,  -4,  -4
 875,     1,  -6,  -6, -18, -22,  -6,  -6,  70, -26, -10
 876,     1, -11,  -7,  -7, -35, -31, -35,  81,  -7, -27
 877,     1,  -9,  -9, -37,  -9,  -9,  63,  -9,  -9, -41
 878,     1,  -7,  -7,  73, -27,  -7,  -7, -15,  -7,  -7
 879,     1,  84,  -4,  -4, -20,  -4,  -4,  -4,  -8, -16
 880,     1,  92, -16,  -4,  -4,  -4,  -4,  -8,  -4,  -4
 881,     1, -10, -22,  -6, -22,  -6,  -6,  78,  -6, -30
 882,     0, -31, -35, -11, -11, -11, -15, -11, -43, -31
 883,     1,  -7,  -7,  -7, -27, -23,  81,  -7,  -7,  -7
 884,     1,  -8,  -8, -32, -32,  -8, -12,  -8,  -8,  60
 885,     1,  -7,  -7,  -7, -23, -15,  -7,  -7,  -7,  69
 886,     1, -15, -11,  -7, -19, -11,  -7, -11,  81, -31
 887,     1,  -9,  -9,  -9,  -9, -13,  -9,  -9, -33,  59
 888,     1, -41,  -9,  -9, -17, -37,  -9,  71, -13, -29
 889,     1, -12,  -8,  -8, -36, -20,  -8, -12,  64,  -8
 890,     1,  -6,  -2,  -2,  -2,  -2,  -6,  90,  -2,  -2
 891,     1,  -4,  -4,  -4,  -4, -16, -20,  -4,  88, -12
 892,     1,  -6, -10, -22, -22, -14, -14, -22,  86,  -6
 893,     1,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  91,  -5
 894,     1,  -7,  -7,  -7, -19, -19,  -7,  -7,  77, -19
 895,     1, -12, -16,  -4,  -4,  92,  -4,  -4, -12,  -4
 896,     1,  90,  -6, -18, -26, -22,  -6,  -6,  -6,  -6
 897,     1, -31, -35,  -7,  -7,  -7, -35,  -7, -27,  69
 898,     1,  -9, -41,  -9,  -9, -33,  67, -41,  -9, -13
 899,     1,  -9, -41,  -9, -41,  -9, -41, -29,  67,  -9
 900,     1,  -4,  -4,  -4,  -4,  92,  -4, -20,  -4,  -8
 901,     1, -17, -13,  -9, -37,  71, -13,  -9,  -9,  -9
 902,     1,  -6, -14,  -6, -26,  -6, -10, -10,  -6,  86
 903,     1, -20,  -4, -16,  -4,  -4,  -4, -20,  -4,  84
 904,     1,  -4,  -4,  -8,  -4,  -4,  92,  -4, -16, -12
 905,     1,  -4,  -4,  -4,  -4,  -4,  92,  -4,  84,  -4
 906,     1,  49, -11, -43, -43, -31, -31, -43, -11, -11
 907,     1, -10, -30, -22,  -6,  -6,  -6, -26,  -6,  90
 908,     1, -11,  -7,  -7, -31,  -7,  -7,  -7,  -7,  89
 909,     1,  -5, -17,  -5,  -5,  79, -13,  -5,  -9,  -5
 910,     1,  -8,  -8, -32, -20,  -8, -24, -24,  72, -16
 911,     1,  -7,  -7, -27,  -7,  -7,  -7,  73, -11,  -7
 912,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  -6,  94
 913,     1,  -5,  -5,  -5, -17,  79,  -5,  -5, -13, -17
 914,     1, -15,  -3,  -3,  -3,  -3,  -3,  89,  -3,  -3
 915,     1, -18, -14, -10,  58, -10, -18, -10, -26, -10
 916,     0, -11, -11, -11, -43, -11, -15, -11, -11, -11
 917,     0, -11, -15, -11, -15, -43, -23, -15, -11, -23
 918,     1,  -4,  -4, -12,  -4,  -4,  -4,  -4, -12,  84
 919,     1,  -5, -17,  -5,  -5, -21,  -9,  83,  -5,  -5
 920,     1, -26, -10, -26, -10, -42, -34, -10, -10,  54
 921,     1,  -8, -12, -16, -16,  60,  -8,  -8,  -8, -40
 922,     1, -30,  -6, -14,  -6,  90,  -6, -26,  -6,  -6
 923,     1,  -6,  -6, -22,  82,  -6,  -6, -22,  -6, -26
 924,     1,  -8,  68, -36, -20, -12, -28, -40,  -8, -24
 925,     1,  89,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -3
 926,     1,  -9, -29,  -9,  -9, -33,  -9,  -9,  -9,  79
 927,     1,  -7,  -7,  -7,  89,  -7, -19, -23,  -7,  -7
 928,     0, -11, -27, -31, -23, -11, -11, -11, -31, -23
 929,     1,  -5, -25,  -5,  -5, -21,  -5,  -5,  87,  -5
 930,     1,  -9,  -9,  -9,  -9,  -9,  -9, -25,  -9,  75
 931,     1, -17,  -5,  -5,  -5,  83,  -5,  -5, -13,  -5
 932,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2, -10,  90
 933,     1,  -9,  -9,  -9, -13, -41,  -9, -17,  59, -13
 934,     1,  -4,  80, -16,  -4,  -4,  -4,  -4,  -4,  -4
 935,     1,  -5,  -5,  -5,  -5,  -5,  -5, -13,  83,  -5
 936,     1,  -7,  -7, -15,  65, -15,  -7,  -7,  -7, -15
 937,     1,  -4, -12,  -4,  -4,  -4,  -4, -12,  84,  -4
 938,     0, -11, -39, -11, -11, -35, -11, -11, -11, -43
 939,     1,  -8, -20, -20,  -8,  -8,  64, -20, -32, -24
 940,     1, -17,  -5,  -5, -21,  -5,  83,  -5,  -9, -21
 941,     1, -12,  72, -12, -20,  -8, -24, -12,  -8,  -8
 942,     1, -14,  -6,  -6,  -6, -10,  -6,  90,  -6,  -6
 943,     1,  -6, -22,  -6,  -6,  86, -26,  -6, -14,  -6
 944,     1, -16,  -4, -16,  80,  -4,  -4,  -4,  -4,  -4
 945,     1,  -3,  -3,  -3,  93,  -3,  -3,  -3,  -3,  -3
 946,     1, -15,  -7,  -3,  -3,  -3,  89, -11,  -3,  -3
 947,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  80,  -4
 948,     1,  -2,  -2,  -6,  -6, -10,  94,  -2,  -2,  -2
 949,     1,  71, -37,  -9,  -9, -33, -29,  -9, -13, -41
 950,     1,  -4,  -4,  -4,  -4, -16, -16,  80, -16,  -4
 951,     1,  -2,  -2,  94,  -2,  -2,  -2,  -2,  -2,  -6
 952,     1, -10, -42,  58, -10, -10, -10, -30, -42, -42
 953,     1, -30, -18,  -6,  82, -26,  -6,  -6,  -6, -22
 954,     1, -17,  79,  -9, -21,  -5,  -5,  -5,  -5, -21
 955,     1, -21, -13,  -5,  -5,  -9,  -5, -25,  87,  -5
 956,     1,  -9,  67, -33, -25,  -9,  -9, -13, -13,  -9
 957,     1,  -7,  -7, -11,  77,  -7,  -7,  -7,  -7,  -7
 958,     1,  -4,  -4,  -4,  -4,  -4,  -4,  80,  -4, -12
 959,     1, -11, -27,  -7,  69,  -7, -19,  -7, -27,  -7
 960,     1,  -2,  -2,  -2,  -2,  94,  -2,  -2,  -2,  -2
 961,     1,  -5,  -5,  -5,  87,  -5,  -5,  -5,  -5, -17
 962,     1,  -7,  -3,  -7,  -7,  -3,  93,  -7,  -3,  -3
 963,     0, -11, -11, -15, -11, -19, -47, -15, -11, -11
 964,     1, -18,  -6, -22,  -6, -18, -10,  -6, -10,  78
 965,     1,  -7,  -7,  -7,  -7,  -7,  69, -15, -27,  -7
 966,     1, -26,  -6,  86, -22,  -6,  -6, -26, -30,  -6
 967,     1,  -5,  -5,  83,  -5, -25, -25, -17, -13,  -5
 968,     0, -11, -11, -31, -19, -43, -19, -19, -11, -11
 969,     1,  -9,  71,  -9,  -9,  -9, -33, -41, -41, -37
 970,     1,  -3,  -3,  -3,  -3,  -3,  -7,  -3,  85,  -3
 971,     1,  -6, -22, -18,  74, -30,  -6,  -6,  -6,  -6
 972,     0, -11, -11, -43, -11, -11, -11, -15, -11, -43
 973,     1, -16, -16,  88,  -4,  -4,  -4,  -8,  -4,  -4
 974,     1,  -7,  69, -23,  -7,  -7,  -7, -23,  -7,  69
 975,     1,  -6,  90, -22, -14,  -6,  -6, -14,  -6, -14
 976,     1,  -8, -28, -36,  -8, -28,  -8, -20, -28,  80
 977,     0, -11, -43, -11, -19, -19, -39, -35, -39, -31
 978,     1,  -5, -17,  -5,  -5,  -5,  -5,  87, -17,  -5
 979,     1, -12,  -8, -20,  -8, -32, -36,  -8, -24,  64
 980,     1,  -8,  -4,  -4,  -4,  -4,  -4,  -4, -16,  84
 981,     1,  -7, -35,  73,  -7,  -7,  -7,  -7,  -7, -15
 982,     1,  -6, -22, -30, -22, -22,  -6,  -6,  90, -26
 983,     1, -23, -15,  -7, -23,  -7,  65,  -7, -27, -15
 984,     1,  -7,  -7,  -7, -31,  -7,  -7,  -7,  -7,  81
 985,     1, -11,  -7, -35,  81,  -7, -11, -27,  -7,  -7
 986,     1,  -4,  -4,  -4, -20,  -4,  88,  -4,  -4,  -4
 987,     1,  -6, -14,  -6, -18, -26,  -6,  90, -30, -26
 988,     1,  -6,  -6,  -6,  -6,  90,  -6,  -6,  -6,  -6
 989,     1, -16,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  92
 990,     1,  -9, -21,  -5,  -5,  -5,  -5,  83, -21,  -5
 991,     1,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  78,  -6
 992,     1,  -7,  -7, -31,  -7,  -7, -15, -23,  -7,  77
 993,     1, -11, -11,  -3,  93,  -3,  -3,  -3,  -7,  -3
 994,     1,  -6,  -6,  -6,  -6,  82,  -6, -10, -14, -22
 995,     1,  -6,  -6,  82,  -6,  -6, -18,  -6,  -6,  -6
 996,     1, -18, -34, -10, -10, -10, -10,  54, -10, -10
 997,     1,  -6, -10,  74, -14, -22, -10, -22, -30,  -6
 998,     1,  -9, -29,  -9,  -9,  -9, -37,  -9,  -9,  83
 999,     1,  -5, -25,  -5, -17,  83,  -5,  -5,  -5,  -5
