nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y,  A4x,  A4y,  A5x,  A5y,  A6x,  A6y,  A7x,  A7y,  A8x,  A8y,  A9x,  A9y,  A10x,  A10y,  A11x,  A11y,  A12x,  A12y,  A13x,  A13y,  A14x,  A14y 
 496,    0,   65,    0,   57,   11,   54,   11,   65,   11,   62,    1,   46,   11,   65,   11,   62,   10,   41,   11,   57,    0,   24,    1,   57,    0,   36,    0,   26,    1,   43
 497,    0,   35,   11,   60,    1,   40,   10,   63,    0,   44,   10,   56,   10,   43,    0,   64,   10,   43,    1,   37,   11,   54,   11,   56,   11,   62,   11,   55,    0,   57
 498,   10,   53,   11,   65,   10,   65,   11,   65,   10,   37,    0,   48,    0,   37,   11,   64,    0,   54,   11,   63,   11,   65,   10,   45,    1,   35,   10,   38,    1,   62
 499,   11,   57,    0,   43,    0,   28,    1,   56,    0,   20,   10,   55,   11,   65,   10,   56,    1,   31,    0,   64,   10,   38,    0,   24,   10,   57,    0,   36,   10,   43
 500,   10,   45,   10,   53,   10,   39,   11,   58,    0,   54,   11,   56,    1,   43,    1,   33,   10,   64,   10,   62,    0,   43,   10,   62,    1,   52,   10,   50,    1,   19
 501,    1,   39,   11,   62,    1,   15,    0,   54,    0,   57,   11,   56,    1,   36,   10,   58,    0,   23,    0,   51,    1,   17,   11,   55,   11,   63,    0,   47,    1,   29
 502,   11,   57,    1,   42,    1,   42,   10,   56,   11,   54,   10,   64,   11,   60,    0,   33,   10,   58,    1,   56,   11,   65,   10,   52,   11,   64,    0,   37,   11,   55
 503,    1,   40,   10,   51,    1,   60,    0,   29,    0,   62,   11,   57,    1,   42,    0,   57,   10,   41,    1,   20,    0,   21,   11,   59,   11,   63,    0,   58,    0,   62
 504,   11,   65,   10,   42,    0,   56,   11,   60,    0,   28,    1,   23,   11,   64,    1,   48,    0,   50,   11,   55,    0,   21,   11,   65,    1,   48,   10,   38,   11,   56
 505,    0,   31,   11,   65,    1,   30,   10,   58,    0,   62,    1,   21,    0,   58,   11,   61,    0,   27,   11,   62,   11,   60,    0,   25,    1,   41,   11,   61,   11,   65
 506,    1,   30,   10,   55,    1,   34,   11,   57,   11,   54,    1,   56,   11,   55,   11,   61,   11,   65,   10,   64,    0,   20,    0,   60,   10,   39,    0,   20,    1,   23
 507,   10,   44,   11,   60,   10,   52,    1,   23,    0,   38,    0,   18,    0,   64,    0,   42,   10,   42,    0,   53,    1,   65,   10,   37,    0,   47,    1,   16,   11,   65
 508,   11,   63,    1,   12,    1,   14,   10,   50,   11,   65,    0,   38,    0,   50,   10,   65,    0,   59,    1,   31,   11,   59,   10,   64,   11,   59,    0,   36,   10,   42
 509,    0,   23,    1,   62,   11,   65,   10,   50,   11,   61,   10,   45,   11,   65,   11,   63,   11,   60,    1,   52,    0,   37,   10,   51,    0,   42,   11,   55,    0,   35
 510,   10,   59,   10,   38,    0,   52,    0,   36,   10,   41,   10,   52,    1,   16,    1,   38,   11,   54,   10,   43,    0,   24,    0,   21,    1,   27,    1,   45,   10,   53
 511,    0,   22,   11,   65,    0,   46,    0,   22,    0,   53,   10,   47,   11,   55,   11,   58,   10,   36,    0,   44,    0,   33,    0,   23,   11,   56,   11,   64,    0,   60
 512,    0,   26,    0,   27,   11,   55,    0,   32,   10,   63,   10,   59,    1,   46,    1,   50,    1,   15,   11,   58,    0,   65,    0,   33,    0,   49,    0,   49,    1,   28
 513,    0,   22,   10,   57,    0,   48,    1,   60,    0,   38,   10,   54,   11,   58,    1,   35,   11,   56,    0,   22,   10,   63,   11,   64,    1,   47,    1,   25,    1,   26
 514,   10,   45,   10,   54,   10,   44,   11,   57,   10,   62,   11,   56,    0,   33,   10,   37,    0,   33,    1,   46,   11,   54,   10,   44,    0,   27,    0,   55,   11,   57
 515,    0,   37,    0,   19,   11,   60,    1,   33,   10,   53,   10,   42,   10,   57,    1,   12,   11,   62,   11,   55,   11,   57,   11,   64,   11,   63,    0,   63,   10,   44
 516,    1,   59,   10,   52,   11,   65,    1,   15,   11,   56,   10,   61,   11,   54,   10,   56,    1,   44,    0,   27,   11,   57,   10,   56,   10,   44,   10,   37,   10,   39
 517,   11,   62,    0,   41,    1,   15,   10,   41,    1,   16,    0,   49,    1,   12,   10,   58,    0,   54,   10,   42,    0,   52,    0,   51,   11,   61,   11,   58,   11,   61
 518,   11,   59,   10,   48,   10,   41,    0,   58,    0,   34,   11,   60,    0,   39,   11,   59,   10,   48,   11,   62,    1,   28,   10,   45,   10,   58,   11,   64,   10,   46
 519,    0,   38,    1,   27,   10,   60,   11,   65,   11,   56,    1,   64,   10,   53,    0,   45,    1,   15,    1,   63,   11,   62,   10,   58,    1,   25,    1,   37,    1,   28
 520,   10,   60,   11,   56,    0,   30,    0,   21,    1,   63,   11,   58,    0,   29,    0,   63,    0,   56,    1,   30,   10,   39,   10,   58,    0,   40,   11,   63,   10,   53
 521,   11,   59,    1,   57,    0,   26,    1,   48,   11,   54,    0,   18,   10,   63,    0,   63,   11,   60,   11,   56,   10,   54,   11,   56,    0,   55,   11,   62,    0,   21
 522,    0,   30,   10,   52,    0,   53,   11,   62,   10,   58,    0,   58,   11,   55,   11,   59,    1,   56,   10,   61,   10,   63,   10,   42,    0,   41,   11,   61,    1,   49
 523,    1,   40,    0,   40,    1,   27,   10,   56,    1,   20,    1,   59,    0,   26,   10,   42,   11,   55,    1,   53,   10,   41,    1,   65,    1,   15,    0,   54,   11,   58
 524,    1,   35,    0,   45,    1,   42,    0,   38,    1,   31,    1,   49,   10,   39,    1,   50,    0,   23,    0,   50,    0,   30,   11,   62,   11,   59,    0,   53,   11,   64
 525,   10,   39,    0,   40,   11,   55,    0,   62,   10,   48,    1,   60,   10,   36,   10,   54,    1,   49,   10,   52,   10,   47,    1,   13,   10,   61,   11,   57,   10,   63
 526,    1,   47,   10,   40,    1,   52,   10,   41,    0,   25,    0,   53,    1,   55,    1,   25,   11,   54,    1,   61,    1,   48,   10,   64,   10,   55,    1,   12,   10,   45
 527,   11,   64,   11,   63,   11,   61,    1,   61,   10,   44,    0,   25,    0,   26,    0,   46,    0,   64,    1,   45,   11,   60,   11,   61,   10,   65,    0,   30,   10,   52
 528,    0,   27,    1,   40,    0,   65,   11,   63,    0,   54,   11,   63,   10,   43,   10,   58,    1,   31,    0,   64,   10,   36,   10,   63,   11,   59,    0,   37,   11,   57
 529,    0,   36,   10,   52,   10,   40,   10,   57,   11,   58,   11,   65,    0,   55,   10,   38,   11,   54,   10,   38,    0,   41,    1,   43,   11,   57,   10,   47,    0,   49
 530,   10,   64,    0,   61,    0,   47,   11,   60,    0,   50,   11,   63,   10,   61,   11,   54,   11,   59,   10,   60,   11,   64,   10,   51,   11,   56,    1,   31,   10,   47
 531,    0,   62,   10,   48,   11,   65,   10,   44,   10,   49,   11,   64,    0,   18,    0,   33,   10,   42,    0,   20,    0,   24,   11,   60,    0,   65,   10,   53,   10,   59
 532,    1,   61,    0,   45,    1,   65,    1,   61,    1,   12,   10,   44,    0,   43,    1,   46,    1,   33,   11,   59,   10,   36,   10,   54,   10,   56,   11,   64,   11,   61
 533,   10,   40,    0,   65,   10,   61,   11,   59,    1,   29,   10,   64,   11,   55,   10,   47,    1,   17,   11,   59,    1,   53,   11,   61,    1,   25,   10,   46,   10,   39
 534,   11,   64,   10,   45,    1,   43,    1,   49,    1,   27,    0,   59,    1,   12,    1,   52,   10,   47,    1,   35,   10,   65,   11,   55,   11,   57,    1,   64,   10,   37
 535,   11,   64,    0,   29,   11,   65,    1,   26,   11,   65,   10,   40,    1,   64,   11,   57,   10,   49,    0,   48,    0,   37,    0,   63,   11,   65,   11,   61,    1,   36
 536,    0,   25,    1,   32,   11,   56,    0,   36,    1,   34,    1,   17,    1,   26,    0,   62,    1,   30,   11,   62,    0,   56,    0,   33,   11,   64,    1,   47,   11,   59
 537,   10,   65,   11,   63,    0,   33,   10,   45,    1,   24,    0,   50,   11,   63,   11,   56,   11,   60,    0,   41,   10,   42,    1,   64,    1,   48,    1,   65,   11,   55
 538,    1,   25,   11,   59,   10,   59,   11,   61,    1,   45,    1,   61,   11,   62,    1,   44,   10,   43,    0,   46,   11,   65,   10,   40,   11,   58,    0,   45,   10,   58
 539,    1,   20,    1,   21,   11,   58,   10,   60,    1,   13,    0,   37,   10,   42,   10,   54,    0,   33,   10,   59,   11,   63,    0,   50,   10,   49,   11,   55,   10,   41
 540,   11,   64,    0,   29,    0,   51,   10,   52,    1,   26,    1,   26,    1,   49,    0,   60,    1,   63,   11,   64,   11,   59,    0,   62,    1,   63,   11,   58,    0,   64
 541,    1,   17,   11,   57,    1,   57,    0,   63,   10,   41,   11,   61,    0,   48,    0,   36,    0,   60,    1,   39,   11,   63,    0,   43,    1,   45,   11,   64,   10,   36
 542,   10,   56,   11,   54,    1,   31,   10,   43,    0,   48,    1,   25,    0,   65,   10,   43,    1,   13,   11,   58,    0,   60,    0,   23,   11,   63,    0,   27,   10,   39
 543,   10,   55,    1,   58,   11,   55,   11,   54,   10,   52,    0,   28,    0,   26,    0,   26,   10,   43,   10,   62,   10,   41,    0,   52,    0,   57,   11,   61,    1,   25
 544,   10,   39,    1,   56,   10,   56,   10,   40,   10,   52,   11,   60,   11,   65,    0,   44,   11,   63,    1,   64,    0,   44,    0,   40,    0,   22,    1,   61,    1,   18
 545,   11,   65,   10,   50,   10,   49,    0,   48,    0,   27,    0,   49,   11,   64,    1,   13,    0,   61,    0,   19,    1,   34,   10,   42,    1,   43,   10,   41,    0,   25
 546,    0,   30,    1,   23,   11,   65,   11,   61,    1,   12,   11,   59,   10,   40,   10,   48,    0,   52,    0,   34,   11,   55,    1,   12,   11,   54,    0,   26,    1,   43
 547,   10,   44,   10,   62,   10,   36,    0,   51,   11,   58,    0,   34,   11,   61,   11,   57,   10,   53,    0,   44,    1,   34,    1,   12,    0,   31,   11,   55,   10,   36
 548,   10,   55,    1,   30,    1,   21,   10,   59,    1,   57,    0,   50,    1,   58,    1,   38,   10,   41,   10,   48,   10,   48,    1,   49,    0,   22,    0,   32,    0,   26
 549,    0,   24,    1,   24,   11,   65,   11,   62,    0,   29,    1,   17,   10,   54,    1,   39,    1,   13,   10,   53,    1,   36,    1,   60,    1,   59,   11,   55,   11,   61
 550,    1,   43,    1,   13,    1,   43,    0,   57,   11,   59,    1,   50,   11,   61,    1,   54,    0,   34,    1,   14,   10,   59,    1,   45,   11,   63,   11,   57,   11,   60
 551,   11,   58,   11,   58,   11,   54,   11,   58,   11,   58,    1,   23,    0,   62,   11,   57,   10,   63,    1,   44,   10,   51,   10,   39,    0,   32,   10,   47,    0,   56
 552,    1,   32,   10,   59,    0,   28,    0,   52,   10,   41,   10,   46,    0,   62,   11,   65,   10,   60,    0,   50,    0,   34,   10,   51,   11,   57,   10,   47,   11,   60
 553,    1,   32,   10,   64,    1,   43,    1,   42,   11,   59,   10,   56,    0,   43,    0,   44,   10,   53,    0,   44,   11,   54,    0,   37,   10,   40,    0,   18,   10,   38
 554,    0,   36,   11,   64,   10,   47,    1,   48,    0,   40,   11,   60,   11,   62,   10,   52,   11,   60,    1,   33,   11,   61,   11,   57,   10,   59,   10,   63,    1,   59
 555,    1,   14,    1,   17,    1,   62,   10,   53,    1,   46,   10,   52,   11,   56,    1,   36,   11,   58,   10,   41,   11,   63,   11,   55,    1,   19,    0,   52,    1,   38
 556,   11,   54,    1,   51,    1,   64,    1,   35,   11,   56,    1,   13,    0,   45,   10,   53,   10,   52,   11,   55,   11,   65,   11,   58,   11,   56,   11,   57,   10,   47
 557,    1,   57,    1,   27,    1,   24,    1,   49,    0,   33,    1,   37,    0,   23,   10,   37,    0,   26,    0,   45,   11,   57,   11,   55,   10,   54,    0,   35,   11,   58
 558,   10,   39,   11,   61,    0,   38,   11,   56,    1,   21,    0,   34,   11,   57,    1,   42,    1,   59,   10,   63,    0,   45,    0,   43,    0,   55,    0,   28,   10,   54
 559,   10,   37,   10,   36,    0,   25,    0,   36,    1,   13,    0,   48,    0,   58,   11,   56,    0,   30,   10,   47,    1,   24,    1,   14,   10,   44,   10,   45,   10,   58
 560,    1,   18,   10,   65,    0,   20,   10,   47,   11,   55,    0,   42,   11,   59,    1,   21,   11,   65,    0,   42,   11,   61,    0,   56,   10,   40,   11,   56,    1,   59
 561,   10,   56,   11,   62,   11,   59,   10,   53,   10,   40,    1,   29,   11,   56,    0,   32,   10,   53,   11,   64,   10,   42,    1,   22,   10,   43,   11,   64,    1,   34
 562,    0,   64,    1,   31,   10,   54,   11,   62,   10,   59,   11,   58,    0,   22,   11,   59,    1,   59,    1,   35,    1,   23,   11,   63,   11,   55,   10,   41,   11,   58
 563,   11,   56,    1,   23,    1,   24,    1,   48,    0,   42,    0,   60,   10,   62,   10,   52,    1,   32,   11,   58,   10,   50,   10,   49,   11,   59,   11,   58,    1,   16
 564,   10,   56,   10,   46,   11,   59,   10,   54,   11,   61,    0,   35,    1,   43,   11,   63,   10,   44,    0,   49,   10,   52,   10,   63,    1,   24,   10,   36,    0,   24
 565,   10,   60,   11,   62,   11,   58,   11,   64,   11,   65,   11,   62,    1,   29,   10,   51,   10,   42,    0,   39,    1,   38,    1,   31,    1,   39,   11,   60,   10,   41
 566,    0,   25,    0,   38,   10,   46,    1,   42,    0,   62,    0,   37,   11,   54,    1,   38,    1,   43,    1,   22,   11,   54,    0,   61,    1,   38,   11,   64,    0,   64
 567,   10,   65,    0,   63,   11,   61,    0,   21,    1,   40,   11,   55,   11,   58,    0,   43,   10,   55,   10,   59,   11,   62,   11,   57,    1,   19,    1,   24,    1,   17
 568,   10,   46,   10,   42,   10,   56,   11,   59,    1,   13,    1,   47,   11,   64,    1,   52,    0,   64,    0,   56,    1,   25,    1,   21,    1,   27,    0,   37,    0,   60
 569,   10,   39,   10,   42,    1,   13,    0,   18,   11,   63,    0,   45,   11,   57,   11,   60,    1,   23,   10,   56,    1,   24,   10,   45,   10,   36,    0,   29,   11,   56
 570,   11,   56,    0,   28,   11,   58,    0,   51,   10,   41,   10,   56,    1,   26,   11,   56,   11,   56,    1,   35,    0,   45,    1,   14,    0,   62,    1,   49,    0,   45
 571,   10,   54,   10,   50,   10,   42,    0,   38,   11,   62,   11,   57,   10,   52,   10,   49,    0,   51,   11,   61,    1,   60,    1,   61,   10,   49,   11,   58,   10,   41
 572,    1,   41,   11,   55,   10,   43,    1,   39,    1,   46,    1,   48,    1,   48,    0,   29,   10,   63,   10,   36,   10,   36,   11,   57,   10,   50,    1,   26,   10,   48
 573,   10,   61,   11,   59,    0,   47,   10,   38,   11,   57,   11,   55,    1,   35,    0,   35,    0,   24,   11,   63,   11,   56,    1,   52,   11,   62,    1,   62,    1,   25
 574,    1,   19,    0,   22,   11,   62,   10,   48,    0,   27,   11,   60,    0,   42,    0,   64,    1,   53,   10,   55,   11,   61,   11,   55,   11,   59,   11,   59,    1,   44
 575,    1,   33,   10,   43,    1,   31,    1,   24,   11,   55,   10,   62,   11,   59,    0,   44,   11,   56,   10,   43,    1,   47,   11,   54,    0,   59,   10,   50,    0,   21
 576,    1,   58,   11,   58,   10,   48,    0,   29,    1,   15,    0,   60,   10,   46,   11,   56,    0,   58,   11,   65,    0,   59,   11,   64,    1,   29,   11,   57,   11,   57
 577,    0,   59,   11,   62,   11,   59,   11,   61,    0,   39,   11,   63,   11,   57,   11,   57,    0,   22,    0,   56,   10,   48,   10,   48,   11,   61,    0,   36,   10,   53
 578,   10,   43,    0,   28,   11,   57,   11,   61,   10,   40,   10,   54,   10,   41,    1,   57,   11,   60,    1,   46,   11,   62,   10,   39,    1,   14,   10,   63,    1,   40
 579,   10,   44,    0,   25,    0,   23,    0,   50,   11,   65,   10,   40,    1,   45,    1,   65,   11,   56,   11,   65,    0,   47,    1,   38,   10,   39,    1,   50,    0,   21
 580,    0,   40,   10,   43,   11,   57,   10,   39,   11,   57,    1,   37,    0,   37,   10,   47,   10,   59,   10,   54,   10,   45,   11,   55,    1,   59,   11,   65,    1,   20
 581,   10,   38,    0,   55,    1,   31,    0,   40,   11,   64,    0,   65,   11,   63,   10,   58,    0,   63,   10,   64,    0,   22,   11,   63,    0,   55,   10,   60,    1,   61
 582,   11,   63,    0,   39,    0,   42,   11,   61,    0,   63,    0,   53,   11,   56,    1,   19,   11,   56,   11,   55,    0,   51,   10,   45,   10,   36,   10,   62,    0,   42
 583,   11,   62,   10,   52,   11,   59,    1,   40,    0,   41,    1,   42,   11,   62,    1,   21,   11,   54,    0,   54,   11,   65,    0,   61,    1,   55,    0,   54,    1,   26
 584,   10,   39,   11,   60,   11,   65,   11,   55,   10,   41,   10,   64,    0,   24,   10,   45,   10,   44,   10,   40,   11,   59,   11,   65,   11,   58,   10,   48,   10,   45
 585,    1,   60,    0,   38,    0,   42,   11,   61,   10,   37,    1,   24,    1,   24,    0,   38,   10,   44,   10,   48,   11,   62,    1,   52,   10,   52,   10,   54,    1,   54
 586,   10,   57,    0,   18,    0,   53,    1,   32,    0,   43,    1,   37,    1,   39,    0,   19,    0,   57,    1,   62,   10,   53,    0,   29,   11,   65,   11,   61,   10,   63
 587,   10,   43,   11,   62,    1,   57,    1,   30,    1,   33,   11,   54,   11,   59,   10,   62,   11,   55,    1,   31,    0,   45,   11,   64,   11,   59,    1,   30,   10,   54
 588,    1,   12,   11,   60,   11,   59,    1,   58,    0,   45,    0,   18,    0,   41,   10,   37,    0,   24,    0,   38,    1,   29,   10,   42,   10,   63,   11,   54,    0,   60
 589,    1,   20,   11,   64,   11,   54,   10,   58,   11,   61,   10,   47,    0,   36,    0,   38,    1,   60,   10,   56,    0,   38,    1,   46,    1,   56,   10,   50,    0,   26
 590,   10,   40,    1,   31,   10,   43,    1,   20,   10,   61,   10,   42,   10,   43,    0,   50,   11,   65,    0,   48,    1,   38,    0,   38,   11,   61,   11,   55,    0,   45
 591,   11,   63,    1,   23,   10,   63,    0,   46,   10,   64,   11,   60,   11,   61,   11,   64,   11,   65,   10,   53,   10,   47,    0,   47,    1,   58,   11,   54,    0,   24
 592,    0,   21,   11,   56,    0,   33,   11,   62,   11,   61,   10,   49,    0,   19,   11,   63,   11,   62,    0,   38,   10,   65,   10,   58,   11,   64,   11,   59,    0,   38
 593,    0,   39,    1,   44,   11,   65,   11,   60,   11,   63,    0,   55,    1,   40,    0,   53,    1,   30,    0,   48,   10,   58,   10,   60,   11,   60,   11,   63,    1,   25
 594,    1,   22,   11,   65,    0,   60,   10,   50,    0,   24,   11,   60,    0,   30,    0,   36,   11,   62,    1,   39,    1,   28,    1,   40,   11,   62,    0,   47,    0,   39
 595,   11,   62,    0,   37,   11,   60,    1,   31,    1,   19,   10,   60,   10,   39,   11,   58,   11,   65,    1,   49,   11,   63,    0,   45,   11,   63,    0,   36,   10,   54
 596,    0,   22,   11,   64,    1,   50,    1,   18,   11,   59,    0,   34,   11,   54,   10,   55,   10,   41,   11,   62,    0,   38,   10,   54,    1,   24,    0,   62,   11,   58
 597,   11,   64,    1,   51,    1,   40,   10,   57,    1,   24,   10,   47,    0,   28,    0,   19,   11,   54,    0,   24,   11,   64,    0,   32,   11,   60,    1,   43,   10,   45
 598,   10,   60,   11,   55,   11,   64,   11,   59,   11,   58,   10,   37,   10,   53,    1,   53,    1,   20,   10,   42,   10,   50,   11,   61,    0,   46,   11,   59,    1,   21
 599,   11,   62,   10,   51,   10,   63,   10,   65,   10,   55,    0,   56,    1,   54,    1,   45,    1,   17,    1,   42,    1,   31,    1,   33,    1,   14,    0,   58,    1,   39
 600,    0,   18,   11,   59,    1,   62,    1,   31,   10,   39,   10,   63,    1,   30,    1,   31,   11,   62,   11,   58,   10,   58,    1,   53,    0,   46,   11,   57,    1,   53
 601,   10,   54,   11,   64,    1,   14,   10,   38,    1,   32,   11,   59,    1,   46,   11,   54,    0,   64,   10,   41,    1,   29,   11,   62,   10,   46,    0,   47,    1,   51
 602,   10,   64,    0,   24,   11,   58,   10,   47,   10,   44,    0,   59,   10,   57,    1,   53,    0,   65,   11,   63,    0,   18,    0,   36,   10,   50,    1,   14,   10,   55
 603,    1,   43,   10,   57,   10,   56,    1,   14,   10,   45,    0,   38,    0,   46,    1,   55,   11,   59,   11,   65,   10,   46,   10,   65,    0,   34,    0,   61,    1,   20
 604,   11,   59,   11,   57,    0,   64,   10,   59,    1,   25,   11,   60,    0,   50,   10,   51,    1,   38,    0,   55,   11,   61,    0,   20,   11,   64,   11,   55,   11,   56
 605,   10,   52,    1,   30,    0,   56,    1,   29,   10,   63,    1,   59,    0,   29,   11,   64,    1,   42,    0,   54,   10,   46,   11,   54,   11,   62,    0,   24,   11,   64
 606,   11,   65,    1,   58,   11,   61,    1,   65,   11,   57,   11,   65,   11,   56,   10,   48,    0,   23,   11,   60,    1,   48,   11,   56,   11,   58,   11,   61,   11,   59
 607,   10,   58,    0,   61,   11,   55,   10,   59,    0,   20,    1,   32,    1,   49,    1,   26,    0,   37,    1,   19,    1,   43,   11,   62,    0,   31,    1,   45,   11,   62
 608,    0,   51,    1,   51,    0,   35,   11,   61,    1,   25,    1,   55,   11,   57,   10,   57,    0,   49,    0,   65,   10,   60,   10,   61,   11,   60,   11,   62,    0,   24
 609,   10,   62,    0,   63,   11,   64,    1,   23,    0,   35,   11,   60,    0,   58,    1,   57,    0,   32,    0,   29,    1,   32,   10,   41,    0,   21,   10,   64,    0,   48
 610,    0,   61,    1,   16,   11,   60,   10,   47,   10,   59,   11,   61,    0,   34,    0,   56,   10,   54,   11,   60,    0,   38,   10,   43,    1,   24,   11,   57,    1,   21
 611,   10,   58,    1,   55,    1,   27,    0,   39,   10,   37,    0,   50,    0,   33,   10,   45,    1,   53,   10,   53,   11,   65,    1,   52,   11,   56,    0,   49,   11,   63
 612,   11,   63,   10,   61,   11,   59,    0,   65,   10,   40,   11,   60,   11,   60,   10,   58,   11,   58,   10,   37,   11,   61,   10,   62,    0,   28,   11,   65,    1,   57
 613,    0,   36,   10,   54,   10,   41,    0,   32,    1,   26,    1,   61,   10,   65,   11,   65,   10,   54,    0,   34,   11,   54,   11,   63,    0,   58,    0,   37,   11,   64
 614,    0,   38,   11,   58,    1,   63,    0,   29,   10,   51,    1,   22,   10,   59,    0,   26,    1,   46,    1,   53,    0,   25,    1,   38,   11,   61,   11,   62,   10,   50
 615,    1,   19,   10,   55,   11,   61,    0,   25,    1,   30,    0,   59,   11,   65,   11,   65,    1,   56,    1,   60,   11,   55,    1,   41,   10,   57,   10,   54,   11,   58
 616,    1,   12,   11,   60,   11,   59,    1,   49,   11,   58,   11,   61,    0,   52,   11,   61,    0,   58,   10,   59,   10,   65,    0,   63,   11,   60,   11,   54,    0,   21
 617,    0,   34,    1,   14,   10,   44,   11,   56,   10,   51,   11,   59,   11,   64,    1,   16,   10,   42,    0,   52,    0,   21,    1,   59,   10,   41,    1,   37,    1,   24
 618,   11,   57,   11,   65,   10,   60,   11,   60,   11,   58,    1,   28,   10,   37,   11,   60,    0,   24,   11,   58,   10,   59,    1,   60,    1,   41,   10,   37,   10,   64
 619,    0,   18,    0,   23,    0,   59,   11,   56,    1,   49,    0,   40,   10,   43,   10,   61,    1,   30,   10,   60,    1,   62,   10,   65,    1,   40,   10,   58,   10,   52
 620,   11,   60,   11,   57,   11,   61,    1,   13,   11,   59,   11,   63,    1,   44,   11,   62,   11,   59,    0,   22,   11,   55,   10,   45,   10,   49,    1,   23,    0,   43
 621,    1,   53,   11,   58,   11,   62,   11,   62,   11,   56,   11,   57,   11,   63,    1,   61,    0,   32,    0,   19,   10,   41,    1,   42,   11,   55,    0,   60,    0,   42
 622,   10,   38,    1,   59,   10,   58,   10,   57,   10,   42,   11,   63,   10,   37,    0,   47,   10,   49,   10,   39,   11,   58,   10,   37,    1,   42,    0,   55,   11,   65
 623,   10,   41,    1,   53,    1,   35,   10,   48,    1,   43,   10,   42,   11,   55,   11,   64,    1,   46,    0,   45,    0,   53,   10,   49,    1,   59,   11,   62,   10,   51
 624,   10,   44,    0,   41,   11,   61,    0,   45,    0,   56,    0,   41,   10,   59,    0,   24,   10,   42,   11,   63,   11,   64,    1,   62,    1,   54,   10,   44,   11,   55
 625,   10,   43,    0,   50,   11,   60,    1,   55,   11,   63,   10,   53,    0,   36,    1,   61,   10,   43,   11,   61,    1,   20,   10,   38,    1,   29,    1,   50,    0,   39
 626,    0,   19,   11,   54,    1,   64,   11,   65,    0,   46,   10,   52,    0,   46,    1,   65,   10,   64,   10,   51,   11,   63,   11,   60,   10,   62,   11,   58,   11,   55
 627,    0,   18,   11,   65,   10,   58,   10,   50,   10,   47,    0,   56,   10,   56,    1,   64,   11,   62,    0,   61,   10,   56,   11,   60,    0,   30,    1,   50,    0,   26
 628,   10,   60,   10,   41,   11,   58,   10,   51,    1,   27,   10,   48,   10,   43,   11,   65,   11,   60,    1,   26,   11,   65,   10,   61,    1,   43,    1,   51,   11,   60
 629,   10,   59,   10,   47,   11,   62,    0,   38,   10,   57,   11,   54,   10,   41,    0,   31,   10,   63,    1,   12,    0,   63,   11,   60,    0,   61,    1,   43,   10,   59
 630,    0,   44,    1,   43,    1,   14,   11,   63,   10,   63,   10,   41,   11,   54,    0,   48,    1,   41,    1,   33,   10,   54,   11,   58,    1,   63,   11,   55,   11,   63
 631,    1,   50,   11,   56,   11,   65,    0,   42,   11,   60,   10,   56,    1,   55,    0,   23,   10,   52,    1,   33,    1,   31,   11,   60,   10,   44,    0,   36,   10,   57
 632,   10,   42,   10,   37,    1,   27,    0,   48,   10,   45,   11,   65,    0,   44,   11,   56,    0,   49,   11,   55,   10,   57,    0,   32,   10,   45,    0,   23,    0,   55
 633,   10,   41,    1,   43,    0,   41,   10,   54,   10,   42,   11,   57,   11,   56,   10,   42,   11,   64,   11,   61,   10,   38,    1,   52,   10,   53,    0,   20,   10,   54
 634,    0,   23,   10,   56,   11,   56,   11,   64,    0,   37,   11,   54,   11,   61,   11,   64,   10,   60,   10,   37,   10,   56,   11,   56,   10,   37,   11,   57,   10,   59
 635,   11,   55,   11,   55,   11,   60,    1,   32,    1,   17,    0,   57,   10,   51,    0,   59,   11,   61,    0,   49,   11,   61,   10,   51,    1,   64,   11,   54,    1,   23
 636,   10,   40,   10,   56,   10,   45,   10,   56,   11,   58,   10,   46,    0,   44,    0,   33,    1,   61,   11,   65,    1,   36,    0,   25,   11,   59,    1,   43,   11,   65
 637,   10,   41,    1,   52,    0,   20,   11,   58,   11,   54,   11,   61,    0,   65,    1,   35,    1,   49,   10,   56,    1,   15,    0,   60,    0,   36,   11,   56,    0,   28
 638,    0,   31,    1,   38,    1,   24,   11,   61,    0,   42,   10,   61,    0,   48,    0,   29,   10,   39,   11,   62,    1,   23,   10,   52,    0,   23,   11,   58,   11,   59
 639,   11,   56,   10,   51,    0,   62,    0,   63,   11,   54,   11,   60,    0,   52,   10,   47,   10,   64,   11,   59,   10,   54,   11,   64,    1,   50,    1,   50,   11,   54
 640,    0,   40,    0,   36,    1,   24,    0,   22,    1,   30,    0,   46,   11,   59,   11,   62,   10,   61,   10,   45,   10,   52,   10,   43,   11,   62,    1,   30,   11,   56
 641,    1,   32,   10,   39,   11,   58,   10,   62,   11,   54,   10,   61,    1,   23,   11,   57,   11,   60,    1,   36,   10,   46,    0,   64,    1,   33,    1,   32,   11,   59
 642,   10,   54,    0,   55,   11,   55,    1,   50,   11,   61,   11,   63,    1,   27,    1,   54,    1,   12,   11,   54,   10,   53,   10,   39,    0,   27,    0,   52,   11,   59
 643,    0,   29,    1,   56,    1,   13,   10,   40,    0,   55,    0,   56,   11,   58,    0,   28,   11,   58,    1,   17,   10,   43,   10,   43,    0,   50,    1,   59,   11,   62
