nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6,  A7,  A8,  A9
 675,     1, -32, -36, -16,  -8,  -8, -16, -24,  -8,  60,  -8
 676,     1, -31,  -7,  69,  -7, -11, -11, -11,  -7,  -7,  -7
 677,     1,  -9, -41,  -9,  -9,  71, -13,  -9,  -9,  -9,  -9
 678,     1, -19, -27, -11, -31,  -7, -19, -15,  81, -31, -23
 679,     1, -27,  -7, -19,  -7, -35,  -7,  -7,  69,  -7,  -7
 680,     1,  -9,  -5,  -9,  -5,  -5,  -5,  87,  -5,  -5,  -9
 681,     0, -11, -27, -27, -19, -47, -43, -11, -23, -11, -11
 682,     1,  -3,  -7, -15,  -3,  -3,  -3,  93,  -3,  -3,  -3
 683,     1,  -3,  -3, -11,  -3,  -3,  -3, -15,  -3,  93,  -3
 684,     1, -13,  -9,  -5,  -5,  -9,  83,  -5,  -5,  -5,  -5
 685,     1,  -4, -12,  -4,  -4,  84,  -4,  -4,  -4,  -4, -20
 686,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  88, -16
 687,     1,  -7,  -7,  -7, -27,  -7, -11,  -7,  -7, -11,  77
 688,     1, -21,  -9,  -9,  -9,  -9,  -9, -21, -33,  59,  -9
 689,     0, -31, -43, -43, -23, -11, -19, -11, -27, -43, -43
 690,     0, -11, -43, -11, -11, -47, -11, -31, -11, -11, -11
 691,     1,  -6, -18, -14,  90,  -6,  -6,  -6, -10,  -6,  -6
 692,     1, -10,  66, -30, -14, -18, -10, -42, -42, -10, -22
 693,     1,  -5,  -5,  -5,  -5,  -5,  -5,  79, -25,  -9,  -5
 694,     1,  -5,  -5,  -5, -21, -21,  -5,  -5,  91, -13,  -5
 695,     1,  -3,  -3,  -3,  -3,  93,  -3,  -3,  -3, -11,  -3
 696,     1,  -7,  -7,  -7, -27, -15,  -7, -11,  -7,  85, -35
 697,     1,  84, -20, -16,  -4,  -4,  -8,  -4,  -4,  -4,  -4
 698,     1,  -9,  -9,  -9,  -9,  67, -21,  -9,  -9, -21,  -9
 699,     1,  -6,  74, -14,  -6,  -6, -14, -14, -10,  -6, -10
 700,     1,  -3,  -7,  -3,  -3,  -3,  -3,  85,  -3, -11,  -7
 701,     0, -38, -10, -14, -42, -10, -14, -18, -10, -42, -10
 702,     1,  -3,  -7,  -7,  -3,  -3,  93,  -3,  -3,  -7,  -3
 703,     1, -41, -17,  63,  -9, -41, -33,  -9, -17,  -9,  -9
 704,     0, -43, -11, -23, -11, -11, -31, -11, -11, -27, -35
 705,     0, -11, -47, -11, -31, -43, -23, -27, -11, -11, -43
 706,     1,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3,  89,  -3
 707,     1, -42, -30, -14,  66, -14, -46, -30,  62, -22, -10
 708,     1,  -9,  -9, -37, -17,  -9,  -9, -33,  67, -13,  -9
 709,     1, -12,  -8,  -4, -12,  92,  -4, -16,  -4,  -4, -16
 710,     1,  -7, -15, -11,  73, -19,  -7,  -7, -15, -35, -15
 711,     1, -11,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  89
 712,     1, -27, -19, -31,  69, -35, -23, -15, -15,  -7, -27
 713,     1,  -4,  88,  -4,  -4, -16, -12,  -8,  -8,  -4, -16
 714,     1, -19, -35,  81,  -7, -23,  -7, -31,  -7, -35, -27
 715,     1,  82,  -6,  -6, -30,  -6,  -6,  -6, -14,  -6,  -6
 716,     1, -12,  88,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 717,     1,  -4,  -4,  -4,  -4,  -4,  -4,  84,  -4, -20,  -4
 718,     1,  -3,  -3,  -7,  -3,  -3,  -3, -11,  93,  -3,  -3
 719,     1,  -8, -16,  -8,  -8,  -8, -20, -20, -28, -36,  80
 720,     1,  87, -13,  -5,  -5,  -5, -25, -25,  -5,  -5,  -5
 721,     1,  -7,  73,  -7,  -7, -19, -15, -27,  -7, -19, -31
 722,     1, -21,  -9,  -9,  83, -41, -21,  -9,  -9,  -9, -33
 723,     1,  80, -32,  -8,  -8, -24, -16,  -8,  -8, -20,  -8
 724,     1,  -4,  -4, -20,  -4,  -8,  -4,  84,  -4, -12,  -4
 725,     1, -31, -31,  -7,  85,  -7,  -7,  -7,  -7,  -7,  -7
 726,     1, -12,  -4,  -4, -20, -12,  -4, -16,  84,  -4, -16
 727,     1, -33, -25,  -9, -33,  -9, -17, -17, -41,  -9,  67
 728,     1, -18,  58, -10, -10, -10, -10, -38, -10, -10, -42
 729,     1,  85, -11, -19, -19, -15,  -7,  -7, -31,  -7,  -7
 730,     1,  -9,  63, -17,  -9,  -9, -29, -21, -17,  -9,  -9
 731,     0, -43, -11, -11, -11, -11, -43, -11, -19, -31, -23
 732,     1, -31, -11,  -7,  -7, -19, -27,  -7,  69, -15,  -7
 733,     1,  -8,  -4,  -4,  -4,  -4,  92,  -4,  -4,  -4,  -4
 734,     1, -26,  -6,  -6,  -6, -10, -14,  -6,  70,  -6, -18
 735,     1,  -4,  -8,  -4,  88,  -4,  -4,  -4, -16,  -4,  -4
 736,     1, -22,  70,  -6,  -6,  -6, -30, -26, -10,  -6,  -6
 737,     1, -41,  -9,  -9,  -9,  -9,  -9,  -9,  -9,  67, -17
 738,     1, -10, -30, -10, -18, -10, -14, -30, -10,  70, -42
 739,     1,  -9, -37, -13,  -9,  67, -41, -33, -25,  -9,  -9
 740,     1, -13, -41,  -9, -25, -41, -25,  -9,  -9, -33,  67
 741,     1,  58, -10, -18, -10, -10, -34, -42, -10, -38, -10
 742,     1,  -9,  -5, -17,  -5, -21,  -5,  83,  87, -13,  -5
 743,     1, -13, -37,  -9, -41, -33,  79, -37,  -9, -37, -13
 744,     1,  -7, -15,  -7, -23, -31,  89,  -7, -19,  -7, -15
 745,     1,  -4,  -4,  -4,  92, -20,  -8,  -8,  -4,  -4,  -4
 746,     1,  -9,  -9,  83,  -9,  -9, -21, -25, -17, -25,  -9
 747,     1, -22,  -6,  -6,  -6,  -6, -22,  82, -18,  -6,  -6
 748,     1, -11,  -3, -11, -11,  -3,  -3,  -3,  -3,  -3,  89
 749,     1,  -6,  -6,  -6, -10,  -6,  -6, -14, -30,  86, -18
 750,     1,  73, -31,  -7,  -7,  -7,  -7,  -7,  -7, -27,  -7
 751,     1,  -8, -20,  88,  -8,  -8,  -8, -28,  -8,  -8, -12
 752,     0, -34, -10, -14, -10, -42, -10, -30, -26, -42, -22
 753,     1, -17, -41, -17, -41,  -9, -37, -37, -41,  -9,  83
 754,     1,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  -8,  92,  -4
 755,     1,  -6,  90, -14, -14,  -6,  -6,  -6, -18, -14,  -6
 756,     1,  -5, -13, -17,  -9,  87,  -5,  -5,  -5,  -9,  -5
 757,     1,  -9,  -9,  -9, -33, -29, -25,  -9,  -9,  59, -37
 758,     1,  -6,  -6,  -6,  -6,  -6, -10,  -6,  82, -14,  -6
 759,     1, -41,  63,  -9, -17,  -9, -33,  -9, -25,  -9, -41
 760,     1,  -4,  -4,  -4,  84, -16,  -4,  -4,  -4,  -4,  -4
 761,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  90,  -2
 762,     1,  -2,  94,  -2,  -2,  -6,  -2,  -2,  -2,  -2,  -2
 763,     0, -11, -11, -11, -43, -43, -11, -43, -11, -11, -11
 764,     0, -43, -31, -47, -11, -19, -27, -11, -11, -11, -43
 765,     1, -40, -20, -32,  -8,  -8,  68,  -8,  -8,  -8,  -8
 766,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  88,  -4
 767,     1, -17,  -9,  71,  -9, -13,  -9,  -9,  -9,  -9,  -9
 768,     1,  -6,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  90,  -2
 769,     1, -41,  -9, -37, -17, -41,  -9,  -9, -41,  87,  -9
 770,     1,  -5,  -5,  83,  -5, -13, -25,  -5,  -5,  -5,  -5
 771,     1, -26, -18, -26, -26, -22, -14,  -6, -18,  82,  -6
 772,     1, -17, -13,  -5,  -5,  -5,  -5,  -5,  -5,  79,  -5
 773,     1, -10, -22, -34, -22, -18, -10,  70, -10, -10, -22
 774,     1,  -9, -25,  -9, -25,  -9, -33,  -9,  71,  -9,  -9
 775,     1,  -6, -30,  -6,  -6,  -6, -26,  86,  -6,  -6,  -6
 776,     1,  -7,  -7, -31,  -7,  65,  -7,  -7, -11, -27,  -7
 777,     1,  -8,  -8, -28,  -8, -16,  -8,  -8,  -8,  64, -28
 778,     1,  80,  -8, -12,  -4,  -8,  -4,  -4,  -4,  -4,  -4
 779,     1, -10, -10, -10, -10, -10, -34,  62, -10, -10, -10
 780,     1,  -4,  -4,  88,  -4,  -4,  -4,  -4,  -4,  -4, -20
 781,     1, -15,  -7,  77,  -7, -19, -19,  -7,  -7, -23,  -7
 782,     1, -33,  -9, -21,  -9,  71, -25,  -9, -13,  -9,  -9
 783,     1,  88,  -4,  -8,  -4, -12,  -4,  -4,  -4,  -4,  -4
 784,     1, -31, -31, -31,  -7,  -7,  77,  -7,  -7,  -7, -15
 785,     1,  -6, -14,  -6,  -6,  -6,  70,  -6,  -6,  -6,  -6
 786,     1,  78, -26,  -6, -22,  -6,  -6,  -6, -14,  -6, -10
 787,     1,  83, -17,  -5, -13,  -5,  -5, -13,  -5,  -5,  -5
 788,     1,  -7,  -7, -35,  77,  -7,  -7,  -7,  -7,  -7,  -7
 789,     1,  -7,  73,  -7,  -7,  -7,  -7, -11,  -7,  -7, -11
 790,     1,  -7,  -7, -31,  -7,  -7,  -7,  -7, -31, -23,  65
 791,     1,  92,  -4,  -4,  -8,  -4, -12,  -8, -20,  -4,  -4
 792,     1,  88,  -4,  -4,  -4,  -4,  -4, -16,  -4,  -4,  -8
 793,     1,  -6,  -6,  -6, -26, -10,  90,  -6, -22,  -6,  -6
 794,     1,  -6,  -6,  74, -14, -18, -26, -30,  -6, -26,  -6
 795,     1, -41, -33, -37, -29,  -9,  -9, -33,  59, -25,  -9
 796,     1, -15,  -7,  -7,  -7,  -7,  -7,  -7,  -7,  69,  -7
 797,     1,  -8,  -4,  -4,  -4,  -4,  84,  -4,  -4,  -4,  -4
 798,     1,  -2,  -2,  -2,  -2,  94,  -2,  -2,  -2,  -2,  -2
 799,     1, -22, -18, -26, -26,  -6,  70, -26, -22,  -6,  -6
 800,     1,  -8, -28,  60,  -8, -24,  -8, -36,  -8, -20, -12
 801,     1,  -8,  -8, -16,  -8, -20, -12,  -8,  84,  -8,  -8
 802,     1, -37,  -9,  -9,  87, -33,  -9, -29, -33,  -9,  -9
 803,     1, -10, -10,  58, -10, -10, -10,  82, -38, -42, -42
 804,     1,  -4, -12,  -4,  -8, -20,  -4,  -4, -12,  88,  -4
 805,     1,  -5, -17, -21,  -5,  -5,  -5,  -5,  87,  -9,  -5
 806,     1,  -9, -41,  -9,  -9,  -9,  -9, -41, -41,  -9,  67
 807,     1,  -7,  -7,  -7, -11,  -7,  -7,  -7, -27,  -7,  81
 808,     1, -23,  69, -27, -23, -31,  -7,  -7,  -7,  -7,  -7
 809,     1, -21, -21,  -5,  91, -17,  -5, -17,  -5,  -5, -25
 810,     1,  -4,  92,  -8,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 811,     1,  -3,  -3,  -3,  -7,  -3,  93, -11,  -3,  -3,  -3
 812,     1, -31, -27,  -7, -15,  -7, -19,  -7,  81,  -7,  -7
 813,     1, -17, -21,  83,  -5,  -9,  -5, -21, -13,  -5,  -5
 814,     1,  -4,  -4,  -4,  84, -16,  -4,  -4, -16,  -4,  -4
 815,     1,  -4,  -4,  -4, -16,  -4,  -4,  -4,  -4,  -4,  92
 816,     1,  -6,  -6,  -6,  70, -10,  -6, -22,  -6,  -6, -26
 817,     1,  -5,  -5,  -9, -17,  -5,  -9,  -5,  -5,  -5,  83
 818,     1,  -3,  -3,  -3,  -3,  89,  -3,  -3, -15,  -3,  -3
 819,     1, -20,  -8,  -8, -24,  -8,  -8,  -8,  -8,  76,  -8
 820,     1, -12, -12,  -4,  88,  -4, -12,  -8,  -4,  -8,  -4
 821,     1,  -6,  -6, -18, -18,  -6,  78,  -6,  -6,  -6,  -6
 822,     1, -18,  -6,  -6,  -6,  -6,  -6, -22,  78, -10,  -6
 823,     0, -10, -18, -14, -10, -10, -10, -10, -18, -14, -10
 824,     1,  -9, -41,  -9,  -9,  71, -41, -25, -29, -41,  -9
 825,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  90
 826,     1, -33, -17, -13, -17, -25, -41, -13,  63, -25, -29
 827,     1,  -9,  79,  -9, -41,  -9, -25,  -9,  -9, -25, -37
 828,     1,  -5, -17,  87,  -5,  -5,  -5,  -5,  -5, -21,  -5
 829,     1,  -5,  -9,  -5,  -5, -21,  79,  -5,  -5, -17,  -5
 830,     1,  -7,  -7,  81, -15,  81,  -7, -15,  -7,  -7,  -7
 831,     1,  -5,  -5,  -5, -25,  -5,  -5,  -5,  -5,  -5,  83
 832,     1,  -7, -19,  -7,  -7,  -7, -27, -23, -27,  -7,  85
 833,     1,  -5,  -5,  79,  -5,  -5,  -9,  -5,  -5,  -5,  -5
 834,     1, -27,  -7, -19,  -7,  -7, -23,  89,  -7,  -7, -31
 835,     0, -11, -11, -11, -23, -11, -43, -23, -11, -43, -11
 836,     1,  -5, -13, -21,  -5,  -5, -21, -17,  -5,  87, -21
 837,     1, -26, -10,  -6,  -6,  -6,  86,  -6,  -6, -22,  -6
 838,     1,  -6,  -6, -22,  -6,  -6,  70, -14,  -6,  -6, -10
 839,     1,  -7, -27,  -7,  -7,  69,  -7,  -7, -23,  -7, -19
 840,     1,  -4, -16,  88,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 841,     1, -24,  88,  -8,  -8,  -8, -32,  -8,  -8, -32,  -8
 842,     1,  -5,  -5,  91,  -5,  -5, -17,  -5, -17,  -5,  -5
 843,     1,  -8, -16,  -8, -28, -24,  -8, -28, -24,  88,  -8
 844,     1,  92,  -4,  -4,  -4,  -4,  -4,  92, -12,  -4,  -4
 845,     1, -21,  -5,  -5,  79,  -5,  -5,  -5,  -5, -17,  -5
 846,     1,  -5, -21,  -9,  -5,  -5,  91,  -5,  -5, -17,  -5
 847,     1,  63, -17,  -9,  -9,  -9, -29, -17, -37,  -9,  -9
 848,     1, -20,  -8,  72, -32, -36, -20, -40,  -8, -12,  -8
 849,     1,  84, -16,  -4,  -4,  -4,  -8, -16,  -4,  -4,  -4
 850,     1,  -9,  79,  -9, -13, -33,  -9, -41, -41,  -9, -17
 851,     1,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3, -15,  89
 852,     1,  -7, -11, -15, -11, -19,  77, -27,  -7,  -7,  -7
 853,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  90,  -2,  -2
 854,     1,  -4,  -4, -12,  88, -12, -16, -12, -20, -12,  -4
 855,     0, -11, -19, -11, -11, -43, -35, -23, -11, -11, -31
 856,     1, -12, -16,  -8, -40,  -8, -28,  64,  -8,  -8, -28
 857,     1,  -9, -17,  -9,  -9,  -9,  -9, -33,  -9,  71, -37
 858,     1, -13, -21,  -5,  -5,  -9,  -5, -21,  83,  -5,  -9
 859,     1, -36,  -8, -40,  -8,  60, -32,  -8,  -8, -12,  -8
 860,     1,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -7, -11,  93
 861,     1,  -8, -16, -16,  64, -12, -36,  -8,  -8,  -8, -40
 862,     1,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  87,  -5,  -5
 863,     1, -36,  -8, -16,  -8, -28,  -8, -32, -16,  68, -28
 864,     1,  -9,  63,  -9, -29,  -9, -41,  -9,  -9,  -9,  -9
 865,     1,  -9,  -5,  91,  -5,  -5,  -5, -21, -21,  -5,  -9
 866,     1,  -5,  -5,  -5,  -5, -17, -13,  -5,  -5,  83,  -5
 867,     1,  -7,  -7,  -7,  -7,  73,  -7, -27,  -7,  -7,  -7
 868,     1,  -4,  -4, -12, -20,  -4, -20,  -4,  84, -12,  -4
 869,     1,  -3,  -3,  -3,  -3,  -7, -11,  -7, -15,  -3,  93
 870,     1,  -6,  -6, -22,  -6,  -6,  -6,  86, -14,  -6,  -6
 871,     1,  -6, -10, -18,  -6,  -6,  -6, -10,  -6,  78,  -6
 872,     1, -33,  -9,  -9,  -9,  -9, -33,  -9, -13,  71, -37
 873,     1,  -6,  90,  -6,  -6,  -6,  -6, -26, -18, -22, -26
 874,     1,  -6, -26,  70,  -6, -26,  -6, -10,  -6,  -6,  -6
 875,     1, -12,  -4,  84,  -4,  -4,  -4, -16,  -4,  -4,  -4
 876,     1,  -6, -18, -18, -26,  70, -30, -18,  -6,  -6,  -6
 877,     1,  -8, -32,  -8, -32,  64,  -8,  -8,  -8, -36,  -8
 878,     1,  93,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 879,     1, -15,  -3,  -3, -15,  -3,  -7,  -3,  93,  -3,  -3
 880,     1, -21,  -5,  -5,  -9,  -5,  -9,  -5,  -5,  79,  -5
 881,     1, -21, -17, -41,  71,  -9, -37, -29,  -9, -41, -41
 882,     1,  -7,  -7,  -7,  -7,  89,  -7, -27, -23,  -7,  -7
 883,     1, -10, -42,  58, -10, -10, -10, -10, -10, -10, -10
 884,     1,  -6,  78,  -6,  -6,  -6,  -6,  -6, -26, -30, -14
 885,     1, -23,  -7,  -7, -15,  -7,  -7,  -7, -27,  -7,  81
 886,     1,  82,  -6,  -6,  -6, -14,  -6, -18, -26,  -6,  -6
 887,     1,  -8,  -8,  -8,  -8,  72,  -8,  -8, -36,  -8,  -8
 888,     1,  84,  -4,  -4, -12,  -4,  -4,  -4,  -4,  -4,  -4
 889,     1, -22, -26, -10, -42, -26, -10, -42, -10, -10,  70
 890,     1, -16,  -4,  -4,  -4,  -4, -20, -20,  -4,  -4,  80
 891,     1,  -5,  -5, -13, -21,  -9, -21,  83, -17,  -5,  -9
 892,     1,  88, -12,  -4,  -4,  -4, -12,  -4,  -4,  -4,  -4
 893,     1,  -7,  -7,  -7, -15,  -7, -11,  85,  -7,  -7,  -7
 894,     1,  -9,  -9,  -5,  -5,  -9,  91,  -5,  -5,  -5,  -5
 895,     1,  -9, -41,  -9,  -9,  -9,  -9, -41,  -9,  59,  -9
 896,     1,  -3,  -3,  93,  -3,  -3,  -3,  -3,  -3,  -3,  -7
 897,     1, -30, -26, -14,  -6, -14,  70, -26, -26,  -6, -30
 898,     1, -24, -36,  76, -28,  -8, -32,  -8,  -8,  -8,  -8
 899,     1,  76, -40, -36, -32, -36, -40, -24,  -8, -28, -20
 900,     1,  -5,  -9,  -5,  87,  -5, -13, -25,  -5,  -5,  -5
 901,     1,  -8, -32,  -8,  -8,  80,  -8,  -8, -20, -16,  -8
 902,     1,  -4,  -4,  -4, -16,  -4,  92,  -4,  -8,  -4,  -4
 903,     1, -20,  88,  -4,  -4,  -4, -12, -20, -16,  -4,  -4
 904,     1,  -7,  -7, -11, -27,  -7,  77, -27, -35,  -7, -27
 905,     1,  -9,  -9,  -9,  67,  -9,  -9,  -9, -41,  -9, -33
 906,     1, -26,  -6,  -6, -30,  -6,  -6, -14,  -6,  90, -14
 907,     1,  -3,  89,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3
 908,     0, -11, -11, -11, -43, -11, -39, -11, -23, -11, -15
 909,     1, -26, -10,  66, -42, -10, -10, -10, -10, -34, -42
 910,     1,  -9,  63,  71, -21, -29,  -9,  -9,  -9,  -9, -29
 911,     1,  -7,  -3,  -3,  -3,  93,  -3,  -3,  -3,  -3,  -3
 912,     1,  -7, -23,  -7, -23,  -7,  -7, -31, -31,  89,  -7
 913,     1,  -5, -17, -13, -17,  -9,  -5,  -5, -17,  -5,  91
 914,     1, -31,  -7,  -7, -15,  -7, -31,  65,  -7, -23,  -7
 915,     1, -10, -26,  58, -26, -10, -10, -10, -18, -10, -18
 916,     1,  86,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6
 917,     0, -19, -11, -23, -11, -51, -11, -23, -11, -27, -11
 918,     1, -29, -41,  -9, -13,  -9,  -9, -37,  59,  -9,  -9
 919,     1, -22, -14,  -6, -22,  -6,  78, -10, -10,  -6,  -6
 920,     1,  -9, -29, -33, -13, -25,  -9,  -9,  75, -41, -21
 921,     0, -11, -11, -15, -31, -51, -43, -35, -19, -43, -11
 922,     1,  84,  -4,  -4,  -4,  -4,  -4, -20,  -4,  -4,  -4
 923,     1, -33, -33, -13,  75, -37, -21, -17, -29, -41, -33
 924,     1, -25, -37, -41, -37, -25, -37, -41,  -9,  75, -41
 925,     1,  -8, -32, -24,  -8,  -8,  -8,  -8,  -8, -16,  60
 926,     1,  -6,  -6, -22,  -6,  -6,  -6,  -6,  -6,  78,  -6
 927,     1,  -9, -25, -13, -17,  67,  -9,  -9,  -9, -25,  -9
 928,     1,  -6,  -6,  90,  -6,  -6,  -6,  -6,  -6,  -6,  -6
 929,     1,  -6, -30, -22,  -6, -30, -22, -14,  86, -18, -26
 930,     1, -10, -10,  70, -30, -10, -10, -10, -10, -10, -10
 931,     1,  -3,  -3,  -3,  89,  -3,  -3,  -3,  -3,  -7,  -3
 932,     1, -31,  57, -35, -11, -19, -35, -23, -47, -43, -27
 933,     1,  -8,  88,  -8, -36,  -8,  -8,  -8, -36,  -8, -16
 934,     1,  -6,  70, -30,  -6,  -6, -14,  -6,  -6,  -6,  -6
 935,     1,  -8,  -8, -16,  -8, -28,  -8,  64,  -8,  -8,  -8
 936,     1, -29, -13,  -9, -41,  87, -13,  -9, -25,  -9,  -9
 937,     1, -20,  -8,  -8, -16,  72,  -8, -32,  -8,  -8, -32
 938,     1,  -5,  -5,  -5,  -5,  -5,  -5,  -9,  79,  -5,  -5
 939,     0, -11, -11, -39, -11, -43, -35, -43, -39, -11, -35
 940,     1, -20, -16, -36, -28, -32,  -8, -16, -36,  64,  -8
 941,     1,  -9, -17, -33,  -9,  79, -21, -25,  -9, -37, -17
 942,     1, -11, -11, -35, -27, -35, -39, -11,  57, -11, -39
 943,     1, -37, -33,  -9, -17, -37, -13,  -9, -13, -21,  71
 944,     1, -26,  74,  -6, -30,  -6,  -6,  -6,  -6,  -6,  -6
 945,     1,  -3,  -7,  89,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 946,     1, -46, -10, -10, -10,  58, -42, -10, -10, -10, -10
 947,     1, -15,  -7,  -7,  -7,  -7,  -7,  -7,  65,  -7, -19
 948,     1, -12, -12, -40,  -8,  60,  -8,  -8, -24, -12, -32
 949,     1, -21,  91,  -5,  -5,  -5,  -5,  -5, -13, -25,  -5
 950,     1,  -8, -24,  -8, -32, -32,  -8, -40,  60,  -8, -16
 951,     1, -18, -42, -22, -10, -10, -18,  66, -42,  58, -38
 952,     1,  -3, -11,  -3,  -3,  -3,  -3,  -7, -11,  -3,  93
 953,     1, -11,  -3,  -3,  -3, -11,  -3,  -7,  -3,  -3,  89
 954,     1, -26, -30, -26,  -6, -10,  -6,  -6,  78, -26, -10
 955,     1, -21, -29, -17,  -9,  -9, -37, -41, -25,  -9,  59
 956,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  88
 957,     1,  -6,  78,  -6,  -6,  -6,  -6,  -6, -10,  -6,  -6
 958,     1,  -9,  -9,  -9,  -9,  -9, -25, -41,  -9,  87,  -9
 959,     1, -32,  -8,  64,  -8, -16, -32,  -8,  -8, -32,  -8
 960,     1,  -4,  -4,  -4,  88,  -4,  -4,  -4,  -4,  -4,  -4
 961,     1,  72, -12, -16,  -8,  -8,  -8, -16, -32, -20,  -8
 962,     1,  -3,  89,  -7,  -3, -11, -11,  -3,  -3,  -3, -11
 963,     1,  -9,  75,  -9,  -9,  -9, -41, -17, -13,  -9,  -9
 964,     1,  -4, -16,  92,  -4,  -4,  -4, -12, -12,  -4,  -4
 965,     1,  -3,  -3,  -3,  -3,  89,  -7,  -3,  -3,  -3,  -3
 966,     1, -25, -17,  -5, -13,  -5,  83, -25, -21,  -9,  -5
 967,     1,  83,  -9,  -5,  -5, -21, -25,  -5, -13,  -5,  -9
 968,     0, -11, -15, -19, -15, -43, -11, -31, -11, -27, -11
 969,     1,  -8,  84,  -8, -28,  -8,  -8, -40, -28,  -8, -20
 970,     1,  -8,  -8, -20,  68, -32, -24,  -8, -40, -24, -32
 971,     1,  -6,  -2,  94,  -2, -10,  -2,  -2,  -2,  -2,  -2
 972,     1,  -5, -21,  -5,  -5,  -5,  -5,  -5,  79,  -5,  -5
 973,     1,  88, -20,  -4,  -4, -12,  -4,  -4,  -4,  -4, -20
 974,     1, -11,  -3,  -3,  -3,  93,  -3,  -3,  -7,  -3,  -7
 975,     1,  -3,  93,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 976,     1,  -5,  79,  -5,  -9,  -5, -17,  -5,  -5,  -5, -17
 977,     1, -10, -46, -38,  70, -18, -10, -22, -10, -10, -10
 978,     1, -37,  -9,  -9, -33, -21,  67,  -9,  -9,  -9,  -9
 979,     1,  -5,  -5,  -5, -21,  -5, -25,  -5, -21,  91,  -5
 980,     1,  -4,  -4,  -8,  -4,  -4,  -4, -12, -12,  84,  -4
 981,     1, -43,  53, -27, -11, -35, -11, -23, -27, -15, -47
 982,     1,  79,  -5, -21, -17,  -5,  -5,  -5, -21,  -9,  -5
 983,     1, -34, -22, -10, -30, -10, -42, -34,  58, -18, -22
 984,     1,  -7,  -7, -11,  65,  -7, -23,  -7,  -7,  -7, -15
 985,     1, -13,  -5, -25,  -9,  -5,  83,  -5,  -5,  -5,  -5
 986,     1,  -2,  -2,  94,  -6,  -6,  -2,  -2,  -2,  -2,  -2
 987,     1,  -7,  77, -19, -15, -31,  -7,  -7, -31, -23,  -7
 988,     0, -15, -19, -31, -11, -31, -11, -11, -11, -11, -35
 989,     0, -35, -11, -11, -11, -11, -39, -31, -11, -11, -47
 990,     1,  -3,  89,  -3,  -3,  -3, -11,  -3, -11,  -3,  -7
 991,     1, -26, -10, -10, -10, -10, -26,  58, -10, -10, -10
 992,     1,  -7,  69,  -7, -19,  -7,  -7, -23, -15,  -7,  -7
 993,     1, -21, -21, -21,  -5,  -5,  -5, -21,  -5,  91, -17
 994,     1,  -5,  -5, -13,  -9, -13,  91,  -5, -17,  -5,  -5
 995,     0, -11, -27, -43, -11, -15, -11, -11, -35, -19, -43
 996,     1,  -6,  -6,  -6,  -6,  -6,  -6, -30,  -6,  78,  -6
 997,     1,  -4,  88,  -8,  -4, -12,  -4,  -4, -20,  -4,  -4
 998,     1,  -8,  -8,  72, -32,  -8,  -8,  -8,  -8, -28,  -8
 999,     1,  -8, -40, -28, -16,  -8,  -8, -20,  -8,  -8,  84
