nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6,  A7,  A8,  A9,  A10,  A11,  A12,  A13,  A14,  A15,  A16,  A17,  A18,  A19
 347,     1,  -4,  -4,  -4,  -4,  -4,  92,  -4,  -4, -16, -16, -16,  -4,  -4, -12,  -4,  -4,  -4,  -4, -12,  -4
 348,     1,  -6,  -6,  -6,  -6,  -6, -26,  -6, -18, -18, -30, -10,  -6, -26, -30,  -6, -18,  -6,  90, -22,  -6
 349,     1,  -8,  -8,  -8, -32,  -8, -32,  -8,  -8, -36, -32,  -8, -16, -24, -32, -32,  -8,  72,  -8, -16, -24
 350,     1,  -6,  -6,  -6, -18, -10, -14,  -6,  -6,  -6,  -6,  -6,  -6,  -6, -14, -10,  82, -10,  -6, -22,  -6
 351,     1, -32,  -8, -32,  -8,  -8, -16,  -8, -24,  -8, -32,  -8, -16, -28,  -8,  -8,  -8,  72,  -8,  -8, -40
 352,     1,  77,  -7, -35,  -7,  -7, -19,  -7,  -7,  -7,  -7, -35,  -7, -19, -23,  -7, -15,  -7,  -7, -23, -23
 353,     1,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  88,  -4,  -4,  -4, -16,  -4,  -4, -12,  -4
 354,     1,  -6,  70, -18,  -6,  -6, -26,  -6,  -6, -22, -26, -14, -18,  -6, -18,  -6, -18,  -6,  -6,  -6,  -6
 355,     1, -16,  -8, -16, -20,  -4, -16,  -4,  -4,  -4,  -4,  84,  -8,  -8,  -8,  -4,  -4,  -4, -12,  -4,  -4
 356,     1,  -4,  -4, -12,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  88,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 357,     1,  -2,  -2, -10,  -2,  -2,  -2,  -6,  -2,  -2,  -2,  -6,  -2,  94,  -2,  -2,  -2,  -2,  -2,  -2, -10
 358,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  89, -11,  -3, -11,  -3,  -7,  -3,  -3
 359,     1,  -6,  -6, -10,  86, -22,  -6, -30,  -6,  -6, -22, -30,  -6, -10, -30,  -6,  -6,  -6, -22,  -6,  -6
 360,     1,  -7,  -7,  -7, -31,  -7,  -7, -11,  65,  -7, -35,  77, -15, -11,  -7,  -7,  -7,  -7,  -7, -27, -11
 361,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  90,  -2,  -6,  -2,  -2,  -2
 362,     1,  -9, -13,  -9,  -5,  -9,  83,  79,  -5,  -9,  -5,  -5, -17,  -5,  -5,  -5,  -5,  -5, -13, -21, -21
 363,     1, -14,  -6,  -6,  -6, -30,  -6,  -6,  -6,  -6, -18, -10, -14,  -6,  -6, -14, -10,  86, -22,  -6,  -6
 364,     1,  -7,  -7,  -7, -19,  -7, -15,  -7, -27,  -7,  -7,  -7,  -7, -15,  81,  -7, -23, -11,  -7,  -7,  -7
 365,     1,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  -3, -15,  -3, -15,  -3,  -3,  93,  -3,  -3,  -3,  -3,  -3,  -3
 366,     1, -20,  -8,  -4,  -4,  -4, -12,  -4, -16,  -4,  -4, -16,  -4,  -4,  -4,  -4,  84, -16, -16,  -4,  -4
 367,     1, -20,  -4,  -4,  80,  -4, -12, -16, -16,  -4,  -4,  -4,  -4, -20,  -4,  -4, -16, -12,  -4, -12,  -4
 368,     1,  -9, -37,  59, -29,  -9,  -9, -41,  -9,  -9,  -9,  -9,  -9,  -9,  -9,  -9,  -9, -25,  -9,  -9, -25
 369,     1,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  89,  -3,  -3,  -3
 370,     1, -11, -19,  -7,  -7,  -7, -27,  -7,  -7,  -7,  -7, -31,  -7,  -7,  -7, -15,  -7, -19,  73, -31,  -7
 371,     1,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -7,  -3,  -3,  -3,  -3,  85,  -3,  -3,  -3,  -3, -11
 372,     1,  -6, -14,  -6,  -6, -22,  -6,  -6,  -6, -18,  -6, -14,  -6,  -6, -14, -26,  -6,  -6,  90,  -6,  -6
 373,     1, -35,  -7,  -7, -23,  -7, -15,  -7, -19, -11, -23,  -7,  -7, -35,  -7, -11,  81,  -7, -15, -31,  -7
 374,     1,  -5,  -5,  -5,  -5,  -5, -17,  -5,  83, -21,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -9,  -5
 375,     1,  -7,  -7,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3, -11,  -3,  -3,  85,  -3,  -3,  -3,  -3,  -3
 376,     1, -17,  -5,  -5,  -5,  -5,  -9,  -5, -21,  -5,  79,  -5,  -5, -25, -17, -21, -21,  -5,  -5, -17,  -5
 377,     1,  -8,  -4,  -4, -16,  -4, -12,  -4,  -4,  92,  -4,  -4, -20,  -4,  -4,  -4,  -4,  -4,  -4, -12,  -8
 378,     1, -31,  -7, -15,  -7,  -7,  -7, -31,  -7, -11,  -7, -19,  -7,  81,  -7, -11,  -7, -19,  -7, -15, -27
 379,     1,  80,  -8,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  -4,  -4,  -4, -16
 380,     1,  -6,  -6,  -6,  -6, -18,  -6,  -6, -26,  -6,  86, -14,  -6,  -6,  -6,  -6, -10,  -6, -10,  -6,  -6
 381,     1,  -2,  -2,  90,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2, -10,  -2,  -2,  -2
 382,     1, -30,  -6, -14,  -6, -14,  90,  -6,  -6,  -6,  -6,  -6, -10,  -6,  -6, -26,  -6,  -6,  -6, -14, -10
 383,     1,  -4,  -4,  84, -12,  -4,  -4,  -4,  -4,  -4, -12, -16,  -4,  -4,  -4,  -4, -16,  -4,  -4,  -8,  -4
 384,     1, -21,  -9,  71,  -9,  -9, -33,  -9,  -9,  -9, -13, -33,  -9,  -9,  -9,  -9,  -9,  -9,  -9, -33,  -9
 385,     1, -31,  -7,  -7, -27,  -7,  -7,  -7,  85,  -7,  -7,  -7,  -7, -19, -31, -35, -15, -11,  -7,  -7,  -7
 386,     1, -12,  -8,  92,  -4,  -4, -16,  -4,  -4,  -4, -16,  -4,  -4,  -4, -12,  -4,  -4,  -4,  -4,  -4, -20
 387,     1,  -2, -10,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  94,  -6,  -2
 388,     1,  -5, -17,  -5,  -5, -13, -21,  -5,  -5,  -5, -13,  -5, -25, -21,  -5,  87,  -5, -21, -17,  -5,  -5
 389,     1,  87,  -5,  -5,  -5, -13,  -9,  -5,  -5,  -5, -13, -13, -25,  -5,  -5,  -5,  -9,  -5,  -5,  -9,  -5
 390,     1,  -4, -16,  -4,  -4,  -4,  -4,  84,  -4,  -4,  -4,  -4,  -4, -16, -16, -16,  -4,  -4,  -4,  -4, -16
 391,     1,  -8,  -8,  -8, -32,  -8, -20, -36, -24,  -8,  -8, -16,  -8,  84, -24, -24,  -8, -28,  -8, -20, -32
 392,     1,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  -7, -15,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  85,  -3,  -3
 393,     1,  -4,  -8, -20,  -4,  -4, -12,  -4,  -4,  84, -16,  -8,  -4,  -4,  -8,  -4, -20,  -4,  -4,  -4, -12
 394,     1,  -8,  -8,  -8, -32,  64,  -8,  -8, -36, -24, -32, -12, -16, -28, -20,  -8,  -8,  76, -24, -32,  -8
 395,     1,  -4, -20,  -4,  -8,  -4,  -4,  -4, -16,  -4,  -4,  92,  -4,  -4,  -4,  -4,  -4, -12,  -4,  -4,  -4
 396,     1,  79,  -5,  -5, -13,  -5,  -5, -13,  -5, -17, -21,  -5,  -5, -13,  -5,  -5,  -5, -17,  -5, -21, -17
 397,     1, -22, -14,  -6, -26,  -6,  90,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6
 398,     1,  -3,  -3,  -3,  -7,  -3,  -3, -15,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  89,  -3,  -3,  -3,  -3,  -3
 399,     1, -25,  -9, -25,  -5, -13, -25, -21, -25,  79,  -5,  -5, -25,  -5,  -5,  -5,  -5,  -5, -25,  -5,  -5
 400,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  -2,  -2,  90,  -2,  -2, -10
 401,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  88,  -4, -12,  -4,  -4, -20,  -4,  -4,  -4, -16,  -4,  -4
 402,     1, -24,  -8, -28, -16,  -8,  -8,  -8,  -8,  -8,  -8,  -8,  -8, -28,  76,  -8,  -8, -20,  -8,  -8,  -8
 403,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  84,  -4,  -4,  -4, -12,  -4,  -4,  -4,  -4,  -4
 404,     1, -11, -11, -11,  -3,  -3,  -3,  89,  -3,  -7,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 405,     1, -31, -19,  -7,  -7,  -7,  -7,  85, -23,  -7, -19, -23,  -7,  -7, -31,  -7, -15,  -7, -31,  -7, -27
 406,     1, -25,  -9, -21,  -9, -41, -41,  -9,  -9, -29, -37,  -9,  67, -17, -33, -33, -21, -29,  -9,  -9,  -9
 407,     1,  -4,  -4,  -8,  92,  -4,  -8,  -4,  -4, -16,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  -4,  -4, -12,  -4
 408,     1, -11,  -3,  -3,  -7,  -7,  -3,  -3, -11,  -7,  -3,  -7,  -7,  -3,  -3,  93,  -3,  -3, -15,  -3,  -3
 409,     1,  -8,  -8,  -8, -20,  -8, -12,  -8,  -8, -16,  -8,  -8, -12,  -8, -28,  -8,  -8,  -8, -28,  76,  -8
 410,     1,  -2,  94,  -6,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2
 411,     1, -11,  -3,  -3,  -3,  -3,  -7,  -3, -15,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  93,  -3,  -3,  -3
 412,     1,  -2,  -2, -10,  -2,  -2,  -2,  -6,  -2,  -6,  -2,  -2,  94,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2
 413,     1,  -4,  -4, -12, -16,  -4,  -8,  -4,  -4,  -4,  -4,  84,  -4,  -4,  -4,  -4,  -4,  -8,  -4,  -4,  -4
 414,     1,  -6,  -6,  -6, -22,  -6, -10, -26,  -6,  -6, -10,  -6, -22,  -6,  -6,  -6,  -6,  -6,  90, -22,  -6
 415,     1,  -7,  85,  -7, -23,  -7, -19, -31, -11, -15,  -7,  -7, -27, -35,  -7,  -7,  -7,  -7, -15,  -7, -15
 416,     1,  -9, -21, -17, -21, -17,  -5, -17,  -9, -17,  -5,  -5, -21,  91,  -5,  -5, -21,  -5,  -5,  -5,  -5
 417,     1,  -4, -12,  -4, -20,  -4,  -4, -16, -20,  -4,  -4, -16,  -4, -16, -16,  -4,  -4, -16,  88, -20,  -4
 418,     1, -11,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -7,  -3,  85, -11,  -3,  -3, -15,  -3
 419,     1,  -2,  -2,  -2,  -2,  -2, -10, -10,  -2,  -2,  94,  -6,  -2,  -6,  -2, -10, -10,  -2,  -2,  -2,  -6
 420,     1,  85,  -3,  -3, -11,  -3,  -3, -11,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  -3, -11
 421,     1, -16,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  -4,  -4, -20,  -4,  -4,  -4,  88,  -4,  -4, -12
 422,     1,  84, -16,  -4,  -4,  -4,  -4, -20,  -4,  -4,  -4, -12, -12,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  -4
 423,     1,  -3,  -3,  -3, -11,  -7,  -3,  -3,  -7,  -7,  -3,  -7,  -3,  93,  -3,  -3, -11,  -3,  -3,  -3,  -3
 424,     1,  -5,  83,  -5, -25,  -5,  -9,  91,  -9,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -9, -21, -13,  -5
 425,     1,  -3,  -3, -15,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3, -15,  85
 426,     1,  -6, -18, -26, -10, -10,  -6, -14, -18, -18, -18, -18,  -6,  -6,  78, -18, -14,  -6,  -6,  -6,  -6
 427,     1,  -3,  -3,  -3,  85,  -3,  89,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3
 428,     1,  -3,  85,  -3, -11,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11
 429,     1,  -7, -23,  65, -35,  -7,  -7,  -7,  -7, -27,  -7,  -7, -19, -31,  -7,  -7, -19,  -7,  85,  -7,  -7
 430,     1,  -4,  -4,  -8,  -4,  -4,  -4, -16,  -8,  -4,  -4,  -4,  -4,  -4,  -4,  88,  -4,  -4,  -4, -12,  -4
 431,     1,  -4,  -4,  -4,  -4, -20,  -8, -12,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -16,  -4,  -4, -12,  88
 432,     1,  -8,  -8,  60,  -8, -32,  -8, -24,  -8,  -8, -24, -24,  -8,  -8,  -8,  -8,  -8,  -8,  -8, -24,  -8
 433,     1, -12,  -8, -36, -20,  76, -28,  -8,  -8,  -8,  -8,  -8,  -8, -36,  -8,  -8, -16,  -8, -40, -28,  -8
 434,     1, -14, -26, -18, -26, -30,  -6,  -6, -14,  -6,  -6, -30, -30,  -6, -10, -14,  -6,  82,  -6, -30,  -6
 435,     1,  -5,  -5, -17,  -5, -21,  -5,  -5,  -5,  -5,  -5, -25, -13,  -5,  -5,  -5,  -5,  -5,  87,  -5,  -5
 436,     1, -34, -10, -26, -10, -10, -34,  58, -34, -14, -34, -10, -42, -10, -42, -10, -10, -26, -10, -10, -10
 437,     1, -14, -22,  70, -30, -14,  -6, -18,  -6,  -6,  -6, -18,  -6,  -6, -18,  -6, -14,  -6, -18, -26, -30
 438,     1,  -4,  -4,  -4,  -4,  -4,  -4,  84, -20,  -4,  -4, -16,  -4,  -4,  -4, -16,  -4,  -4,  -4, -16,  -4
 439,     1,  -9,  -9,  -9,  -9,  -9,  -9, -37,  63,  71, -13, -33, -13,  -9,  -9, -37,  -9, -17, -33,  -9, -41
 440,     1,  -4,  84,  -4,  -4,  -4, -20,  -4,  -4,  -4,  -4,  -4,  -4, -20,  -4, -16,  -4,  -4,  -4,  -4,  -4
 441,     1,  -4,  -4,  -4, -16,  -4,  -4,  -4,  -4,  88,  -4,  -4,  -4, -12,  -4,  -4,  -4,  -4,  -4, -16, -16
 442,     1,  -6,  -6,  78,  -6,  -6,  -6,  -6, -14,  -6,  -6, -30,  -6,  -6,  -6, -22,  -6,  -6,  -6,  -6, -18
 443,     1, -16, -16,  -4,  -4,  -4,  -4,  80,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -16,  -4,  88
 444,     1,  -6, -26,  -6, -22,  -6,  -6,  -6, -18, -26,  -6, -18,  -6,  -6,  -6,  -6,  82, -22, -26, -18, -22
 445,     1,  -5,  -5, -13,  91,  -5,  -5,  -5, -17, -13,  -5,  -5,  -5, -17,  -5,  -5,  -5, -21,  -5,  -5,  -5
 446,     1,  88, -16,  -4,  -4,  -4,  -4,  -4, -12,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -16,  -8, -16
 447,     0, -11, -11, -15, -43, -31, -23, -11, -11, -19, -11, -47, -35, -27, -11, -23, -11, -51, -43, -11, -11
 448,     1,  -4,  -4,  -4, -16,  92,  -8,  -4, -12, -12,  -4,  -4,  -4, -12,  -4,  -8,  -4,  -4,  -8,  -8,  -4
 449,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  -2, -10,  -2,  -2,  -2,  94,  -2,  -2
 450,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  -2,  -2,  -6,  -2,  90,  -2,  -2
 451,     1, -21,  -5,  -5, -21,  -5,  83,  -5,  -5,  -5,  -5, -25,  -5,  -5, -17, -17,  -5, -17,  -5,  -5,  -5
 452,     1, -13,  -9,  -9, -33, -17,  -9,  -9,  -9,  -9, -33,  -9,  -9, -41,  67, -37, -21,  -9, -17,  -9, -13
 453,     1,  -4,  -4,  -4,  -4,  84,  -4,  -4,  -4,  -4, -16,  -4,  -4,  -4,  -8,  -8,  -4, -20, -16,  -4, -20
 454,     1, -19, -11,  -7,  -7, -23,  73, -19,  -7, -19, -19, -31, -15,  -7,  -7,  -7,  -7,  -7,  -7, -11,  -7
 455,     1,  -4,  -4,  -4,  -4,  -4, -12,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  80,  -4,  -4, -16, -12,  -4
 456,     1,  -7, -15,  -7,  -7,  -7, -19, -27,  -7,  89,  -7, -19, -27, -19,  -7, -19,  -7, -15,  -7,  -7,  -7
 457,     1,  -4, -12,  -4,  -4,  92,  -4, -20,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  -4,  -4,  -4,  -4, -20,  -4
 458,     1, -16, -12,  80, -12,  -4,  -4,  -4,  -4,  -4, -20,  -4,  -4,  -4,  -4, -20, -12,  -4,  -4,  -4,  -4
 459,     1,  -5, -13,  -5,  -5,  -5,  -5,  -5, -13,  -5,  -5,  -9,  -9,  87,  -5,  -5,  -9, -25,  -5, -13, -25
 460,     1,  -5,  -5,  -5, -17,  -5, -21,  -5, -13,  -5,  -5,  -5,  -5,  -5,  79,  -5,  -5,  -5,  -5,  -5, -13
 461,     1, -21, -25, -13,  -9, -29, -17,  -9, -41, -13, -13, -29, -25, -37,  -9, -41,  59, -21,  -9, -41,  -9
 462,     1, -29, -41, -13,  -9, -13, -41, -41,  -9, -33,  67,  -9,  -9, -13,  -9, -13,  -9,  -9, -33,  -9,  -9
 463,     1,  -8,  -4,  -4, -20,  -4,  -4, -20,  -4,  -4,  92,  -4,  -4,  -8,  -4,  -4,  -4,  -4,  -4, -12,  -8
 464,     1, -26, -14, -26,  74,  -6,  -6, -14,  -6,  -6,  -6, -22,  -6,  -6,  -6, -18, -30,  -6,  -6,  -6, -30
 465,     1,  -2,  -2,  -2,  90,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  -2,  -2
 466,     0, -11, -15, -11, -27, -23, -43, -43, -15, -11, -19, -19, -11, -35, -11, -11, -11, -11, -23, -35, -11
 467,     1,  -6,  -6, -30, -18,  -6,  -6, -14,  -6,  -6,  78, -10,  -6, -18,  -6,  -6, -26,  -6,  -6,  -6, -30
 468,     1, -23,  85,  -7, -11,  -7,  85, -27, -15, -31, -23, -23,  -7,  -7,  -7,  -7, -31,  -7,  -7,  -7,  -7
 469,     1, -11,  -3,  -3,  -3,  -3,  93, -11,  -3, -11,  -3, -11,  -3, -11,  -3,  -7,  -3,  -7,  -3,  -3,  -7
 470,     1, -31,  -7,  -7, -19,  -7, -23, -23, -31,  -7,  65, -31,  -7,  -7, -31,  -7,  -7,  -7, -19,  77,  -7
 471,     1, -36,  -8, -36,  72, -12, -24,  -8, -28, -36,  -8, -32, -36,  -8,  -8, -28,  -8, -12,  -8,  -8, -16
 472,     1, -15,  -7,  -7, -19,  -7,  -7,  -7,  -7,  85, -23,  -7, -35,  -7, -27,  -7, -19,  -7, -31,  -7,  -7
 473,     1, -13, -21,  -5,  -9,  -9,  -5,  -5,  -5,  -5,  -5, -17,  -5,  -5,  -5,  -5,  83, -17, -25,  -5,  -5
 474,     1, -20, -20,  88,  -4, -12,  -4, -12, -12, -16,  -4, -20,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 475,     1,  -6, -26, -14, -18, -22,  -6, -26, -10, -14, -22,  -6,  -6, -22,  -6,  78,  -6, -26,  -6,  -6,  -6
 476,     1,  -8, -24, -20,  -8,  -8, -12, -28,  -8,  -8,  -8, -32, -12,  -8, -16,  -8, -36,  68, -28,  -8, -28
 477,     1,  -5,  -5,  -5,  -5,  -5,  -9, -13,  79,  -5,  -5, -21,  -5,  -9,  -5,  -5,  -5,  -5,  -5,  -5,  -5
 478,     1,  -3,  -3, -11, -15,  -3,  85,  -7,  -7,  -3,  -3,  -3, -15,  -3,  -3,  -7,  -3,  -3,  -3, -11,  -3
 479,     1,  -8,  -8, -28, -28,  -8,  -8, -20, -12, -20,  -8, -36, -20,  64,  -8,  -8, -36, -16,  -8, -32,  -8
 480,     1,  -4,  -4,  -4,  -8,  88,  -4, -12,  -4, -12,  -4,  -4, -12,  -4,  -4, -12,  -8,  -4,  -4,  -4,  -4
 481,     1,  -4,  84,  -4,  -4, -16,  -4,  -4,  -4,  -4,  -4, -20,  -8,  -4,  -4,  -4,  -4,  -4, -20,  -4,  -4
 482,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -7,  -3, -11,  -3,  85, -11,  -3,  -3, -11,  -3
 483,     1,  -2,  -2,  -2,  90,  -6,  -6,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  -2,  -2,  -2,  -2,  -2,  -2
 484,     1,  -7,  -7, -35,  -7,  -7, -23,  -7,  -7, -15,  -7,  69,  -7,  -7,  -7, -23, -19,  -7,  -7, -23, -15
 485,     1,  -7, -27,  -7,  -7,  -7,  -7,  -7,  -7, -31,  77, -19,  -7,  -7,  -7, -11, -15,  -7,  -7, -19,  -7
 486,     1,  -6,  -6,  -6,  -6, -22, -22, -22,  -6, -30,  -6,  -6,  -6,  -6,  -6,  -6, -10, -10,  -6, -26,  86
 487,     1, -20,  -8, -28, -36, -24,  -8, -36,  -8,  -8, -36, -32, -24,  -8,  -8, -40, -28, -32,  84,  -8, -12
 488,     1,  -6,  -6,  -6,  -6, -22, -26, -10,  -6, -10,  86,  -6,  -6,  -6, -14, -10, -10,  -6, -22,  -6, -10
 489,     1, -13, -13, -13,  -5,  83, -13, -13,  -5, -21,  -5,  -5,  -5, -21,  -5, -17, -25,  -5,  -5,  -5,  -5
 490,     1, -10, -34, -42, -10, -10,  66, -26, -42, -18, -42, -10, -26, -10, -14, -18, -42, -10, -10, -42, -14
 491,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2, -10,  -2,  -2,  -2,  90,  -2,  -2,  -2
 492,     1,  -4,  -4,  -4,  -8, -16, -12,  -4, -12,  -4,  -4,  -4,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  84,  -4
 493,     1,  -2,  -2,  94,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2
 494,     1,  -6,  -6,  -6,  -6, -26, -22,  -6,  -6,  -6,  -6,  -6, -14,  82,  -6,  -6,  -6,  -6,  -6, -22,  -6
 495,     1,  -5,  -5,  -5, -13,  -5,  -5,  -9, -13, -13,  -5,  -5, -17,  -5,  -5,  -5,  -5,  -5,  -5, -21,  87
 496,     1,  87,  -5,  -5,  -9,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -9,  -5,  -5,  -5,  -5,  -5,  -5
 497,     1,  -6, -18, -14,  -6,  -6,  90,  -6, -26, -22, -26,  -6, -10,  -6, -10,  -6, -26,  -6,  -6, -30,  -6
 498,     1, -13,  -9, -37, -33, -41,  -9,  -9, -21, -13,  -9, -13,  -9,  -9,  -9,  -9,  -9, -17,  -9,  63, -17
 499,     1,  -4, -12,  -4,  -4,  -4,  -4,  -4,  80,  -4,  -8,  -4,  -4,  -4, -16,  -4, -12,  -4,  -4,  -4,  -4
 500,     1,  -4,  -4,  -4,  -4,  -4,  -8, -12, -16,  -4,  -8, -16,  -4,  -4, -12,  -4,  80,  -4,  -4,  -4,  -4
 501,     1,  -4, -16,  92,  -4,  -4,  -4,  -4,  -4, -12,  -4,  -4, -16,  -4,  -4,  -4,  -4,  -8,  -8,  -4,  -8
 502,     1,  -3,  -7, -11,  -3,  -3,  -3,  -3,  -7, -15,  -3,  -3, -15,  -7,  -3,  -3,  89,  -3,  -3,  -3,  -3
 503,     1,  -5,  -5,  -5,  91,  -5, -25,  -5,  -5, -25, -25,  -5,  -5,  -5,  -5, -17, -21,  -5,  -5,  -5,  -9
 504,     1,  94,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2, -10,  -2,  -2,  -2,  -2,  -2,  -2
 505,     1,  -6,  -6, -18,  -6,  -6,  -6, -14,  70, -10,  -6,  -6, -10,  -6, -22,  74,  -6,  -6, -14, -26, -22
 506,     1, -12,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -12,  -4,  -4,  -4,  -8,  92
 507,     1,  -6,  90, -18,  -6,  -6,  -6, -22,  -6, -18,  -6, -22,  -6, -10, -18,  -6,  -6,  -6, -22,  -6,  -6
 508,     1,  -4,  -4, -16,  -4,  -8, -16,  -4,  -4,  -4,  -4,  -4, -12,  -4,  -4,  -4, -16,  -4,  92,  -4,  -4
 509,     1,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -9,  -5, -17,  -5,  -5, -21,  -5,  -5,  -5,  -9,  79,  -9
 510,     1,  -7, -23,  -7,  -7, -27,  -7,  -7, -15,  89,  -7,  -7, -23, -19,  -7, -15, -27,  -7, -15,  -7,  -7
 511,     1,  -8, -12,  -8,  -4, -16, -12, -16,  -4,  -4,  -4, -12, -16, -16,  -4,  -4,  -4, -16,  92, -12,  -4
 512,     1, -41, -41, -25,  -9,  -9,  -9,  -9, -37, -41, -29, -13,  -9,  71, -25, -33,  -9, -13, -25,  -9, -37
 513,     1, -21,  -5, -17,  -5,  -5,  -5,  -9, -21,  -5,  87,  -5,  -5,  -9,  -5,  -5, -21,  -5,  -5,  -5, -25
 514,     1,  -5, -13,  -5,  -5, -17,  -5,  -5,  -5,  -9,  -5, -25,  -5,  -5,  -9,  83,  -5,  -5,  -5,  -5, -17
 515,     1,  -9, -25,  -9,  -9,  -9,  -9, -21,  -9, -13, -41, -37, -37,  71,  -9, -37, -41, -29, -29,  -9,  -9
 516,     1,  -3,  -3,  -3, -11,  -7,  -7, -11,  -3,  89,  -3,  -3,  -3,  -3,  93, -11,  -3,  -3,  -3, -11,  -3
 517,     1,  -5, -13,  -5,  -5, -17,  -5,  -5,  -5,  -5,  87,  -5,  -5,  -5, -13, -17,  -5,  -5, -13,  -5, -13
 518,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  85,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3
 519,     1,  -3,  85,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -15,  -3,  -3, -11,  -3,  -3,  -3,  -3
 520,     1,  -4,  80,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  -4,  -4,  -4,  -4,  -4
 521,     1,  84, -16,  -4, -12,  -4, -16,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -16,  -4,  -4, -20,  -4,  -4,  -4
