nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6,  A7
 826,     1,  -4,  -8,  -4,  -4,  -4,  80,  -4,  -4
 827,     1,  -9,  -9, -17, -33,  -9,  63,  -9, -21
 828,     1,  -3,  -3,  93,  -3,  -3,  -7,  -3,  -3
 829,     1,  -2,  -2,  -2,  -2,  90,  -2,  -2,  -2
 830,     1, -24,  -8, -20,  -8,  -8, -16,  84,  -8
 831,     1,  -6,  -6,  -6, -30, -10,  82,  -6,  -6
 832,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  92
 833,     1,  -2,  -2,  -2,  -2,  94,  -2,  -2,  -2
 834,     1, -18,  58, -42, -30, -10, -14, -10, -10
 835,     1,  -8,  -8, -32,  80,  -8,  -8,  -8,  -8
 836,     1,  -2,  -2,  -2,  -2,  94,  -6,  -2,  -2
 837,     1, -11,  89, -27, -15, -19,  -7,  -7,  -7
 838,     1,  -5,  -5,  -5,  -5,  83, -25,  -5,  -5
 839,     1,  -2,  -2,  -2,  -6,  -2,  -2,  94,  -2
 840,     1,  -4,  -4,  -4,  84, -16,  -4,  -4,  -4
 841,     1,  -4,  -4,  -4,  -4,  92,  -4,  -8,  -4
 842,     0, -39, -43, -11, -43, -11, -11, -11, -11
 843,     1,  -5,  -5,  91,  -5,  -5,  -5,  -5, -17
 844,     1,  -8,  -8,  -8, -28, -24,  -8, -28,  88
 845,     1, -11,  -3,  -7,  -3,  -3,  93,  -3,  -3
 846,     1, -29, -17,  -9, -41,  71,  -9,  -9, -13
 847,     1,  -7,  73,  -7,  -7, -27, -11,  -7,  -7
 848,     1, -15,  -7,  -7,  -7, -31, -11,  65, -23
 849,     1, -26, -30,  90,  -6,  -6,  -6, -26,  -6
 850,     1, -38, -10, -10, -26, -10,  70, -42, -42
 851,     1,  -6,  -2,  -2,  94,  -2,  -2,  -2,  -2
 852,     1, -23,  -7,  -7, -15, -11,  89,  -7,  -7
 853,     1,  78,  -6,  -6,  -6,  -6,  -6,  -6, -26
 854,     1, -29,  -9, -37, -17,  59,  -9,  -9,  59
 855,     0, -43, -15, -11, -11, -11, -19, -15, -27
 856,     0, -43, -23, -11, -47, -23, -43, -11, -11
 857,     1,  -8,  -8, -12, -12, -20, -24,  76,  -8
 858,     1, -18, -26,  86,  -6, -14,  -6, -18, -14
 859,     1,  -9, -29, -41,  75, -41,  -9,  -9,  -9
 860,     1,  -7,  77, -31,  -7, -11, -23, -23,  -7
 861,     0, -19, -43, -11, -39, -31, -43, -11, -11
 862,     1, -10,  -6,  -6,  -6,  -6,  86,  -6,  -6
 863,     1, -33, -13, -37,  -9, -33,  71,  -9, -29
 864,     1,  -4,  -4,  -4, -12,  -4,  84,  -4,  -4
 865,     1,  -4,  -4,  92,  -4,  -4,  -4, -16, -20
 866,     1,  -5,  -5, -17,  -9,  -5,  -5,  79,  -5
 867,     1,  91,  -5,  -9,  -5,  -5,  -5,  -5,  -5
 868,     1,  -7,  -7, -27, -35,  85, -31, -27, -35
 869,     1,  -7, -15, -19,  73,  -7, -35, -27, -31
 870,     1,  -8,  -8,  -8,  -8, -32,  -8, -16,  84
 871,     1,  -3,  -3,  93,  -3,  -3,  -3,  -3,  -3
 872,     1,  -6,  82,  -6,  -6, -22, -14,  -6,  -6
 873,     1,  -5, -17,  87,  -5,  -5,  -9, -25,  -5
 874,     1,  -4,  -4, -20, -12, -16,  -4,  84,  -4
 875,     1,  -7,  -3,  -3,  -3, -11,  -3,  85,  -3
 876,     1,  -5,  -5, -13, -21, -21, -25, -13,  87
 877,     1, -32,  -8,  -8,  64,  -8,  -8, -36, -32
 878,     1,  -6,  -6,  -6,  -6,  78,  -6,  -6,  -6
 879,     1, -30,  78,  -6, -30, -10,  -6,  -6,  -6
 880,     1,  -8, -24,  64, -20,  -8, -20,  -8,  -8
 881,     1, -11,  -3,  -3,  -3, -11,  -3,  -3,  93
 882,     1, -38, -10, -10, -10, -10,  70, -22, -10
 883,     1, -19,  -7,  -7,  -7,  -7, -23,  77,  -7
 884,     1,  63, -33,  -9, -41, -13, -37,  -9, -29
 885,     1,  -9, -37,  -9,  -9,  -9, -17, -33,  71
 886,     0, -11, -43, -35, -19, -39, -11, -39, -19
 887,     1,  -9,  67, -25,  -9,  -9,  -9,  -9,  -9
 888,     1,  59, -29,  -9,  -9, -25, -41, -17,  -9
 889,     0, -43, -31, -11, -51, -11, -23, -27, -11
 890,     1, -11,  -7,  -3,  -3,  -3,  89, -11,  -3
 891,     1, -33,  67, -25, -17, -17, -41, -33,  -9
 892,     1, -10, -26,  70, -30, -42, -42, -18, -42
 893,     0, -11, -11, -23, -35, -11, -11, -31, -31
 894,     1,  -8,  -8,  80, -20,  -8,  -8, -28, -28
 895,     1,  -3,  89,  -3,  -3,  -3,  -3,  -3,  -3
 896,     1,  -4,  -4,  -4,  -4,  84,  -8,  -8,  -4
 897,     1, -11,  85,  -3,  -3,  -3, -15,  -3,  -3
 898,     1, -14, -26,  -6,  -6,  -6,  -6,  -6,  74
 899,     1,  -6, -30,  -6,  -6,  74, -26, -26, -22
 900,     1, -10,  66, -10, -30, -10, -10, -46, -38
 901,     1,  -4,  -4,  -4,  -4,  -4,  92,  -4,  -8
 902,     1,  -7, -11, -11, -31,  -7,  85,  -7,  -7
 903,     1, -25,  87,  -5, -21,  -5,  -5, -25, -17
 904,     1, -17,  -9, -33, -25, -13,  71, -17, -41
 905,     0, -11, -11, -11, -23, -11, -11, -11, -43
 906,     1, -41, -25, -13,  59, -37,  -9,  -9,  75
 907,     1,  -5, -21,  -5, -17,  -5,  -5,  -5,  79
 908,     1,  -4,  -4,  -4,  84,  -4,  -4,  -4,  -4
 909,     1, -19,  -7,  -7, -23,  -7, -27,  85,  -7
 910,     1, -29,  -9, -25, -41,  -9,  83,  -9, -25
 911,     1,  -8,  -4,  -4,  -4,  92,  -4,  -4,  -4
 912,     1, -18,  82,  -6,  -6,  -6,  -6, -26, -22
 913,     0, -19, -43, -35, -19, -11, -43, -43, -39
 914,     1, -41,  -9,  -9, -25,  -9,  -9,  59, -41
 915,     1,  -9,  -9,  -9,  -9, -37,  87,  -9, -17
 916,     1, -10, -10, -10, -10, -10, -10,  66, -10
 917,     0, -15, -11, -11, -11, -43, -11, -11, -11
 918,     1, -22, -22,  -6,  74,  -6,  -6, -14,  -6
 919,     1,  -4,  -4, -12,  -4,  -4, -12,  -4,  84
 920,     1,  63, -25,  -9, -17, -21,  -9,  63, -21
 921,     1,  78,  -6,  -6, -10, -30,  -6,  -6,  -6
 922,     0, -47, -11, -11, -11, -11, -11, -47, -11
 923,     1, -37,  -9,  -9, -13, -33, -37, -21,  75
 924,     1, -22, -10, -42, -42, -26, -10,  54, -42
 925,     1,  -4, -12,  -4,  88,  -4,  -8,  -4,  -4
 926,     1,  -9,  -9,  -9,  -9,  71,  -9, -33,  -9
 927,     1,  66, -30, -10, -10, -10, -10, -10, -18
 928,     0, -27, -11, -19, -19, -27, -11, -11, -31
 929,     1, -10, -42, -34, -42, -42,  86, -38, -26
 930,     0, -10, -10, -26, -10, -10, -26, -10, -10
 931,     1,  -4,  -4,  92,  -4,  -4, -12,  -4,  -4
 932,     1, -27,  -7, -11,  -7, -23,  73,  -7, -35
 933,     1, -15, -11, -11, -15, -11, -43, -11,  53
 934,     1,  -6, -26,  70,  -6,  -6,  -6,  -6, -14
 935,     1, -13,  -5,  91,  -5,  -5,  -5,  -5,  -5
 936,     1,  75, -13,  -9, -41,  -9, -21,  -9, -25
 937,     1, -28, -16,  -8, -32,  -8,  72,  -8,  -8
 938,     1,  -9,  67,  -9,  -9,  -9, -29, -21,  -9
 939,     1, -37,  -9, -25, -17, -21,  -9, -37,  79
 940,     1,  -5,  83, -17,  -5, -17,  -5, -17, -13
 941,     1, -15,  -7,  -7,  -7,  77,  -7, -11,  -7
 942,     0, -11, -27, -35, -43, -11, -35, -27, -11
 943,     1,  -6, -10, -26,  -6,  -6,  -6, -22,  82
 944,     1, -16,  -4,  -4,  84,  -4,  -4,  -4,  -4
 945,     1,  -3,  -3,  -3,  -3,  -7,  93,  -3,  -3
 946,     1, -11,  -3,  93,  -3,  -3,  -3,  -7,  -7
 947,     1,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  79
 948,     1,  -4,  -4,  84, -12, -16,  -4, -16,  -4
 949,     1, -41, -21,  63, -33,  -9,  -9,  -9, -33
 950,     1,  -7,  -7,  -7,  -7,  -7,  69, -31, -35
 951,     1,  -6,  82,  -6, -22, -14,  -6,  -6, -14
 952,     1, -32, -36, -28, -32,  -8, -28,  -8,  60
 953,     1, -36,  -8,  76, -32, -36,  -8, -24,  -8
 954,     1,  -7, -31,  69,  -7, -31,  -7, -19,  -7
 955,     1,  -7, -27,  -7, -23,  -7, -11, -35,  81
 956,     1,  -5,  -5,  -5, -17,  -5,  91,  -5,  -9
 957,     1,  -7,  -7,  -7,  -7,  -7, -23,  -7,  85
 958,     1,  -8,  -8, -24,  -8,  -8, -16,  60,  -8
 959,     1,  -3,  -3,  -7,  -3,  93,  -3,  -3,  -3
 960,     0, -11, -15, -11, -11, -23, -47, -11, -19
 961,     1,  -4,  -8,  -4,  -4,  -4,  -4,  92,  -4
 962,     1,  -6, -22,  -6,  78, -26, -10, -26, -22
 963,     1, -10,  70, -10, -10, -14, -42, -10, -10
 964,     1,  -5,  -5, -13, -17,  -5,  -5,  87,  -5
 965,     1,  -3,  -3,  -3,  -3,  -3,  -3,  93,  -3
 966,     1, -41,  67,  -9,  -9,  -9, -33, -41, -41
 967,     1, -24, -16, -20,  -8, -40,  60,  -8, -12
 968,     0, -23, -11, -11, -11, -43, -11, -15, -11
 969,     1, -27,  -7, -23,  -7,  -7, -19,  65, -27
 970,     1, -12, -16, -20, -28,  -8,  84, -32, -36
 971,     1,  -7,  -7, -27,  -7,  65, -19,  -7,  -7
 972,     1,  -9,  67,  -9, -37,  -9,  -9,  -9, -21
 973,     1,  -8, -16,  84,  -4,  -8,  -4,  -4,  -4
 974,     1,  -3,  93, -11,  -3,  -3,  -3,  -3,  -3
 975,     1,  -3,  -3,  -3,  93,  -3,  -3,  -3,  -3
 976,     1,  -4,  92,  -4, -16,  -4,  -4,  -4,  -4
 977,     1,  -9,  79,  -5,  -5,  -5,  -5,  -5,  -5
 978,     1,  -8,  72, -32,  -8,  -8,  -8, -12,  -8
 979,     1,  -9, -33,  -9,  79, -21, -41, -29,  -9
 980,     1, -26,  -6,  -6, -14,  -6,  86,  -6,  -6
 981,     1,  -3,  85,  -3,  -3,  -7,  -3,  -3,  -3
 982,     1,  -3,  93, -11,  -3, -11,  -7,  -3,  -3
 983,     1,  -7,  77, -11, -23,  -7, -31, -19,  -7
 984,     1,  -7,  -7,  -7,  65,  -7,  -7,  -7,  -7
 985,     0, -15, -39, -51, -15, -11, -35, -43, -47
 986,     1,  -4,  -4,  -4, -20, -16,  -4,  88,  -8
 987,     1,  -2,  -2,  -2,  -2, -10,  -2,  -2,  90
 988,     1, -13, -17,  -9,  -9,  79,  -9, -17,  -9
 989,     0, -23, -43, -31, -35, -23, -11, -11, -31
 990,     1,  -8, -40, -20, -28,  80,  -8,  -8, -40
 991,     1,  83,  -5,  -5,  -5,  -5,  -5,  -5,  -5
 992,     1,  -9, -29,  67, -37,  -9,  -9,  -9, -21
 993,     1,  70, -26,  90, -18, -26,  -6, -14,  -6
 994,     1,  -8, -28,  80, -20,  -8,  -8, -28,  -8
 995,     1,  70, -10, -10, -22, -26, -34, -10, -26
 996,     1,  -3,  -3,  -3,  -3,  -3,  -3,  89,  -3
 997,     1, -19,  -7, -11, -31,  -7,  85, -27, -35
 998,     1,  -9,  -5,  -5,  -5,  87,  -5,  -5, -17
 999,     1,  -9, -41,  -9,  -9,  -9, -37,  67, -17
