nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y,  A4x,  A4y,  A5x,  A5y,  A6x,  A6y,  A7x,  A7y,  A8x,  A8y,  A9x,  A9y,  A10x,  A10y,  A11x,  A11y,  A12x,  A12y,  A13x,  A13y,  A14x,  A14y,  A15x,  A15y,  A16x,  A16y,  A17x,  A17y,  A18x,  A18y,  A19x,  A19y 
 509,    1,   40,   10,   36,    0,   49,   11,   65,   11,   65,    0,   46,    0,   47,    0,   51,   10,   50,    0,   38,    0,   44,   11,   65,    0,   45,    0,   59,   10,   38,   11,   57,   10,   46,   11,   62,    0,   27,    0,   56
 510,    1,   33,    0,   63,    0,   39,    0,   50,   10,   51,   10,   55,    1,   26,   11,   56,    1,   52,    1,   46,    0,   58,   11,   63,   11,   63,   11,   62,    0,   61,    0,   49,   11,   58,    0,   65,   10,   42,    0,   45
 511,   10,   36,    1,   60,    0,   55,   10,   37,    1,   37,   11,   60,   10,   47,   11,   56,   10,   64,   11,   58,    1,   45,   11,   55,    0,   63,    0,   25,   10,   63,   11,   63,    0,   49,    0,   25,    0,   41,    1,   52
 512,   11,   54,    1,   37,   11,   55,    0,   59,   10,   55,   10,   39,   10,   43,   11,   59,    1,   60,   10,   48,    1,   62,   11,   57,   11,   55,   10,   60,    1,   51,   10,   40,   11,   58,   10,   65,    1,   26,    0,   42
 513,   11,   55,    1,   58,   11,   57,   10,   56,   10,   59,    1,   15,   11,   57,    0,   51,    0,   26,    0,   36,    1,   45,    0,   53,    1,   40,   10,   54,    1,   52,    1,   64,    1,   27,   10,   61,   11,   54,    1,   52
 514,   11,   65,    0,   46,   10,   54,   10,   37,   10,   58,    1,   53,    1,   37,    0,   48,    0,   45,    1,   24,   10,   52,    0,   41,   10,   61,    0,   18,    1,   29,   11,   58,   11,   65,   11,   57,    0,   22,    1,   60
 515,   10,   43,   10,   37,    1,   61,    1,   52,   10,   53,   11,   61,    1,   30,    0,   54,    0,   28,    1,   45,   11,   60,    0,   61,   11,   59,    0,   64,    1,   43,   10,   61,    0,   24,   11,   62,   10,   54,    0,   27
 516,    0,   65,    1,   63,    0,   32,    1,   33,    1,   33,    1,   56,    0,   54,   11,   54,    1,   16,   10,   36,    1,   43,    0,   59,   10,   43,    1,   17,    1,   62,   11,   56,   10,   65,    0,   23,   10,   58,    0,   63
 517,    1,   43,    1,   58,   10,   54,    0,   65,    0,   52,   11,   63,    0,   38,   11,   59,    1,   42,    1,   37,   11,   54,   11,   64,   11,   63,    1,   42,   11,   57,    0,   41,   10,   63,   11,   55,   11,   64,    0,   39
 518,   10,   61,    0,   19,    1,   41,   10,   58,    0,   58,   11,   60,    1,   60,    1,   55,   10,   63,   11,   58,    1,   16,   10,   52,   11,   61,    1,   44,    0,   65,   11,   62,   10,   61,   10,   56,    0,   25,   10,   47
 519,    0,   44,    1,   18,   10,   63,    0,   61,   11,   58,   11,   60,    1,   43,    0,   30,   10,   36,   10,   43,   10,   43,   10,   55,   10,   51,   11,   63,    1,   28,   10,   53,    0,   47,    1,   65,   11,   58,    0,   25
 520,    1,   20,    1,   26,    0,   25,    0,   49,    1,   24,   10,   63,    0,   52,   10,   53,   11,   65,   10,   39,   11,   56,   10,   42,    0,   57,    0,   41,   10,   37,    0,   31,   10,   62,    0,   19,    0,   64,    0,   44
 521,    1,   22,   10,   40,    1,   62,    0,   37,    1,   49,   10,   61,   10,   60,    1,   64,    1,   15,    0,   45,    1,   32,    1,   43,    1,   37,    1,   56,    0,   60,    1,   21,    1,   47,    0,   64,   10,   61,   11,   64
 522,    0,   48,   11,   62,    1,   44,    0,   46,   11,   58,   11,   54,   10,   36,    0,   27,    0,   19,    0,   52,    0,   48,    0,   40,    0,   52,    1,   35,    0,   19,   10,   36,    0,   30,   11,   60,    1,   20,   10,   49
 523,   10,   53,    0,   40,    0,   48,    0,   54,   10,   44,   11,   63,    0,   31,   11,   57,    0,   30,    0,   28,    0,   26,   11,   59,    1,   41,   11,   56,   10,   61,    1,   39,   10,   43,    1,   55,   10,   56,    0,   32
 524,   10,   41,   11,   65,    0,   19,    1,   28,    0,   55,   11,   60,   11,   65,    1,   55,   10,   45,   11,   56,   10,   50,    0,   33,    1,   47,    1,   64,    0,   41,    0,   55,   11,   57,    0,   48,    0,   23,    0,   34
 525,    1,   21,    1,   47,    0,   31,   10,   41,    0,   44,    1,   14,   10,   57,    0,   19,    0,   64,   11,   58,    1,   34,    1,   54,    1,   58,    0,   37,   11,   63,   10,   63,    1,   34,    0,   65,   10,   59,   11,   56
 526,    0,   44,    1,   21,    0,   52,    0,   51,   10,   56,   10,   54,   11,   62,    1,   12,   11,   64,    0,   58,   10,   43,    0,   33,   11,   60,    0,   52,    1,   57,   10,   61,   10,   41,    0,   46,    1,   51,    1,   14
 527,    0,   57,   10,   50,    1,   61,   11,   57,    0,   28,    1,   55,   10,   56,   10,   45,    1,   30,   10,   54,   11,   54,   11,   63,   11,   60,    0,   22,    0,   20,    0,   23,    0,   25,   11,   54,   11,   62,   10,   52
 528,    1,   52,    1,   49,    1,   62,   10,   43,    0,   59,    0,   42,   11,   62,   10,   63,   10,   51,    1,   28,    0,   51,   11,   58,   11,   61,    1,   45,   10,   59,    0,   47,   11,   57,    1,   45,   10,   36,    0,   35
 529,   11,   63,    1,   23,    0,   27,   11,   63,   10,   38,    1,   57,    0,   22,    1,   20,    1,   63,   10,   57,   10,   51,    1,   43,    0,   65,   10,   51,   10,   43,    0,   36,   10,   45,   10,   60,    1,   16,    1,   59
 530,    1,   30,    0,   31,    1,   35,   10,   56,    1,   21,    1,   55,    1,   54,    0,   45,   10,   38,   10,   36,   11,   57,    0,   28,    0,   48,    0,   44,    1,   25,   10,   40,    1,   32,   10,   64,    1,   30,    1,   55
 531,    0,   45,    1,   64,    1,   54,   10,   41,    0,   50,   11,   60,   11,   61,    1,   58,   10,   38,   11,   57,    1,   51,   10,   55,   10,   51,    1,   19,   10,   38,    1,   24,    0,   54,    1,   28,    1,   31,    0,   53
 532,    0,   32,   11,   61,    1,   65,    1,   57,   11,   56,   11,   56,   10,   46,   11,   60,   11,   58,   10,   51,   10,   44,    1,   22,    1,   25,   11,   58,   11,   55,    0,   31,    1,   40,    0,   35,   10,   61,    0,   34
 533,    1,   46,   11,   62,   10,   37,    0,   47,    1,   61,    1,   17,    0,   48,    0,   20,    1,   29,    0,   24,    0,   39,   10,   37,   11,   61,    1,   36,    0,   32,    0,   40,   10,   37,    1,   36,    0,   26,   11,   57
 534,   10,   47,    1,   33,   10,   50,    0,   21,   10,   59,    0,   26,    0,   18,    1,   21,   11,   61,   11,   55,   11,   55,    0,   37,    1,   17,   10,   44,    0,   27,   11,   62,    1,   28,    0,   23,   10,   46,   11,   56
 535,   10,   57,   11,   54,    0,   54,   10,   44,   11,   55,    0,   48,   11,   57,    0,   22,   11,   54,    0,   30,   11,   57,   11,   64,    0,   50,    0,   19,   10,   50,    1,   35,    1,   21,    0,   64,    0,   53,    1,   43
 536,   10,   57,    0,   50,    1,   23,   11,   62,    0,   39,   10,   41,   10,   40,   10,   59,   11,   57,   11,   58,   10,   63,   10,   42,    0,   46,    1,   37,    1,   32,   11,   62,   10,   36,   11,   59,   11,   64,    1,   31
 537,    1,   54,   10,   47,   11,   55,    1,   32,   11,   58,    0,   22,    0,   28,    1,   60,   10,   46,   11,   62,   11,   61,    1,   32,    0,   24,   10,   53,    1,   29,    0,   40,    1,   49,   10,   44,   10,   61,   11,   56
 538,   10,   41,    1,   38,    1,   48,    0,   60,    0,   47,    0,   39,   10,   53,   11,   59,    0,   35,   10,   62,   11,   63,   10,   39,   10,   37,    0,   59,   11,   60,    1,   40,   11,   54,    0,   28,   11,   63,   10,   42
 539,    0,   19,   11,   56,   11,   64,    0,   28,    1,   20,    1,   28,   11,   62,    1,   22,    0,   46,   11,   58,   11,   55,    1,   19,    0,   45,   10,   58,    1,   63,   10,   49,   11,   62,   11,   58,   11,   62,    0,   20
 540,   11,   64,    0,   64,   10,   53,   10,   51,    0,   51,    0,   24,   11,   64,    0,   38,    0,   51,    0,   62,   11,   57,   11,   61,   11,   65,   11,   59,    0,   41,   10,   64,   10,   46,    1,   45,   11,   59,   11,   60
 541,   10,   63,   10,   59,   11,   54,    0,   37,   11,   55,   10,   62,   10,   38,    0,   50,    1,   40,    1,   28,   10,   59,    1,   50,    1,   57,   11,   57,    0,   41,   10,   64,    1,   46,   11,   62,   11,   54,    0,   61
 542,   10,   46,   11,   56,    0,   34,   10,   49,   10,   63,    1,   45,    1,   51,   11,   56,   10,   50,    0,   30,   11,   54,    1,   60,   10,   47,    0,   39,    0,   58,   10,   36,    0,   46,    1,   53,   10,   45,    0,   51
 543,   10,   60,    1,   43,   10,   39,    1,   31,   11,   63,    1,   46,    0,   57,   11,   55,    0,   19,    0,   34,    0,   45,    0,   61,    1,   59,   10,   60,    1,   56,   10,   65,   10,   43,   11,   60,   10,   55,   11,   65
 544,    0,   46,    1,   21,   10,   39,    0,   21,    0,   30,    1,   33,   11,   54,   11,   63,   11,   64,    1,   31,    1,   60,    1,   53,   11,   62,   10,   51,    0,   22,   11,   63,   10,   43,    1,   32,    1,   56,   10,   56
 545,    1,   63,    1,   24,    0,   30,    0,   55,   11,   64,   10,   48,    1,   45,    0,   18,   10,   48,    1,   34,   11,   64,   11,   59,    0,   23,   11,   63,   11,   61,    1,   40,   10,   60,   10,   36,   10,   44,   11,   59
 546,   10,   64,    1,   58,   11,   61,   11,   58,   10,   58,   10,   44,    1,   31,   10,   62,    1,   35,    1,   47,    0,   43,    1,   32,   11,   54,   10,   47,   10,   60,   10,   43,   11,   56,   10,   52,   10,   50,   10,   45
 547,    1,   46,    1,   61,   11,   54,   10,   63,    1,   50,   10,   63,   10,   42,    1,   43,    0,   34,    0,   44,   11,   65,    1,   60,    0,   40,   10,   42,    0,   19,    1,   53,    0,   33,   10,   41,   10,   54,   10,   61
 548,    0,   59,   11,   64,    0,   61,    0,   33,    0,   40,   10,   41,    0,   46,    1,   21,   11,   60,   10,   54,    1,   53,   11,   65,   10,   63,    0,   45,    0,   62,    1,   58,    1,   56,   11,   58,    1,   26,   10,   39
 549,   11,   54,   11,   61,    0,   26,    1,   14,   10,   50,   11,   65,    1,   63,    1,   21,   11,   63,   11,   64,   11,   63,    0,   37,   10,   53,   11,   63,   10,   64,   11,   55,   10,   44,   10,   57,    0,   34,    1,   33
 550,    1,   43,    0,   45,   11,   60,    0,   53,    0,   40,   10,   46,   10,   63,    1,   14,   11,   57,    0,   50,    1,   49,   10,   48,    0,   48,   10,   56,   10,   41,    1,   58,   11,   62,    0,   37,   11,   64,    0,   33
 551,    0,   62,    0,   53,   10,   43,   11,   55,   11,   56,    0,   32,   11,   61,   10,   56,    1,   41,    1,   32,   10,   65,   11,   61,   11,   59,    0,   40,   10,   60,    0,   47,   10,   39,    1,   42,    1,   39,   10,   60
 552,   10,   54,    1,   39,   11,   64,   10,   64,   10,   49,   11,   61,   10,   42,    0,   54,    1,   48,   10,   53,   10,   46,    0,   63,    1,   24,    1,   38,   11,   62,    0,   35,    0,   18,   10,   37,   11,   57,    1,   20
 553,    1,   14,    1,   23,   10,   57,   10,   59,   11,   57,   11,   57,    1,   27,   11,   64,   10,   48,    1,   52,    1,   41,   11,   64,    1,   56,   10,   51,   11,   61,   11,   61,   10,   50,   10,   59,    1,   65,   11,   58
 554,   11,   56,   10,   54,    1,   21,   11,   60,    1,   59,   10,   42,   10,   50,    1,   52,   10,   45,   11,   59,   10,   57,   11,   64,    1,   65,   10,   54,   10,   47,   11,   60,   11,   59,   10,   37,    1,   41,   10,   49
 555,   10,   49,    0,   50,    1,   44,   11,   56,   10,   42,    1,   32,   10,   65,    0,   52,    1,   46,   10,   54,    0,   65,    0,   44,   10,   61,    0,   22,   10,   37,   11,   61,    0,   31,    0,   57,   10,   64,    1,   44
 556,   10,   61,    1,   12,   10,   46,    1,   59,    1,   59,   11,   62,    1,   57,    0,   39,    0,   28,    1,   53,   11,   63,    1,   33,    0,   26,   10,   45,    1,   56,   11,   60,   11,   60,    1,   42,    1,   13,   10,   56
 557,   11,   56,   10,   47,    0,   28,    0,   42,    0,   32,    1,   55,    0,   58,    0,   21,    1,   27,    1,   25,    1,   37,   11,   62,   10,   62,    1,   12,   11,   56,    0,   42,    0,   25,   10,   55,    1,   28,   11,   59
 558,   10,   60,   11,   64,    0,   41,    1,   15,   10,   65,    1,   33,    1,   25,   10,   39,   11,   54,   10,   42,   10,   37,    0,   37,    0,   62,   10,   65,   10,   64,    0,   27,    0,   62,    0,   46,    0,   55,    1,   25
 559,    1,   29,    0,   60,    0,   20,   11,   64,   11,   54,   10,   62,   10,   42,   11,   56,   10,   42,   11,   60,    0,   42,    0,   21,    1,   60,   11,   57,   11,   57,    1,   20,    0,   27,   11,   62,   10,   44,    1,   59
 560,    0,   53,    1,   47,    0,   26,    1,   42,   11,   58,    0,   42,   11,   59,   10,   52,    0,   53,   10,   44,    1,   15,   11,   63,    1,   27,    0,   55,    0,   34,    0,   24,   10,   60,   10,   53,    0,   35,   11,   65
 561,   11,   64,   10,   36,    0,   41,    0,   29,   10,   53,    1,   21,    1,   14,   10,   37,    0,   38,   10,   36,   10,   63,   11,   58,    1,   21,    0,   22,   11,   59,    0,   56,   10,   52,   11,   56,   10,   46,   11,   63
 562,   11,   62,    0,   31,   11,   62,    0,   18,    1,   26,    1,   50,    1,   62,    0,   36,   10,   48,    0,   43,   11,   63,    0,   63,    1,   20,    0,   27,   11,   55,    0,   61,   11,   62,   10,   64,   11,   57,   11,   61
 563,    0,   37,   10,   37,    0,   55,   10,   63,    1,   33,    1,   25,   10,   65,   10,   51,   11,   54,   10,   54,    1,   46,   11,   63,    0,   60,    1,   17,    1,   64,   10,   53,   11,   65,    0,   26,    0,   18,   11,   54
 564,   10,   55,   11,   64,    1,   27,   10,   50,    1,   19,    0,   56,    0,   41,    1,   60,   11,   59,    0,   28,    0,   42,    1,   56,   11,   60,   11,   65,    1,   24,    1,   28,   10,   53,    1,   43,   10,   48,    0,   59
 565,   10,   36,   10,   37,   10,   49,    1,   52,    1,   20,   10,   58,   11,   58,    1,   57,    0,   20,   11,   64,   10,   51,   11,   55,    1,   47,    1,   23,    1,   32,   10,   51,    0,   62,    1,   45,   10,   40,    1,   16
 566,   11,   63,    0,   34,    1,   21,   10,   43,    1,   36,    1,   37,   11,   64,   11,   56,   10,   43,   11,   57,    0,   45,   10,   45,    1,   39,   11,   60,   11,   61,    0,   20,    0,   18,    1,   57,    1,   21,    0,   39
 567,   11,   60,    0,   23,   11,   54,    1,   19,   11,   55,    0,   31,   10,   42,    1,   61,    1,   41,    1,   45,    1,   58,   10,   53,    1,   30,   11,   65,   11,   64,   10,   61,    0,   54,   11,   58,   11,   65,    0,   60
 568,   11,   63,    1,   27,    1,   44,    1,   51,    0,   32,    1,   48,    0,   34,   10,   55,   10,   44,   11,   60,    1,   35,   11,   61,    1,   43,    1,   21,    0,   43,    1,   31,    1,   29,   11,   58,   10,   51,   10,   55
 569,    0,   56,    1,   57,    1,   63,    1,   51,    1,   64,    0,   19,    0,   32,    0,   45,   11,   59,    0,   37,    0,   59,   10,   65,    1,   24,   10,   52,    1,   61,   11,   55,    1,   35,    0,   51,   11,   58,   11,   58
 570,   11,   56,   11,   55,    1,   23,   10,   63,   11,   64,    1,   58,   10,   46,    0,   36,    0,   57,   11,   62,    1,   16,   11,   59,    1,   55,   11,   58,    0,   44,    0,   43,    1,   61,   10,   53,   10,   42,    0,   54
 571,    1,   34,    1,   56,    0,   40,   11,   61,   11,   57,   11,   56,    0,   41,   11,   54,   10,   41,    1,   63,   11,   63,   10,   60,   11,   64,   10,   44,   11,   60,    1,   34,   11,   65,    0,   41,   11,   59,   11,   55
 572,   10,   51,   11,   60,   10,   40,    0,   37,   10,   58,    1,   54,    1,   34,    0,   34,    0,   65,    0,   53,   10,   61,    1,   28,   10,   49,   11,   59,    1,   19,    0,   42,    1,   17,   10,   64,    0,   46,    0,   34
 573,    0,   20,   10,   36,    1,   58,    1,   20,    0,   42,    1,   64,   11,   64,   11,   62,    0,   56,   10,   56,    0,   36,   10,   57,   11,   55,    1,   30,   10,   59,    0,   60,    0,   19,   11,   57,   11,   62,   10,   52
 574,    0,   31,   11,   63,   10,   41,    0,   38,   10,   57,    0,   19,    0,   39,    1,   35,    0,   28,   11,   54,   10,   44,    1,   60,   10,   62,    0,   24,   10,   47,   10,   44,   10,   38,    1,   37,   11,   59,   11,   56
 575,   10,   45,   11,   63,   10,   39,   11,   62,   11,   62,    0,   27,    0,   39,    0,   22,   11,   61,    0,   22,    0,   36,    1,   40,    0,   55,   10,   63,   11,   57,   10,   51,    0,   29,   10,   41,   11,   58,   11,   63
 576,   10,   48,   10,   62,   11,   57,   11,   64,   11,   61,    1,   62,   10,   55,   11,   58,    0,   63,    0,   48,   11,   64,   11,   61,   11,   62,   10,   62,   11,   58,    0,   21,    1,   47,    1,   12,   10,   56,    0,   40
 577,   10,   61,    1,   54,    1,   17,    1,   28,    0,   65,    0,   34,    1,   31,   11,   61,    0,   26,   10,   45,   11,   58,   11,   60,    0,   32,   10,   60,    1,   30,    1,   57,    0,   64,   11,   58,    1,   59,    1,   14
 578,    1,   49,    1,   29,   11,   59,   11,   62,    1,   48,    1,   42,   10,   63,   11,   61,   11,   64,   11,   62,    0,   52,    0,   43,   10,   42,   10,   48,    0,   61,   10,   59,   11,   65,   10,   40,    0,   54,   11,   58
 579,   10,   37,    0,   60,    1,   39,    0,   61,   11,   55,    0,   20,   11,   58,   11,   61,   11,   61,   10,   58,    1,   18,   10,   51,    0,   43,   11,   54,   10,   65,    0,   50,   11,   65,   10,   36,   11,   57,   11,   54
 580,    1,   52,   11,   57,    0,   25,    1,   51,   10,   65,   10,   53,   11,   64,    0,   63,   11,   58,    1,   41,   11,   64,    1,   48,    0,   34,    0,   39,    1,   21,   10,   36,    1,   19,    1,   51,   11,   59,   11,   64
 581,   10,   56,    1,   49,   10,   54,    1,   24,    1,   46,   10,   51,   11,   62,   11,   56,   11,   63,   11,   57,   10,   46,   11,   57,   10,   48,    0,   36,   11,   62,    1,   15,    1,   43,    1,   30,   11,   55,   10,   44
 582,    0,   32,    1,   28,   11,   62,   10,   59,    1,   20,    0,   61,   10,   58,    1,   45,   10,   46,   10,   57,    0,   30,   11,   55,    1,   47,   10,   43,   11,   59,    0,   53,    0,   20,    1,   45,    1,   18,    0,   48
 583,   11,   54,   11,   59,    1,   33,    0,   59,   10,   50,   10,   39,    0,   55,    1,   23,   11,   65,   10,   45,   10,   45,    1,   56,   11,   65,    1,   62,   11,   61,    1,   53,    0,   23,    1,   59,    0,   51,    0,   38
 584,    1,   64,   11,   65,   11,   61,   10,   64,    0,   47,    0,   33,    0,   24,    1,   44,   10,   44,    0,   37,    0,   52,    0,   23,    0,   60,   11,   63,    0,   28,    0,   64,    1,   44,    0,   26,   10,   43,    0,   63
 585,   11,   64,   11,   56,   10,   39,    1,   23,   11,   65,   11,   60,    0,   19,   11,   65,   10,   53,    0,   29,    1,   44,    0,   31,   11,   57,   11,   58,    0,   47,    1,   45,    0,   30,   10,   41,    1,   41,   11,   55
 586,   10,   58,    1,   48,   11,   58,   10,   57,   11,   54,    0,   46,   11,   62,   10,   50,    1,   37,    0,   33,   10,   45,   11,   55,    1,   38,   10,   57,    0,   32,    0,   65,   11,   56,   11,   56,    0,   30,   11,   61
 587,    1,   18,    0,   45,   11,   57,   10,   53,    1,   15,   10,   48,    0,   53,   10,   42,    1,   58,   11,   62,    0,   19,   11,   61,   10,   47,    1,   12,    0,   58,   11,   61,   10,   41,    0,   46,    0,   22,   10,   54
 588,    0,   62,   10,   52,   10,   62,   11,   57,    1,   31,    0,   50,   11,   62,   10,   36,    0,   26,    1,   52,    0,   47,    1,   22,   11,   64,    0,   25,    0,   23,   11,   58,    1,   50,    1,   40,    0,   53,   11,   60
 589,    0,   39,   10,   61,    0,   45,    0,   64,   11,   63,   10,   57,   10,   63,    0,   44,    0,   64,    1,   44,    0,   65,    1,   26,    1,   30,    1,   13,   10,   58,   11,   64,    1,   58,    1,   29,    1,   65,    0,   56
 590,    1,   34,   10,   58,   11,   61,    1,   41,    0,   19,    1,   23,   10,   41,    1,   47,    0,   48,   10,   61,    1,   18,   11,   58,   11,   65,    1,   60,    0,   24,   10,   56,    0,   35,    1,   17,   10,   65,   11,   60
 591,    1,   33,   10,   38,   10,   60,    0,   35,   10,   42,    1,   33,   10,   60,    1,   47,   11,   54,    1,   15,    1,   50,    1,   24,    0,   65,   11,   62,    1,   57,   11,   61,   10,   37,   10,   37,    1,   54,   11,   65
 592,    0,   27,    0,   53,   11,   65,    1,   48,   10,   59,   11,   56,    1,   15,   10,   47,    0,   28,    0,   61,    1,   57,    0,   57,   10,   36,   10,   47,   11,   57,    1,   38,    0,   64,    0,   60,   11,   65,    1,   16
 593,    0,   22,   11,   58,   11,   63,   10,   36,    0,   30,    0,   53,   10,   63,   11,   56,   11,   60,   10,   47,    1,   41,    0,   60,    0,   25,   11,   55,    0,   27,   11,   55,    0,   34,    1,   48,   10,   60,    0,   63
 594,   10,   45,   11,   62,    1,   60,    1,   59,    0,   57,    1,   30,    1,   34,    0,   44,    0,   41,   11,   61,    0,   24,   10,   37,   11,   56,   11,   64,    0,   53,    1,   45,   10,   62,   10,   40,    0,   34,    0,   30
 595,   11,   60,    0,   33,   10,   37,   11,   61,   11,   57,    0,   49,    0,   55,   11,   58,    0,   27,    1,   19,    1,   55,    1,   20,    1,   52,   10,   55,   11,   62,   10,   64,   11,   62,   10,   51,    0,   18,   11,   64
 596,   11,   64,   10,   42,    1,   12,    1,   49,    1,   64,   11,   59,   10,   36,   10,   54,   11,   60,   11,   54,   11,   56,   10,   59,   11,   57,   11,   63,   11,   58,    1,   33,    0,   34,    0,   32,    0,   60,    0,   32
 597,   10,   37,   11,   56,   11,   54,    1,   42,    0,   50,    0,   61,    0,   54,   10,   41,   10,   59,    0,   24,   10,   42,   10,   53,   11,   54,    0,   43,   11,   57,   10,   51,    1,   27,    1,   62,    0,   43,   11,   56
 598,   11,   64,   11,   61,   11,   55,    0,   24,    0,   61,   10,   46,   11,   56,    0,   28,   11,   57,    1,   28,    1,   51,    0,   62,   10,   52,   11,   65,    0,   36,   10,   56,   11,   63,    0,   64,   10,   39,    0,   44
 599,   10,   65,   10,   59,    1,   56,    0,   39,   11,   63,    0,   54,   10,   42,   10,   64,    1,   16,    0,   29,    1,   16,    1,   65,    1,   37,    0,   25,   11,   55,   10,   53,    0,   42,   11,   61,    0,   27,    0,   31
 600,   10,   48,   10,   39,    1,   65,    0,   38,   11,   54,    1,   61,   10,   62,   11,   56,    1,   12,   10,   64,   10,   38,   11,   65,    1,   26,   11,   58,   11,   63,    1,   30,   11,   60,    0,   59,   11,   56,    0,   47
 601,   11,   59,   11,   59,   11,   63,    1,   57,   11,   54,    1,   25,    0,   55,    1,   63,   11,   55,   10,   64,   11,   57,   10,   47,    0,   50,    0,   24,   10,   59,    0,   49,    0,   29,    1,   14,   10,   38,    1,   60
 602,   10,   63,    0,   39,    0,   54,   11,   61,    0,   44,    1,   42,   11,   64,   11,   58,   10,   53,    0,   55,    1,   41,    1,   43,    1,   55,   11,   59,    1,   21,    0,   58,    0,   19,   11,   54,    1,   36,    0,   52
 603,    0,   54,    1,   37,    1,   21,    0,   60,   10,   65,   10,   38,    1,   47,   11,   62,   11,   64,   11,   55,    1,   46,   11,   62,   11,   58,   11,   55,   10,   40,    0,   49,   11,   55,   11,   60,   11,   61,   11,   65
 604,    0,   38,    1,   47,    1,   32,   10,   57,   11,   61,    1,   45,   11,   57,    1,   39,    0,   47,    1,   43,    1,   33,    1,   23,   11,   54,    0,   60,    0,   36,   11,   56,    0,   64,   10,   41,   10,   63,   11,   59
 605,    1,   63,    1,   29,    0,   22,   11,   60,   11,   58,    0,   42,    1,   22,   10,   62,    1,   22,   11,   58,   10,   37,   11,   62,    0,   61,    1,   22,    1,   15,   11,   64,   10,   42,   11,   62,    1,   21,   11,   54
 606,   10,   61,   11,   63,   10,   57,    1,   40,   10,   60,   11,   59,   11,   57,    0,   44,   11,   55,    0,   48,   11,   65,   10,   48,   10,   62,    1,   43,    0,   38,   10,   41,    0,   20,    0,   51,    0,   21,    0,   42
 607,   10,   64,    1,   46,    1,   63,   11,   58,    1,   40,    0,   64,    1,   53,    1,   61,    1,   15,    0,   20,    0,   33,    0,   26,    0,   22,   10,   44,    1,   33,   11,   56,    0,   58,   11,   62,    0,   65,    0,   60
 608,   11,   62,    0,   41,    0,   60,    1,   29,    0,   37,    0,   40,    0,   53,    0,   25,    0,   31,    1,   24,    1,   58,   10,   46,    1,   43,    0,   25,   11,   64,    1,   32,   11,   59,   10,   49,   10,   38,    1,   23
 609,    0,   41,    1,   16,   11,   57,   11,   58,   10,   59,    0,   46,   10,   62,   11,   65,    0,   54,    1,   24,    0,   58,    0,   21,   11,   56,   10,   54,    1,   22,    0,   22,    0,   28,    0,   47,    0,   27,   11,   60
 610,   10,   62,    1,   36,    0,   30,   10,   47,    0,   40,    1,   33,   11,   65,   11,   59,    0,   30,   10,   65,   11,   60,    1,   63,   11,   56,    1,   23,   10,   54,   10,   36,    1,   26,    1,   45,    0,   23,   10,   46
 611,   11,   65,   11,   64,   11,   60,   11,   55,    1,   33,    0,   61,    1,   62,   11,   57,   11,   62,    0,   20,    1,   18,    0,   47,   10,   44,   10,   56,   11,   62,    0,   54,   11,   62,   10,   55,   11,   58,    1,   52
 612,   10,   65,   10,   57,    1,   59,    0,   34,   10,   63,   10,   41,    1,   23,    1,   25,    1,   37,   10,   46,    1,   16,    0,   42,   10,   65,   11,   56,   10,   52,    1,   17,    0,   46,    1,   26,   11,   59,   11,   63
 613,   10,   38,    0,   57,   11,   56,    1,   43,    1,   49,    0,   38,    1,   42,    1,   63,   10,   37,   11,   64,   11,   55,   10,   47,    0,   21,   11,   60,   10,   59,   11,   60,    1,   38,    0,   45,   10,   49,    0,   23
 614,   10,   44,    0,   62,    1,   16,   10,   64,    0,   18,   11,   54,    1,   26,   11,   62,   10,   36,   11,   63,   10,   41,    1,   55,   11,   65,   11,   55,   10,   52,    1,   65,    0,   32,    1,   65,   11,   57,    1,   41
 615,    1,   32,    0,   25,    0,   37,    0,   30,    1,   26,   11,   58,    0,   52,    1,   16,   10,   43,   11,   57,    1,   63,   10,   42,    0,   41,   11,   54,   10,   44,   10,   55,   11,   59,    1,   32,   11,   64,    0,   55
 616,    1,   22,   11,   59,   10,   45,   11,   59,   10,   55,   11,   58,   11,   56,   10,   47,    1,   48,    1,   46,   11,   61,   10,   57,    0,   45,   11,   63,   10,   45,    1,   12,   10,   59,   11,   64,   10,   54,    0,   22
 617,    1,   34,    1,   30,    1,   39,   10,   51,    1,   37,    0,   50,   10,   56,   11,   61,   10,   51,   11,   62,   10,   55,   10,   45,   10,   49,   10,   37,   10,   40,    1,   32,    0,   43,    1,   59,   10,   39,    0,   44
 618,   11,   59,   11,   61,    0,   64,    0,   64,   11,   59,   10,   37,    0,   65,    0,   48,    1,   28,    1,   64,   11,   62,   10,   59,    1,   13,    1,   37,   11,   54,   10,   40,    0,   61,   11,   59,    1,   33,   10,   56
 619,   11,   58,    0,   50,   11,   62,    1,   30,   11,   63,    0,   39,    1,   19,   11,   59,   11,   61,    0,   42,   10,   55,   10,   36,   10,   37,    0,   61,    1,   27,   10,   38,   10,   53,    1,   34,   10,   60,   10,   44
 620,   10,   41,   10,   50,   10,   55,   10,   51,   10,   49,   10,   63,   11,   59,   11,   63,    1,   30,    1,   54,    1,   34,   11,   57,   11,   62,   10,   36,   10,   56,   11,   65,   11,   65,   11,   64,   11,   60,    0,   61
