nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y,  A4x,  A4y,  A5x,  A5y 
 712,    0,   56,   10,   62,    1,   60,   11,   59,   11,   57,   10,   42
 713,    1,   52,   11,   54,   11,   64,   11,   62,    0,   63,   11,   62
 714,   10,   56,   10,   51,    0,   36,    1,   36,   11,   57,    0,   27
 715,   10,   48,   11,   55,   10,   60,    1,   60,   11,   59,   11,   59
 716,   11,   58,   10,   48,    1,   36,    1,   50,    0,   63,   10,   58
 717,    1,   60,   10,   62,    1,   64,    1,   23,    0,   35,   11,   54
 718,   10,   45,    1,   28,    1,   34,    0,   53,    1,   17,   11,   56
 719,   10,   53,    0,   63,   11,   62,    0,   51,    0,   40,    1,   25
 720,   11,   55,    1,   44,   11,   64,   10,   65,    0,   34,   11,   56
 721,    1,   35,   10,   40,   11,   65,   10,   56,    1,   22,    1,   27
 722,    1,   40,   10,   55,    0,   25,    0,   22,    1,   25,   10,   59
 723,    1,   45,    1,   17,    1,   16,   10,   65,    0,   41,    0,   63
 724,    1,   44,    1,   35,    0,   31,   11,   59,   10,   44,   11,   61
 725,   11,   57,    0,   30,    1,   57,   11,   55,   10,   40,   10,   50
 726,   10,   59,    1,   39,   10,   53,    1,   29,    1,   51,   11,   63
 727,    1,   58,    0,   33,   10,   49,   10,   56,   10,   50,    0,   59
 728,    1,   14,   10,   51,    0,   42,   11,   60,   10,   44,   10,   58
 729,    0,   24,   11,   62,   10,   44,    1,   38,    0,   23,    0,   20
 730,    0,   19,    1,   22,   10,   44,   10,   54,   11,   61,    1,   48
 731,   11,   64,   10,   39,   10,   53,   11,   60,    0,   56,    1,   43
 732,    1,   34,    0,   42,   10,   60,    1,   22,   11,   64,    1,   63
 733,    0,   23,   11,   54,    0,   64,    0,   53,    1,   42,    1,   19
 734,    0,   47,    0,   44,    0,   56,   10,   62,    1,   19,   11,   61
 735,    0,   28,    0,   51,   11,   57,    0,   25,   11,   62,    0,   58
 736,    0,   23,   10,   52,    0,   37,    0,   22,    1,   20,    1,   51
 737,   10,   60,   11,   57,   10,   41,    1,   34,    0,   56,   10,   54
 738,    1,   19,    0,   27,   11,   54,   11,   59,   10,   61,   10,   54
 739,    0,   28,   10,   64,   10,   36,   11,   64,    0,   37,   10,   48
 740,    1,   55,   11,   60,   10,   45,   10,   54,    1,   13,   11,   58
 741,   11,   55,   10,   65,    0,   42,    1,   33,    1,   32,   11,   54
 742,    0,   36,    1,   47,   11,   60,    1,   50,    0,   42,   11,   62
 743,   11,   65,    0,   57,    1,   23,    1,   21,   10,   51,    0,   56
 744,   10,   36,    1,   54,   10,   53,   11,   59,   10,   61,    0,   37
 745,    0,   61,   10,   59,    0,   45,    0,   41,    1,   41,    0,   45
 746,    0,   47,   11,   56,   11,   63,   10,   61,   10,   57,    1,   61
 747,   10,   55,    1,   48,   10,   49,   10,   62,    1,   30,   10,   38
 748,   11,   64,   10,   62,   11,   56,   10,   52,   10,   49,   11,   58
 749,    0,   19,    0,   54,   11,   62,    1,   58,    1,   64,   11,   55
 750,    0,   64,    0,   21,    1,   51,   10,   38,   11,   62,   10,   40
 751,    0,   58,    0,   26,   10,   54,    0,   26,   11,   58,   11,   62
 752,   11,   56,   10,   53,   10,   44,    0,   50,   11,   55,    0,   54
 753,    0,   58,    1,   35,    0,   39,   11,   63,    0,   27,   10,   53
 754,    0,   29,    0,   22,    0,   57,   10,   63,    0,   21,   10,   59
 755,    0,   45,    1,   25,    1,   17,   10,   51,    1,   29,    1,   32
 756,    1,   15,   10,   38,    1,   44,    1,   55,    0,   31,   10,   64
 757,    0,   27,   10,   55,    1,   18,    0,   39,   10,   62,    0,   29
 758,   10,   41,    0,   29,    1,   48,   10,   45,    1,   19,    0,   65
 759,    1,   45,   10,   61,   11,   56,    0,   26,   10,   55,    0,   35
 760,    0,   30,    0,   55,    0,   65,    1,   27,   11,   58,    1,   24
 761,   10,   38,    0,   36,   11,   59,    0,   55,   11,   57,   10,   55
 762,   11,   62,   10,   50,   10,   58,   11,   61,    0,   28,   11,   55
 763,   11,   57,    0,   64,    1,   56,    0,   37,   11,   54,   10,   65
 764,    0,   47,   10,   55,   11,   57,    1,   24,    0,   61,   11,   61
 765,    0,   29,    0,   43,    1,   48,    1,   23,    1,   52,    1,   22
 766,    0,   18,   10,   52,   10,   48,    1,   50,    0,   18,   11,   59
 767,   10,   65,   10,   42,   10,   47,    1,   28,    1,   32,   10,   38
 768,   11,   61,    0,   50,    0,   23,   10,   60,    1,   23,   11,   59
 769,   10,   41,    0,   36,    0,   48,   11,   55,   10,   52,   11,   62
 770,   11,   54,    0,   60,   11,   57,   10,   46,   11,   60,    0,   52
 771,   10,   48,    1,   40,    0,   39,   11,   59,   10,   45,   11,   57
 772,    0,   24,   10,   58,   11,   65,    1,   29,    1,   34,    0,   38
 773,   10,   63,   10,   50,   11,   62,   11,   60,   11,   55,   11,   56
 774,   11,   62,    1,   38,   10,   64,   10,   56,    0,   27,    0,   58
 775,   11,   54,    0,   38,   10,   51,   10,   65,    0,   55,   11,   62
 776,    1,   17,   10,   36,   11,   64,    0,   29,    1,   32,   11,   63
 777,    1,   25,    1,   32,    0,   56,    1,   23,    1,   18,    1,   31
 778,   11,   61,    1,   25,    1,   14,   10,   46,   11,   64,    0,   35
 779,    0,   52,   11,   63,   10,   44,   11,   56,    1,   64,   11,   63
 780,    0,   38,   10,   60,    0,   55,   11,   61,    0,   55,    1,   16
 781,    0,   30,    0,   19,    1,   15,    1,   53,    0,   53,    1,   58
 782,   10,   53,   11,   55,    1,   23,    1,   13,   11,   54,   10,   51
 783,   10,   36,    0,   31,   11,   65,    1,   62,   10,   48,   11,   57
 784,    1,   57,   11,   62,    1,   12,    0,   47,    1,   27,   11,   61
 785,    1,   33,    1,   59,    0,   56,    1,   21,    1,   31,   10,   48
 786,   11,   63,   11,   63,    1,   22,   10,   41,    1,   12,   10,   50
 787,    0,   29,    1,   44,    0,   37,   11,   60,   10,   43,   10,   40
 788,    1,   51,    1,   46,   11,   65,    1,   56,    1,   51,   11,   56
 789,   10,   48,    1,   34,    0,   21,    1,   34,    0,   28,   10,   42
 790,   11,   56,    0,   51,    1,   33,   10,   49,    1,   29,   11,   55
 791,   10,   58,   11,   63,    0,   26,    1,   21,   11,   62,    1,   57
 792,    0,   48,    0,   27,    0,   32,    1,   39,    1,   23,    1,   32
 793,    0,   42,    1,   22,    1,   33,    1,   34,   10,   50,    0,   59
 794,   10,   56,    1,   34,    1,   19,   10,   65,    0,   54,   10,   53
 795,   10,   42,   10,   50,   10,   53,   10,   37,   11,   62,    0,   28
 796,   10,   48,   11,   54,   10,   59,    1,   63,    0,   33,    1,   15
 797,   10,   56,   11,   55,    1,   43,   10,   55,    1,   58,   11,   63
 798,    0,   24,    0,   60,    0,   36,   11,   65,   11,   60,    1,   51
 799,   10,   56,   10,   51,    1,   58,    0,   47,   10,   53,    0,   38
 800,    1,   47,    1,   16,    0,   45,   10,   40,    1,   53,    1,   18
 801,   11,   58,    0,   55,   11,   57,   10,   55,   10,   56,    1,   41
 802,    0,   65,    0,   37,    0,   34,    0,   35,    0,   51,    1,   63
 803,   11,   54,   11,   64,   11,   57,   10,   63,   11,   64,   11,   62
 804,   11,   65,   11,   58,    0,   23,   10,   38,   11,   65,   10,   63
 805,   11,   64,    0,   29,    0,   42,    1,   39,    0,   37,    1,   61
 806,   11,   56,    1,   61,    0,   41,    1,   42,    1,   27,    0,   22
 807,    1,   59,    1,   44,   10,   64,   10,   48,    1,   44,    0,   39
 808,    0,   29,    1,   55,   10,   54,   11,   57,   11,   59,   11,   61
 809,   10,   58,    1,   59,   11,   63,   10,   36,    0,   58,    0,   47
 810,    0,   26,    1,   30,   10,   46,    1,   28,   10,   37,    0,   42
 811,    0,   49,   10,   39,    1,   56,    1,   47,    0,   27,   10,   41
 812,   10,   61,   10,   36,   11,   57,    1,   27,    0,   49,   10,   37
 813,    1,   51,   11,   65,    0,   23,    0,   20,   11,   56,    0,   30
 814,   10,   63,   11,   64,   11,   63,    0,   40,    0,   34,    1,   49
 815,   10,   49,    1,   50,   10,   51,    0,   61,   10,   41,    1,   18
 816,    0,   54,    1,   36,   10,   48,    1,   32,    1,   51,    0,   28
 817,   10,   55,   11,   54,    0,   21,   11,   54,    0,   24,    0,   50
 818,    1,   48,   10,   64,    1,   45,   10,   39,    0,   29,    1,   21
 819,    1,   23,    1,   47,   11,   58,    0,   64,    1,   63,    1,   56
 820,    0,   18,    0,   45,    0,   35,    1,   14,   11,   62,   11,   59
 821,   10,   37,    0,   43,    0,   24,   10,   36,   10,   41,    0,   35
 822,   11,   63,   10,   52,    1,   24,    0,   60,   11,   62,    1,   37
 823,   11,   64,   11,   58,    1,   52,    0,   27,    0,   61,   11,   63
 824,    0,   60,   11,   54,   11,   56,    1,   28,    1,   51,    1,   56
 825,    1,   12,   11,   59,   11,   54,    1,   43,   11,   60,   11,   60
 826,    1,   29,   11,   63,    0,   33,    1,   24,   10,   46,    0,   54
 827,    0,   34,   11,   63,    1,   35,    1,   49,   11,   63,    0,   19
 828,    1,   63,   10,   47,   11,   60,   10,   52,    0,   51,    0,   23
 829,   10,   36,    1,   26,    1,   34,    1,   16,   10,   43,   11,   55
 830,   11,   61,    1,   41,   10,   52,   11,   60,    0,   53,    0,   55
 831,    1,   21,    1,   48,   11,   61,   11,   56,   10,   40,   11,   65
 832,    0,   50,    0,   26,   10,   43,    0,   57,    0,   24,   11,   65
 833,   10,   45,   10,   53,   11,   61,   10,   38,   10,   57,    0,   25
 834,    0,   29,   11,   55,    1,   23,   10,   52,   10,   65,    1,   34
 835,    0,   43,    0,   36,   11,   65,   10,   56,   10,   36,   11,   62
 836,   11,   60,   10,   59,    0,   50,   10,   53,    1,   32,   11,   60
 837,    1,   12,    0,   18,    1,   41,    1,   42,   10,   43,   10,   50
 838,    1,   38,   11,   63,    0,   34,    0,   33,    1,   22,   10,   61
 839,   10,   53,    1,   13,    0,   43,   10,   55,   10,   49,   11,   64
 840,   11,   54,   10,   58,    1,   25,   10,   60,   10,   49,   11,   63
 841,   10,   56,   10,   54,    0,   22,    0,   64,    0,   55,    0,   38
 842,   10,   48,   11,   65,    1,   37,   10,   48,   11,   61,   10,   41
 843,    0,   20,    1,   22,    1,   44,   10,   63,   10,   54,    1,   58
 844,   11,   63,   10,   57,   11,   60,    1,   27,   11,   55,    1,   14
 845,   10,   50,    1,   13,    1,   42,   11,   54,    0,   40,   11,   63
 846,   10,   45,   11,   61,    0,   31,    1,   14,   11,   59,   10,   36
 847,    1,   31,   10,   51,   10,   41,   10,   47,   10,   57,    1,   31
 848,   10,   60,   10,   58,   10,   53,   10,   40,   10,   57,    0,   18
 849,   10,   61,    0,   45,   10,   62,    1,   33,   10,   55,    0,   40
 850,    1,   12,   11,   58,   10,   57,    0,   23,   11,   58,    0,   65
 851,   11,   57,    0,   44,    1,   16,   10,   36,   11,   60,    0,   39
 852,    0,   20,    1,   32,    1,   46,   11,   57,    0,   40,    1,   48
 853,    1,   17,   10,   37,   10,   37,   11,   56,    0,   55,    0,   30
 854,   11,   64,    1,   12,    0,   38,    1,   48,    1,   32,    0,   46
 855,   11,   57,    1,   52,   11,   63,    0,   34,   11,   65,   11,   62
 856,    0,   37,   10,   60,   10,   59,    0,   29,   11,   55,   10,   61
 857,    1,   44,   11,   64,    0,   24,   10,   44,    0,   31,   11,   63
 858,   10,   62,   10,   38,    1,   38,    1,   50,    1,   17,    0,   32
 859,   10,   56,    0,   44,   11,   60,    1,   63,   11,   65,   10,   39
 860,    1,   62,   10,   52,   11,   57,   10,   57,   10,   54,    1,   34
 861,    1,   25,   10,   56,    1,   42,    1,   22,   11,   63,   10,   36
 862,   10,   47,   10,   63,    0,   25,   10,   51,    0,   37,   11,   58
 863,   11,   59,   11,   62,   11,   57,   11,   65,   11,   63,   11,   55
 864,   10,   65,   10,   41,    1,   50,   10,   40,   10,   38,   11,   54
 865,   11,   57,   11,   64,   11,   61,   10,   58,    0,   56,   11,   60
 866,    1,   33,   10,   51,    0,   57,    1,   13,   10,   51,   10,   51
 867,   10,   47,    0,   29,    1,   40,    1,   34,    0,   37,    1,   57
 868,   11,   54,   11,   63,    1,   40,   10,   37,   11,   64,   11,   54
 869,    1,   24,   11,   54,    0,   43,   11,   61,    0,   28,    1,   47
 870,    1,   64,    0,   42,   10,   58,   11,   64,    1,   31,    1,   48
 871,    0,   32,   11,   57,    1,   38,   11,   61,    1,   31,   10,   38
 872,   11,   63,   10,   39,    1,   50,    1,   61,   10,   62,    0,   21
 873,    1,   53,    0,   40,    1,   54,    1,   62,   11,   54,    1,   50
 874,   11,   54,   10,   47,    0,   34,    1,   33,   11,   57,   11,   65
 875,    1,   54,   10,   41,   10,   36,   11,   57,    0,   65,   11,   60
 876,   11,   64,   11,   56,   11,   55,    1,   26,   11,   62,    0,   24
 877,   10,   56,    0,   63,    1,   56,    1,   29,   11,   65,    1,   41
 878,    1,   45,    1,   47,   11,   60,   11,   63,    0,   60,   10,   49
 879,    1,   54,    1,   27,   10,   36,    1,   14,    0,   55,   10,   42
 880,   11,   60,    1,   38,    1,   45,   11,   61,    1,   42,   10,   56
 881,   10,   52,    1,   43,    1,   34,    0,   38,   10,   49,   10,   61
 882,   10,   36,   11,   57,    1,   64,   11,   57,    0,   37,    0,   54
 883,    0,   18,    1,   12,   10,   57,    0,   62,    1,   65,   11,   59
 884,    1,   41,   10,   39,    0,   64,    1,   23,   11,   58,   11,   65
 885,   10,   51,   10,   37,   11,   56,    0,   33,   10,   50,   11,   62
 886,    1,   25,   11,   57,   10,   56,   10,   58,    0,   24,    1,   51
 887,    1,   16,    0,   58,   11,   57,    0,   44,    1,   32,   10,   58
 888,   11,   59,   11,   54,   10,   45,    0,   43,    1,   22,   10,   36
 889,    0,   65,    0,   44,    1,   54,    0,   28,    0,   30,    1,   13
 890,   10,   39,   10,   53,    0,   29,    0,   64,   11,   54,   10,   48
 891,   10,   61,    0,   52,   11,   60,   10,   50,   11,   59,   10,   52
 892,    1,   22,    1,   53,    0,   36,    0,   63,    0,   18,   11,   61
 893,    1,   14,    0,   52,   11,   62,    0,   56,   11,   57,    0,   53
 894,    1,   60,   10,   50,   10,   52,   11,   59,   11,   57,    0,   63
 895,    1,   40,    1,   32,   10,   52,   10,   53,   10,   38,   11,   56
 896,    1,   34,    0,   64,    1,   14,    0,   35,    0,   42,   11,   57
 897,   11,   54,   10,   58,   11,   62,   11,   55,    1,   51,   10,   45
 898,   11,   61,    0,   40,   11,   59,    0,   41,   10,   43,   10,   51
 899,   11,   58,   11,   64,   11,   62,   10,   38,   10,   40,    1,   24
 900,    1,   19,   11,   55,   11,   55,   11,   60,    0,   21,   11,   54
 901,   10,   37,   11,   63,    1,   41,    1,   37,   10,   62,   11,   61
 902,    0,   62,   10,   57,    0,   49,    1,   13,    0,   45,   10,   64
 903,   11,   56,    1,   40,    0,   37,    0,   62,    1,   60,    0,   35
 904,   11,   62,   10,   47,   11,   61,    0,   48,   11,   64,    1,   65
 905,    0,   31,    0,   23,   10,   53,    0,   50,   11,   62,    0,   48
 906,   11,   58,   11,   62,    1,   22,    1,   16,   11,   60,   10,   60
 907,    0,   42,   11,   57,   11,   63,   11,   62,   10,   58,   10,   40
 908,   10,   36,    0,   65,   11,   54,   10,   48,    0,   36,   11,   55
 909,   11,   61,    1,   48,   11,   64,   11,   64,   11,   59,   11,   62
 910,    0,   27,    1,   59,   11,   63,   11,   54,    0,   35,    1,   57
 911,    0,   35,    0,   64,    1,   24,    1,   15,    1,   31,    1,   39
 912,    0,   22,   10,   47,    1,   31,   10,   42,    1,   63,    1,   55
 913,    1,   18,    0,   27,   11,   59,   11,   64,   10,   41,    0,   55
 914,    0,   40,    1,   42,    0,   53,   11,   62,    0,   58,    0,   33
 915,    1,   41,    1,   28,    0,   36,   10,   58,   11,   61,   10,   37
 916,   11,   59,    0,   65,    0,   40,   11,   56,    0,   24,   10,   55
 917,   10,   57,   10,   37,   11,   62,   10,   51,   11,   59,   11,   62
 918,    1,   50,   11,   62,   10,   43,    0,   57,    0,   23,    0,   44
 919,   10,   48,   11,   62,    0,   32,   10,   54,    1,   35,   11,   63
 920,   10,   62,   10,   52,   10,   45,   11,   59,   10,   59,   11,   63
 921,    1,   43,    0,   47,   11,   65,   10,   41,    0,   29,   10,   55
 922,   10,   49,    1,   53,   10,   48,   11,   58,    0,   61,    1,   17
 923,   11,   57,   10,   59,   10,   42,    1,   28,    1,   45,    0,   31
 924,   10,   41,   11,   65,   11,   54,   10,   62,    1,   45,   10,   39
 925,   11,   58,    0,   62,   10,   44,   11,   57,   11,   61,    1,   21
 926,    1,   42,    0,   25,   10,   40,    1,   12,   10,   61,   11,   58
 927,   10,   45,    0,   62,    1,   30,    0,   59,   10,   40,   11,   63
 928,   10,   56,    1,   20,   10,   61,    1,   17,   10,   61,   11,   55
 929,   11,   54,   10,   36,    0,   20,   11,   65,   10,   41,    1,   22
 930,    1,   39,   10,   46,    1,   16,    0,   32,   11,   64,   11,   60
 931,    1,   36,    0,   40,    1,   19,    1,   16,   11,   58,   11,   55
 932,   10,   37,   11,   59,    0,   65,    1,   56,    0,   40,   11,   57
 933,    1,   14,    0,   40,    0,   49,    1,   53,   11,   57,   11,   63
 934,    1,   32,    1,   18,   11,   63,   11,   59,    1,   39,   10,   63
 935,   11,   56,    1,   50,    1,   43,   10,   49,   10,   56,    1,   57
 936,   10,   43,   11,   62,   11,   58,   11,   65,    1,   47,    0,   50
 937,   10,   53,    0,   58,   10,   52,    1,   51,    0,   57,   10,   58
 938,   10,   52,    1,   18,   11,   55,    1,   34,   10,   37,   10,   65
 939,    0,   38,   10,   52,    0,   37,    1,   19,    0,   39,    1,   24
 940,   10,   42,    0,   19,    0,   44,   10,   62,   11,   60,   10,   60
 941,    1,   24,    0,   37,   11,   60,    1,   56,    0,   20,   10,   57
 942,   11,   62,    0,   43,    0,   35,   10,   61,    1,   21,    1,   17
 943,   11,   55,   10,   50,   11,   63,    1,   60,    0,   28,   11,   60
 944,    1,   32,    1,   26,    1,   33,    1,   27,   10,   58,    0,   64
 945,    0,   18,   11,   58,    0,   28,   10,   47,    0,   23,   11,   62
 946,   10,   39,    1,   44,   10,   40,   11,   61,    0,   40,   10,   65
 947,    1,   19,    1,   32,   11,   61,    1,   21,    1,   49,   10,   54
 948,   11,   55,   11,   60,   10,   48,   10,   62,   11,   59,    0,   35
 949,   10,   64,   11,   60,    0,   58,   11,   59,   10,   53,   10,   59
 950,    1,   26,    1,   20,   10,   58,    1,   38,   10,   53,    1,   15
 951,    0,   52,    1,   30,    0,   47,    1,   19,   10,   52,    1,   30
 952,   10,   42,    1,   19,   11,   65,    0,   27,    0,   54,    1,   24
 953,    0,   39,    1,   53,    0,   62,    1,   58,    0,   55,   11,   58
 954,   11,   65,    0,   24,   11,   58,    1,   62,   10,   39,   11,   60
 955,    0,   29,   10,   62,    0,   64,    1,   21,    1,   49,    1,   26
 956,   10,   44,    0,   26,    1,   34,   10,   58,    1,   41,   11,   54
 957,    0,   55,    0,   62,   11,   57,    1,   13,   10,   44,   10,   53
 958,    1,   35,   11,   62,    0,   41,   11,   63,   11,   58,    1,   20
 959,    0,   26,   11,   61,    0,   20,   11,   56,    0,   26,    0,   20
 960,   10,   53,    0,   55,   11,   65,    0,   38,   10,   46,   11,   54
 961,    0,   48,    0,   45,    0,   27,   11,   60,   11,   56,    1,   28
 962,    1,   12,   10,   47,   11,   60,    0,   37,   11,   62,   10,   39
 963,   11,   61,   10,   59,   11,   54,    0,   20,   10,   64,    1,   38
 964,   10,   39,   11,   60,   10,   51,    0,   31,    0,   53,    1,   60
 965,    0,   20,    0,   26,   10,   53,   10,   49,    0,   42,    0,   45
 966,    0,   60,    1,   53,    0,   62,    0,   50,   11,   63,   10,   36
 967,   11,   54,   10,   39,   10,   44,    1,   58,    0,   34,    1,   42
 968,   11,   56,   10,   45,    1,   19,    0,   18,    0,   53,   11,   56
 969,    0,   46,   11,   55,    0,   62,    1,   19,    1,   25,   10,   61
 970,    1,   65,    1,   20,    0,   42,   10,   48,    0,   22,   10,   40
 971,   10,   60,    0,   60,    0,   32,    0,   63,   11,   62,   10,   62
 972,    1,   40,    0,   38,    1,   49,   10,   55,   10,   39,    0,   18
 973,    0,   58,    0,   51,    0,   44,   11,   64,    1,   57,    1,   23
 974,    0,   45,    1,   58,    1,   34,    1,   13,    0,   34,   10,   41
 975,    0,   21,    1,   49,    0,   41,   10,   53,   10,   42,   10,   56
 976,   11,   61,   10,   54,   10,   40,   10,   60,   10,   63,   11,   63
 977,   10,   60,   11,   64,    0,   45,    0,   41,   11,   65,   10,   59
 978,    1,   43,   10,   55,    1,   59,    0,   34,    0,   27,   11,   59
 979,   11,   56,    0,   20,    0,   22,   11,   60,   10,   38,   10,   51
 980,   10,   48,    1,   63,   11,   54,    1,   29,    1,   33,    0,   26
 981,    0,   44,   10,   37,    1,   63,   10,   57,   10,   36,   10,   39
 982,   10,   38,    1,   47,    1,   52,   11,   58,    0,   47,    0,   31
 983,   10,   43,   11,   57,    0,   49,    0,   53,   10,   41,    1,   29
 984,   11,   65,   11,   56,   11,   57,    0,   40,    0,   61,    0,   52
 985,    0,   32,   11,   60,   11,   57,    0,   41,   10,   45,    0,   58
 986,   10,   43,    1,   38,   11,   60,   10,   54,    0,   20,   10,   46
 987,   11,   65,   10,   61,    0,   58,   11,   63,    1,   12,    1,   40
 988,   11,   59,   10,   44,   11,   54,   10,   54,   11,   65,    1,   13
 989,   11,   54,    1,   60,   10,   50,   10,   48,    1,   13,   11,   59
 990,    1,   35,    1,   33,   10,   52,    1,   37,    1,   61,    0,   49
 991,    1,   62,    0,   19,    0,   43,   11,   65,   10,   47,   10,   49
 992,    0,   42,    0,   48,    0,   53,   10,   45,    1,   14,   10,   60
 993,    1,   53,   11,   58,   10,   64,   11,   56,   10,   36,   11,   63
 994,   10,   52,   10,   58,   10,   59,   10,   52,   10,   63,   11,   56
 995,    1,   56,   11,   62,    0,   60,   11,   60,    0,   29,   11,   62
 996,    0,   44,   10,   51,   10,   54,    1,   27,   10,   59,    1,   49
 997,   11,   65,    1,   29,   11,   62,   11,   55,   10,   45,    0,   53
 998,    0,   38,    1,   53,    0,   47,    0,   46,    0,   18,   10,   59
 999,    0,   58,    0,   19,    0,   35,   10,   44,   10,   48,    0,   56
