nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6
 924,     1,  -4,  -8, -16,  -4, -12,  88, -20
 925,     1,  -6,  90, -26,  -6, -26,  -6,  -6
 926,     1,  85, -19,  -7,  -7,  -7,  -7,  -7
 927,     1,  -8,  -8,  -8,  72,  -8,  -8, -20
 928,     0, -19, -11, -11, -27, -11, -15, -23
 929,     1,  -7, -35,  -7, -11,  65, -27, -15
 930,     0, -31, -11, -11, -11, -23, -11, -11
 931,     1,  -6,  -6,  -6,  -6, -18, -10,  78
 932,     1,  78, -26,  -6,  -6,  -6,  -6,  -6
 933,     1, -21,  -5,  -5,  -5,  -5,  -5,  83
 934,     0, -10, -42, -42, -34, -10, -22, -10
 935,     1,  -8,  -8, -28,  72,  -8,  -8, -24
 936,     1,  -9, -13,  -9,  59, -17, -21,  -9
 937,     1,  -3,  -3,  93,  -3,  -3,  -3,  -3
 938,     0, -23, -15, -31, -43, -31, -11, -11
 939,     1, -37,  -9,  63,  -9, -21, -17, -17
 940,     1, -12,  -4,  -4,  -8, -12,  84,  -4
 941,     0, -35, -15, -15, -11, -35, -23, -27
 942,     0, -27, -11, -11, -31, -11, -27, -43
 943,     1,  68,  -8,  -8, -36,  -8,  -8, -20
 944,     1,  84,  -4,  -4, -20, -12,  -4,  -4
 945,     1,  87,  -5,  -5,  -5,  -5, -17,  -5
 946,     1, -30,  78, -10, -22,  -6,  -6,  -6
 947,     0, -43, -23, -11, -15, -11, -11, -19
 948,     1, -22, -18, -26,  -6,  70, -22,  -6
 949,     1,  -5, -17,  -5, -17,  -5,  -5,  91
 950,     1, -27,  -7,  -7, -19,  -7,  -7,  65
 951,     1,  -3,  -3,  -3,  93, -11,  -3,  -3
 952,     1,  -2,  -6,  -2,  -2,  94,  -2,  -2
 953,     1,  65,  -7, -15,  -7, -31, -23,  -7
 954,     1,  -4,  84,  -4, -16, -12, -12,  -4
 955,     1,  -5,  -5,  83,  -9,  -9, -17, -25
 956,     1,  -7, -15,  -7,  -7, -15,  77,  -7
 957,     1,  61, -11, -11, -11, -11, -27, -11
 958,     0, -10, -10, -10, -26, -10, -38, -42
 959,     1,  -3,  -3,  -3,  -7,  -3,  89,  -3
 960,     1,  -9,  -9,  -9,  -9,  -9,  -9,  63
 961,     1,  -4,  -4,  -4,  88,  -4,  -4,  -4
 962,     1,  93,  -7, -11,  -3, -11, -11,  -3
 963,     1,  -5,  -5,  -5,  -5,  -5,  79,  -5
 964,     1,  -5,  -9,  -5,  -5, -17,  91, -13
 965,     1,  63,  -9, -17, -17, -33,  -9,  -9
 966,     1, -25,  -5,  83,  -5, -13,  -9, -25
 967,     1,  -3,  -3,  -3,  -3,  89, -11,  -3
 968,     1,  -7,  -7,  -7,  -7,  65,  -7,  -7
 969,     1,  -4,  -4,  92,  -4,  -4,  -4, -20
 970,     1,  69,  -7, -19, -11,  -7, -23,  -7
 971,     0, -18, -30, -10, -42, -42, -42, -10
 972,     0, -11, -11, -11, -43, -43, -27, -11
 973,     1,  -8, -36,  64, -32, -12, -16, -32
 974,     1, -14,  70, -10, -42, -10, -10, -10
 975,     1, -11,  -7, -15,  -7,  69,  -7,  -7
 976,     1,  -6,  -6,  -6, -10, -26,  82,  -6
 977,     1,  -9, -41, -17, -13,  75,  -9,  -9
 978,     1,  -3,  -3,  -3,  89,  -3,  -3,  -3
 979,     1,  -7,  -7,  -7,  73,  -7,  65, -31
 980,     1,  -7, -27, -27,  -7, -15, -11,  81
 981,     1,  -4,  80,  -4,  -4,  -4,  -8,  -8
 982,     1,  -9,  83, -41, -41,  -9, -37, -41
 983,     1,  -9, -13, -25,  -9, -33,  59, -33
 984,     1,  -2,  -2,  -2,  90,  -2,  -2,  -2
 985,     1,  -4, -12,  80,  -4,  -4,  -4,  -4
 986,     1,  77, -15, -19, -31,  -7, -27,  -7
 987,     1, -32, -12,  -8,  68, -36,  -8,  -8
 988,     0, -27, -15, -11, -27, -11, -23, -11
 989,     0, -35, -27, -43, -11, -23, -11, -23
 990,     1, -31,  65,  -7,  -7,  -7, -27, -15
 991,     1,  -9, -13,  67,  -9,  -9,  -9, -17
 992,     1,  -9,  -9,  -9,  -9, -37, -29,  75
 993,     1, -41, -41,  67, -21,  -9, -41, -17
 994,     1,  79, -29, -17, -37,  -9,  -9, -25
 995,     0, -11, -35, -11, -23, -39, -31, -11
 996,     1, -29,  -9,  -9,  -9,  -9,  -9,  59
 997,     1, -37, -33, -21, -33,  63, -13, -17
 998,     1, -30, -10,  66, -10, -34, -10, -18
 999,     1, -34,  54, -10, -10, -22, -10, -10
