nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6,  A7,  A8,  A9,  A10,  A11,  A12,  A13,  A14
 457,     1, -15,  -7,  -7,  69,  -7,  -7, -31,  -7, -27,  -7,  -7,  -7,  -7, -19, -27
 458,     1,  80,  -4, -16,  -4, -12,  -8,  -4, -16, -12, -16,  -4,  -8,  -4,  -8, -16
 459,     1,  -4, -12,  -4,  -4, -12,  -4,  -4,  92,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 460,     1,  -7,  -7,  81, -27, -11, -31,  -7,  -7,  -7,  -7, -11,  -7,  -7, -31,  -7
 461,     1, -12,  -4,  92, -16, -12,  -8,  -4, -20,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 462,     1,  -5, -25,  -5,  -9,  -5, -25,  79,  -5,  -5,  -5,  -5, -17,  -5,  -5,  -5
 463,     1,  -7,  -7,  -7, -31,  -7,  -7, -35,  -7, -23, -15,  73,  -7, -19,  -7, -19
 464,     1, -41,  -9,  -9,  -9, -37, -37, -25, -37, -37,  -9,  -9,  -9,  -9,  -9,  75
 465,     1,  -2,  -2,  -6,  -6,  -2,  -2,  -2,  94,  -2,  -2,  -2,  -2,  -2,  -2,  -2
 466,     1,  83,  -9,  -9,  -9,  -9, -25,  -9, -13,  -9,  -9,  -9, -41,  -9, -13,  -9
 467,     1, -16,  -4, -16,  -4,  88,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  -4
 468,     1,  -3,  -3,  -3,  -3,  -3,  93,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3
 469,     1,  -8,  -4, -12,  -4, -12, -12, -12,  -8,  -4,  -4,  80, -12,  -4, -16,  -8
 470,     1, -15,  -3,  -3,  -3,  -3,  93,  -3,  -3,  -3, -11, -15,  -3,  -7, -11,  -3
 471,     1,  -3,  93, -15,  -3,  -3,  -7,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -3
 472,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  90,  -2,  -2,  -2
 473,     1, -19, -31, -27, -15, -19, -23,  73,  -7,  -7,  -7, -23,  -7,  -7,  -7,  -7
 474,     1, -15, -11,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3, -11,  93,  -7,  -3,  -7
 475,     1,  -7, -31, -27,  -7, -23,  -7,  -7, -15, -15, -27,  -7,  69,  -7, -23,  -7
 476,     1, -26, -18, -10,  -6, -10,  -6, -14,  -6,  -6,  -6,  90, -18,  -6,  -6,  -6
 477,     1, -33,  71,  -9,  -9,  -9,  -9, -25, -41,  -9,  -9, -25, -17, -29,  -9,  -9
 478,     1,  -3,  -3,  -3, -15,  -3, -11,  -3,  89,  -7,  -3,  -3, -15, -11,  -3,  -3
 479,     1, -23, -11, -23, -11,  -7, -27,  -7,  -7,  -7,  -7,  65,  -7, -23, -27,  -7
 480,     1,  -4,  -4,  -4,  -4, -12,  -4,  -8,  -4,  -4,  -4,  -4, -16,  -4,  92,  -8
 481,     1,  -9, -13,  63,  -9,  -9, -13, -37,  -9,  79, -41, -41,  -9,  -9,  -9, -13
 482,     1, -32,  -8,  -8,  -8, -32, -28,  -8, -24,  68, -24,  -8, -16, -40,  -8, -36
 483,     1,  -5,  -5,  -5,  79, -21,  -5,  -5,  -5,  -5,  -5, -17,  -5, -13,  -5,  -5
 484,     1, -28,  -8, -36, -12,  -8, -24,  -8,  -8,  -8, -24, -16,  -8,  68, -28,  -8
 485,     1,  -7,  -7,  -7,  89, -19, -11, -11,  -7,  -7,  -7,  -7, -23,  -7, -31,  -7
 486,     1,  86,  -6,  -6,  -6,  -6,  -6,  -6,  -6, -26,  -6,  -6, -22,  -6,  -6, -18
 487,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -7,  -3,  93,  -3,  -3, -11,  -3,  -3, -15
 488,     1, -13,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  79, -17,  -5,  -9,  -5,  -5
 489,     1, -12,  -8,  -8,  -4,  -8,  -4,  -4,  -4,  80, -16, -12,  -4,  -4, -12,  -4
 490,     1, -17,  -9, -13,  -5,  91,  -9,  -5,  -5,  -5,  -5,  -9,  -5, -17, -13,  -5
 491,     1, -11, -47, -23, -11, -11, -11, -11, -43, -31, -31, -19, -11, -47, -11,  57
 492,     1,  -4,  -4,  -4,  88, -16,  -4,  -4,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  -4
 493,     1, -17, -21,  -9,  -9,  -9, -21, -37,  63,  -9,  -9,  -9,  -9,  -9,  -9,  -9
 494,     1, -29, -21,  -9,  -9, -41,  -9,  -9, -13,  -9,  -9, -13,  -9,  71, -29,  -9
 495,     1,  -5,  -5,  87, -17,  -5,  -5, -13,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -9
 496,     1, -15,  -7,  -7, -15,  -7,  85,  -7,  -7,  -7,  -7,  -7, -15,  -7, -15,  -7
 497,     1,  83,  -5,  -9, -21,  -5, -17,  -5, -21,  -5,  -5,  -5, -13,  -5, -17, -17
 498,     1,  -6,  -6,  -6, -10,  -6,  -6,  -6,  -6, -18, -22,  -6,  -6,  78,  -6,  -6
 499,     1,  -6,  90,  -6, -22,  -6,  -6, -22, -30,  -6, -10, -18,  -6,  -6,  -6, -14
 500,     1, -31, -23,  -7, -11,  -7, -15,  81,  -7, -23, -19, -31, -31, -31,  -7,  -7
 501,     1,  -4,  -4,  -4,  -4,  -4,  -4, -16,  -4,  -4,  -4,  -4, -16,  -8, -12,  92
 502,     1,  -6, -14, -18,  -6,  -6, -22, -22,  78, -30,  -6,  -6, -30,  -6,  -6,  -6
 503,     1,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -3, -15,  85,  -3,  -3,  -3,  -3,  -7
 504,     1,  -4,  -4,  -4,  -4,  -4,  84,  -4,  -4, -12,  -4,  -4,  -4,  -4, -20, -12
 505,     1,  -4,  -4,  92, -16,  -8,  -4,  -4, -16,  -4,  -4,  -4,  -4, -12,  -4,  -4
 506,     1,  -5,  -5,  91,  -5, -13, -21,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -9, -13
 507,     1, -27, -19, -19, -11,  -7,  -7, -15,  77, -23,  -7,  -7, -11,  -7, -15,  -7
 508,     1, -13, -37, -17, -17, -25, -41,  -9, -41,  79, -21,  -9, -25, -29, -21,  -9
 509,     1, -23,  -7, -11, -31, -11,  -7,  -7,  -7, -11,  89,  -7,  -7,  -7, -31,  -7
 510,     1,  -4,  -4,  -4,  -4,  -4, -12,  -8,  -4,  -4,  -4,  -4,  92,  -4,  -4, -12
 511,     1,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  -7,  -7,  -7,  89, -11,  -3,  -3
 512,     1, -11,  -3,  -3,  -3,  -3, -11, -11,  -3,  85,  -3,  -3,  -3,  -7,  -3,  -3
 513,     1,  84,  -4,  -4,  -4, -12, -16,  -4, -20,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 514,     1,  -7,  -7,  -7,  -7,  -7,  -7,  -7,  -7, -15, -23, -31,  73,  -7, -15, -23
 515,     1,  87, -13,  -5,  -5,  -5, -17,  -5,  -5,  -5, -21,  -5,  -5,  -5,  -5,  -5
 516,     1, -18, -10,  -6, -14, -18, -14, -26, -14, -26,  -6,  -6,  -6, -18,  74, -22
 517,     1,  -3,  -3,  -3,  -3,  93,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3
 518,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  -4,  -4,  -4,  80,  -4,  -4,  -4,  -4
 519,     1,  -6, -30, -22,  -6,  -6, -22,  -6,  -6,  -6,  -6,  -6,  -6, -30,  86,  -6
 520,     1,  -9, -41,  -9,  -9,  87,  -9, -13,  -9,  -9,  -9,  -9, -13,  -9,  -9, -29
 521,     1,  -3, -11,  -3,  -7,  -3,  93, -11,  -3,  -7,  -3, -11,  -3,  -3,  -3,  -3
 522,     1,  79,  -5,  -5, -13, -25, -17,  -5,  -5,  -5,  -5,  -5, -25,  -5,  -5,  -5
 523,     1, -21,  -9,  -9,  -9,  -9, -37,  -9,  -9,  -9, -41, -33,  87,  -9,  -9, -17
 524,     1,  -5, -21,  -5,  -5,  91, -17, -13, -25,  -5, -21,  91, -17,  -5,  -5, -21
 525,     1, -32,  -8,  -8, -16, -20, -36,  -8, -32,  -8, -36,  60,  -8,  -8, -12,  -8
 526,     1,  -7, -19, -35, -23, -15, -19,  -7,  -7, -31, -27,  81,  -7,  -7, -27, -15
 527,     1,  -7,  -7,  -7, -27,  73, -19, -19,  -7,  -7, -35,  -7,  -7, -27, -11,  -7
 528,     1,  88,  -4, -12,  -4,  -4,  -4, -12,  -4, -12,  -4, -16, -12, -12,  -4,  -4
 529,     1,  -9,  67,  -9, -33,  -9, -25, -25,  -9,  -9,  -9,  -9,  -9,  -9,  -9,  -9
 530,     1,  -9,  -9,  -9, -37, -37, -13, -13,  -9, -41, -21, -21, -25,  63, -25,  -9
 531,     1, -17, -13,  -5,  -5, -13,  -5,  -5,  79,  -5,  -5,  -5,  -9,  -5,  -5,  -5
 532,     1,  -5,  -9,  -5,  -5, -17,  -5, -13,  -5,  87, -17,  -5, -21,  -9,  -5,  -9
 533,     1,  -4,  -4,  -8,  -4, -20,  -4,  -4, -16,  -4,  -4,  -4,  -4,  84,  -4, -16
 534,     1, -19,  -7,  77, -31,  -7, -27,  -7, -15,  -7,  -7, -11, -11, -11, -23,  -7
 535,     1,  -4,  -4,  -4,  84,  -8,  -4,  -4,  -4,  -4,  -4,  -4, -12,  -4,  -4,  -4
 536,     1,  -3,  -3,  -3,  -3, -11,  89,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3
 537,     1, -31,  -7, -11,  73,  -7, -23, -15,  -7,  -7,  -7,  -7, -35,  -7, -27,  -7
 538,     1,  -7, -31, -27,  -7,  -7, -15,  -7,  -7, -19,  -7,  -7,  65,  -7,  -7,  -7
 539,     1,  -3,  89,  -3, -11,  -3,  -3,  -3, -15, -11,  -3,  -3,  -3,  -3,  -3, -15
 540,     1,  -9,  -9, -41, -21, -17,  -9, -41,  -9, -41, -25,  -9, -37,  83, -21, -25
 541,     1,  -7,  -7,  -7,  -7,  73,  -7, -31, -31, -23,  -7, -31, -19, -27,  -7, -27
 542,     1, -19, -23,  -7, -11,  89,  -7, -15,  65,  -7,  -7,  -7,  -7, -23,  -7,  -7
 543,     1,  -4,  -4,  -4, -16,  -4,  -4,  -4,  -4, -20, -20,  -8,  -4,  -4,  -4,  92
 544,     1, -28,  80,  -8, -12,  64,  -8,  -8, -36,  -8,  -8, -36, -16, -12, -40,  -8
 545,     1,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -3,  93,  -7,  -3,  -3,  -3,  -3
 546,     1,  -6,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  90,  -2,  -2,  -2
 547,     1, -25,  -5,  -5,  -5,  -5, -13,  -5,  -5,  -5,  -5,  91, -17,  -5,  -5, -25
 548,     1,  -3, -11,  89,  -3, -15,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 549,     1,  -5,  -5, -17,  -5,  91,  -5, -17,  -5,  -5,  -5, -25,  -5, -21,  -5, -17
 550,     1,  -2,  -2,  -6,  -6,  -2,  -2,  -2,  -2,  -2,  90,  -2,  -2,  -6,  -2,  -2
 551,     1,  -4,  -4,  -4, -16,  -4,  88,  -4,  -4,  -8, -20,  -4,  -4,  -8,  -4,  -4
 552,     1, -40, -40,  -8,  -8,  -8,  -8, -32, -28,  -8, -12, -16,  72,  -8,  -8,  -8
 553,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  89,  -3
 554,     1,  83,  -5, -13,  -5,  -5,  -5,  -5, -17,  -5, -25,  -5, -21, -17,  -5,  -5
 555,     1,  -7,  -7,  -7,  -7,  -7,  -7,  -7,  -7, -11,  65,  -7, -31,  -7, -31,  -7
 556,     1, -32,  76, -12,  -8, -20, -24,  -8, -40,  -8,  -8, -12,  -8,  -8,  -8,  60
 557,     1, -20,  -4,  -4,  -4,  -4,  -4,  92,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -8
 558,     1,  -7,  -3,  -3,  -3,  85,  -7,  -3,  -3,  -7, -11,  -3,  -3,  -3,  -3,  -3
 559,     1, -10,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  90,  -2,  -2,  -2
 560,     1, -28, -40,  -8,  60, -20, -12,  -8,  -8, -32, -36, -12,  -8, -28, -16,  -8
 561,     1, -23, -11,  -7, -27, -19, -15,  -7, -11,  -7, -27,  -7, -19,  65,  -7, -31
 562,     1,  -4, -16,  -4,  -4, -20,  -4,  92,  -4,  -4,  -4, -20,  -8,  -4, -12, -16
 563,     1,  -7,  -3,  93, -15,  -3,  -3,  -3,  -3,  -3,  -7,  -7,  -3,  -3,  -3,  -3
 564,     1,  -6,  -6,  -6,  -6, -22,  82,  -6, -26,  -6, -10, -22, -30,  -6, -10,  -6
 565,     1,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5, -17, -13,  83, -17,  -5,  -5
 566,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  89,  -3,  -3,  -3,  -7,  -3
 567,     1,  -3,  -3,  -3,  -3,  -3,  -7,  -3,  -3, -15,  -3,  -3,  -3, -15,  -7,  89
 568,     1,  -9,  -9,  63, -17, -33, -41, -17, -13, -17,  -9,  -9, -25,  -9, -41, -29
 569,     1,  -2,  -2,  90,  -6,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  -2
 570,     1, -21,  79, -21,  -5,  -5,  -5,  -5, -13, -17,  -5, -21,  -5,  -5, -13,  -5
 571,     1,  -8,  -8,  -8,  -8, -24, -36, -32, -36,  -8,  -8, -32,  -8,  68, -24,  -8
 572,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  92,  -4, -12, -12,  -4,  -4,  -4,  -4
 573,     1,  -4,  -4,  -4,  -4, -16,  -4,  -4,  -8,  88,  -4,  -4,  -4,  -4,  -4,  -4
 574,     1,  -8,  -8,  -8,  68,  -8,  -8,  -8, -32,  -8,  -8,  -8,  -8,  -8,  -8, -12
 575,     1,  -3,  -3,  -3,  89,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3
 576,     1,  -5, -13,  -5, -21,  -5,  -9,  -5,  -5,  -5,  -5,  -5,  -5,  83,  -5, -21
 577,     1,  -6,  -6,  -6,  -6, -14, -14, -14, -18,  -6, -18,  -6, -30, -10,  82,  -6
 578,     1,  69,  -7, -27,  -7, -19,  -7, -15,  -7, -27,  -7, -27,  -7, -19,  -7,  -7
 579,     1,  -9,  -9, -29,  -9,  -9,  -9,  -9,  -9,  67,  -9,  -9,  -9,  -9, -37, -21
 580,     0, -10, -22, -10, -26, -10, -10, -14, -10, -10, -10, -10, -14, -14, -26, -10
 581,     1,  -4,  -8,  -8,  -4, -16,  -4,  -4,  -8,  -4,  -4,  84, -12,  -4,  -4,  -8
 582,     1, -10,  78,  -6,  -6,  -6,  -6, -26, -14, -22, -26, -14, -22,  -6,  -6,  -6
 583,     1,  -9,  63,  -9, -13,  -9,  -9,  -9, -29,  -9,  -9, -17,  -9,  -9, -37, -25
 584,     1,  -6,  -6, -26,  -6,  74, -22,  -6,  -6,  -6,  -6, -22,  -6,  -6,  -6, -26
 585,     1, -20,  -4,  -4,  -4, -16,  -4,  84,  -4,  -4,  -4,  -4, -16,  -4,  -4,  -4
 586,     1, -10,  -6,  -6,  -6,  -6,  90,  -6,  -6,  -6,  -6,  -6,  -6,  -6, -18, -14
 587,     1, -12,  -4,  -4,  -4,  -4, -12, -12,  -4,  -4,  -4,  -4, -12,  -4,  88,  -4
 588,     1,  94,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  -2,  -2,  -2,  -2,  -2
 589,     1,  -7, -27,  -7, -23,  -7,  -7,  -7,  -7, -31, -35,  -7,  89,  -7, -31,  -7
 590,     1, -15, -15,  -3,  89,  -3,  -3, -11,  -3,  -3,  -7, -11,  -3, -11,  -7,  -3
 591,     1,  -7,  -7,  -7, -27,  -7, -23,  -7, -27, -27,  -7, -35,  89, -35,  -7,  -7
 592,     1,  89,  -3,  -7,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -7,  -3,  -3,  -3
 593,     1,  -5, -17,  -5, -21,  -5, -17, -21,  -5,  83,  -5,  -5, -21, -13,  -5,  -9
 594,     1,  -8,  -8, -20,  60, -16,  -8,  -8, -36, -16,  -8,  -8, -40, -24, -36,  -8
 595,     1,  -4,  -4,  -4,  -4,  80,  -4,  -4,  -4,  -4,  -8,  -4,  -4,  -4,  -4, -20
 596,     1,  -4,  -4,  -4,  -4,  -4, -12, -12, -20,  -4,  -4, -12, -12,  80, -12, -16
 597,     1,  -6,  -6,  78, -22,  -6, -18,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6
 598,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  93,  -3,  -3,  -3,  -3,  -7,  -3
 599,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  94,  -2, -10
 600,     1,  93,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -15,  -3,  -3,  -3,  -3
 601,     1,  -5,  -5, -17,  -5,  -5,  -5,  -5, -17,  -5,  -5,  79,  -5,  -5,  -5,  -5
 602,     1, -27,  -7, -27, -15,  -7,  -7, -31,  89, -11,  -7,  -7,  -7, -31,  -7, -23
 603,     1,  81,  -7,  -7,  -7, -31, -31, -31, -35,  -7, -23,  -7, -15,  -7, -27,  -7
 604,     1, -11,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -3,  93,  -7,  -3,  -3
 605,     1,  -4,  -4,  -4,  92, -20,  -4,  -4,  -4, -20, -16,  -4, -16,  -4,  -4,  -4
 606,     1,  -8, -40, -28, -24, -28, -28,  -8,  -8, -12, -36,  76,  -8, -16, -32,  -8
 607,     1,  -3,  -3,  -3,  -3,  93,  -3,  -3,  -3,  -7,  -3, -15,  -7,  -3,  -3,  -3
 608,     1, -10, -42, -30,  62, -10, -10, -22, -10, -42, -38, -22, -10, -22, -10, -10
 609,     1,  -5,  -5,  -5, -13,  -5,  -5,  -5, -25,  -5,  79,  -5,  -5,  -5,  -5, -21
 610,     1,  -2,  94,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -6
 611,     1, -27, -31,  -7,  -7, -23, -31,  -7,  69,  -7, -15,  -7, -11, -27,  -7, -31
 612,     1, -37,  -9, -21,  -9, -25, -17, -25,  -9,  -9, -33, -17, -29, -21, -41,  87
 613,     1,  -5, -21, -17,  -5,  -5, -21,  -5,  -5,  -5,  91,  -5,  -5, -17,  -5,  -9
 614,     1,  -3,  -3,  -3,  -3,  -3,  85,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 615,     1, -10,  54, -18, -10, -30, -10, -42, -10, -42, -14, -10, -10, -10, -26, -26
 616,     1,  90,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2
 617,     1,  -3,  -3,  -3,  -3,  -3, -11,  -7,  -3,  -3,  -7,  93,  -3,  -3,  -3,  -3
 618,     1, -14,  -6,  -6,  -6, -14, -30,  70,  -6, -14,  -6, -10,  -6,  -6,  -6, -18
 619,     1,  -4,  84,  -4,  -4,  -4,  -4,  -4,  -4, -16,  -4,  -8, -20, -12,  -4,  -4
 620,     1,  -7,  -3,  -3,  -3, -11,  -3,  -3,  -7, -11,  93,  -3,  -3, -15, -15,  -3
 621,     1,  88,  -8, -20,  -8,  -8,  -8,  -8, -32,  -8,  -8,  -8,  -8, -16, -20,  -8
 622,     1,  74,  -6, -14, -18, -26,  -6,  70,  -6,  -6,  -6,  -6,  -6,  -6, -18, -18
 623,     1,  65, -23, -35, -19, -35,  -7,  -7, -27,  -7,  -7,  -7,  -7, -31, -31,  -7
 624,     1, -15, -31,  -7,  -7,  -7,  77,  -7,  -7, -11, -11, -27,  -7, -15,  -7, -23
 625,     1,  -3,  -3,  -3, -15,  -3,  -3,  -3,  -3, -11,  -3,  93, -11,  -3, -15,  -3
 626,     1,  -8, -28, -40, -12, -32,  64,  -8,  -8,  -8, -16, -20,  -8,  -8, -20, -16
 627,     0, -15, -43, -15, -35, -11, -11, -35, -35, -11, -11, -11, -15, -11, -23, -11
 628,     1,  67,  -9, -21,  -9,  -9,  -9,  -9, -29,  -9,  -9,  -9, -37, -41,  -9, -33
 629,     1, -35, -27, -11, -31,  -7, -27,  73, -15, -23, -23, -31,  -7, -19,  -7,  -7
 630,     1,  -5,  -5,  -5, -21, -21,  -5,  -5,  -5,  -5,  91,  -5,  -5,  -5,  -5,  -5
 631,     1, -32,  -8,  -8,  -8, -20, -36,  -8, -24,  64, -12, -12, -32, -28, -20, -32
 632,     1,  -4,  -4, -20,  -4,  -4, -16,  -4,  -4,  -4,  -4, -16,  -4, -20,  88,  -4
 633,     1,  65,  -7, -27,  -7, -35,  -7,  -7,  -7, -19, -11,  -7, -11,  -7,  -7,  -7
 634,     1,  -6, -10, -26,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  74, -26,  -6
 635,     1,  -2,  -2,  -2,  -2,  94,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2
 636,     1,  -7,  -7, -35, -31,  -7, -27,  77,  -7,  -7,  -7, -11,  -7, -31, -27, -15
 637,     1,  -9, -37, -29, -29,  71,  -9,  -9, -41, -41, -13, -21,  -9,  -9,  -9,  -9
 638,     1,  -4, -16,  -4,  -4,  -4,  -4,  -4,  92, -16, -12,  -4,  -4,  -4,  -4,  -4
 639,     1, -26, -10, -14, -30, -22, -42, -10, -34, -10,  62, -10, -10, -42, -42, -10
 640,     1, -16,  -4,  80,  -4,  -4,  -4,  -4,  -4, -16, -12,  -4,  -4,  -4, -12,  -4
 641,     1, -17, -25, -21,  -5, -17, -21,  -5,  -9, -21,  -5, -17,  -5,  91,  -5,  -9
 642,     1,  -4,  -4,  -4,  -8, -12,  -8,  80,  -8,  -4,  -4,  -4,  -4,  -4, -12,  -4
 643,     1,  -7, -31,  -7, -15,  -7, -23,  -7, -11, -27,  -7,  73, -11, -23,  -7,  -7
 644,     1,  -6,  78, -14,  -6, -22,  -6,  -6, -26,  -6,  -6,  -6,  -6,  -6, -22, -26
 645,     1, -14, -22, -22, -22, -14,  -6,  -6, -22, -22, -10,  74, -18,  -6, -30,  -6
 646,     1,  -7,  -7,  -7,  -7, -23, -27,  -7,  -7,  -7,  -7,  81,  -7,  -7, -27,  -7
 647,     1, -36,  -8, -28,  60,  -8,  -8,  -8,  -8, -16,  -8,  -8, -20,  -8, -28,  -8
 648,     1, -17,  -5,  -5, -21,  -5,  -5, -13,  79,  -5,  -5,  -5, -13, -21,  -5,  -5
 649,     1,  -8, -16, -12,  -8, -40,  -8,  68, -28,  -8,  -8, -24,  -8,  -8, -24,  -8
 650,     1,  -7, -23,  -7,  81, -31,  -7,  -7,  -7,  -7, -15, -23, -35, -23,  -7, -23
 651,     1, -25,  -5, -17,  83,  -5, -21,  -5, -17,  -5, -13, -17,  -5,  -5,  -5,  -5
 652,     0, -27, -11, -11, -11, -15, -47, -11, -11, -11, -11, -19, -11, -27, -43, -11
 653,     1,  78, -10,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6, -10,  -6,  -6
 654,     1,  -5,  -9,  -5,  -5, -13,  -5, -21,  -5,  -5, -21,  91,  -9,  -5,  -5,  -5
 655,     1, -10,  -6,  70,  -6, -26,  -6, -26,  -6, -10,  -6,  -6,  -6, -14, -22, -26
 656,     1,  -5,  -5,  -5, -25,  -9,  -5,  -5, -17,  -5, -13, -17, -25,  79,  -5,  -5
 657,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  94,  -2,  -2, -10,  -2,  -2, -10,  -2
 658,     1,  -6, -26,  -6,  -6, -26,  -6,  -6, -26, -22, -10,  -6, -26, -10,  78,  -6
 659,     1,  -4,  -4,  -4,  -4,  92,  -4, -16,  -4,  -4,  -4,  -4,  -4, -12, -12,  -4
 660,     1, -16,  -4, -12,  -4,  80,  -4,  -4,  -4,  -4, -16,  -4,  -4,  -4,  -8,  -4
 661,     1,  -5,  -5, -17, -21,  87,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5
 662,     1,  -5, -21,  -5,  -5,  -5,  -5,  -5,  -5,  79,  -5,  -5,  -5,  -5,  -5,  -5
 663,     1,  91, -21,  -5,  -5,  -5,  -5,  -5, -17,  -5,  -5,  -5,  -5,  -5,  -5,  -5
 664,     1,  -6, -10,  -6, -14,  -6, -22, -14,  -6,  86,  -6,  -6,  -6, -22, -18,  -6
 665,     1,  -3,  -3,  -3,  -3,  -3, -15,  -3,  -3, -11,  -7,  -3,  -3,  89,  -3,  -3
 666,     1, -18,  -6,  -6, -22, -18,  -6, -14,  -6,  78, -22,  -6,  -6,  -6, -30,  -6
 667,     1,  89,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3, -11,  -3
 668,     1,  -7, -35, -15,  -7, -23,  -7,  -7, -19,  -7,  -7,  -7,  -7,  -7,  81,  -7
 669,     1, -14,  -6,  74,  -6,  -6,  -6, -14,  -6,  -6,  -6, -14,  -6,  -6,  -6,  -6
 670,     1,  -9, -37, -41, -13,  -9, -25,  -9, -41,  -9, -41, -29,  63,  -9,  -9, -17
 671,     1,  -3,  93,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 672,     1,  90,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2
 673,     1, -24,  -8, -12,  -8, -20, -12,  68,  -8,  -8, -32,  -8, -32,  -8,  -8, -16
 674,     1,  -4,  80,  -4,  -4,  -8,  -4,  -4,  -4,  -4, -12,  -4, -12,  -4,  -4,  -4
 675,     1,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  -4, -20,  -4, -20,  84,  -4,  -4,  -4
 676,     1, -21,  -5,  -5,  -5,  -9,  -5,  -9,  -5,  -5,  -5,  -9,  -5,  79,  -5,  -5
 677,     0, -35, -27, -11, -15, -43, -11, -11, -11, -11, -11, -11, -43, -15, -23, -11
 678,     1,  -4,  -4,  -4, -16,  -4, -12,  -4,  92, -20, -12, -12, -20,  -4,  -4,  -4
 679,     0, -11, -11, -43, -23, -43, -43, -31, -11, -15, -11, -31, -11, -23, -19, -43
 680,     1,  -8,  -8,  -8,  -8,  -8,  -8, -16, -24,  76, -32, -28, -32, -28,  -8,  -8
 681,     1, -10, -10, -30, -26, -42, -42, -10, -10, -10, -18,  58, -34, -26, -10, -22
 682,     1,  -6, -22, -26,  -6,  -6,  -6, -22,  -6,  78,  -6, -14, -10,  -6,  -6,  -6
 683,     1,  -7,  -7, -31, -31,  -7, -23, -31, -15, -15, -19, -31,  -7, -23,  -7,  89
 684,     1, -22,  -6, -14,  -6, -22,  -6,  -6, -10, -14,  -6,  86, -18, -10,  -6,  -6
 685,     1,  -4,  -4,  -4,  -4, -20,  -4,  -4,  -4,  -4, -20, -12, -20,  -8,  -4,  80
 686,     1,  -5,  -5, -13,  -5,  79,  -5, -13,  -5,  -9, -17,  -9,  -5, -13, -21,  -5
