nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y,  A4x,  A4y 
 842,    0,   48,   11,   59,   11,   62,    0,   27,    0,   30
 843,    1,   41,    0,   45,   10,   59,   10,   58,    1,   13
 844,    1,   45,    1,   61,    0,   19,    1,   23,   11,   60
 845,   10,   55,    0,   37,   11,   56,   11,   63,   10,   52
 846,   10,   57,   10,   60,   10,   62,    0,   55,   11,   63
 847,    0,   42,    0,   49,   10,   57,   10,   52,   10,   64
 848,    1,   27,   11,   61,    0,   33,    1,   37,   10,   44
 849,    0,   40,   11,   56,   11,   55,   10,   51,    0,   45
 850,   11,   64,   11,   57,   10,   59,    0,   61,   10,   58
 851,    0,   24,   10,   65,    1,   62,    1,   36,    1,   52
 852,   11,   57,   11,   56,    0,   24,    0,   38,   10,   38
 853,   10,   43,    1,   55,   11,   62,   10,   64,   10,   61
 854,    0,   59,    0,   19,    0,   56,   10,   62,    1,   60
 855,   11,   59,   11,   57,   10,   42,    1,   52,   11,   54
 856,   11,   64,   11,   62,    0,   63,   11,   62,   10,   56
 857,   10,   51,    0,   36,    1,   36,   11,   57,    0,   27
 858,   10,   48,   11,   55,   10,   60,    1,   60,   11,   59
 859,   11,   59,   11,   58,   10,   48,    1,   36,    1,   50
 860,    0,   63,   10,   58,    1,   60,   10,   62,    1,   64
 861,    1,   23,    0,   35,   11,   54,   10,   45,    1,   28
 862,    1,   34,    0,   53,    1,   17,   11,   56,   10,   53
 863,    0,   63,   11,   62,    0,   51,    0,   40,    1,   25
 864,   11,   55,    1,   44,   11,   64,   10,   65,    0,   34
 865,   11,   56,    1,   35,   10,   40,   11,   65,   10,   56
 866,    1,   22,    1,   27,    1,   40,   10,   55,    0,   25
 867,    0,   22,    1,   25,   10,   59,    1,   45,    1,   17
 868,    1,   16,   10,   65,    0,   41,    0,   63,    1,   44
 869,    1,   35,    0,   31,   11,   59,   10,   44,   11,   61
 870,   11,   57,    0,   30,    1,   57,   11,   55,   10,   40
 871,   10,   50,   10,   59,    1,   39,   10,   53,    1,   29
 872,    1,   51,   11,   63,    1,   58,    0,   33,   10,   49
 873,   10,   56,   10,   50,    0,   59,    1,   14,   10,   51
 874,    0,   42,   11,   60,   10,   44,   10,   58,    0,   24
 875,   11,   62,   10,   44,    1,   38,    0,   23,    0,   20
 876,    0,   19,    1,   22,   10,   44,   10,   54,   11,   61
 877,    1,   48,   11,   64,   10,   39,   10,   53,   11,   60
 878,    0,   56,    1,   43,    1,   34,    0,   42,   10,   60
 879,    1,   22,   11,   64,    1,   63,    0,   23,   11,   54
 880,    0,   64,    0,   53,    1,   42,    1,   19,    0,   47
 881,    0,   44,    0,   56,   10,   62,    1,   19,   11,   61
 882,    0,   28,    0,   51,   11,   57,    0,   25,   11,   62
 883,    0,   58,    0,   23,   10,   52,    0,   37,    0,   22
 884,    1,   20,    1,   51,   10,   60,   11,   57,   10,   41
 885,    1,   34,    0,   56,   10,   54,    1,   19,    0,   27
 886,   11,   54,   11,   59,   10,   61,   10,   54,    0,   28
 887,   10,   64,   10,   36,   11,   64,    0,   37,   10,   48
 888,    1,   55,   11,   60,   10,   45,   10,   54,    1,   13
 889,   11,   58,   11,   55,   10,   65,    0,   42,    1,   33
 890,    1,   32,   11,   54,    0,   36,    1,   47,   11,   60
 891,    1,   50,    0,   42,   11,   62,   11,   65,    0,   57
 892,    1,   23,    1,   21,   10,   51,    0,   56,   10,   36
 893,    1,   54,   10,   53,   11,   59,   10,   61,    0,   37
 894,    0,   61,   10,   59,    0,   45,    0,   41,    1,   41
 895,    0,   45,    0,   47,   11,   56,   11,   63,   10,   61
 896,   10,   57,    1,   61,   10,   55,    1,   48,   10,   49
 897,   10,   62,    1,   30,   10,   38,   11,   64,   10,   62
 898,   11,   56,   10,   52,   10,   49,   11,   58,    0,   19
 899,    0,   54,   11,   62,    1,   58,    1,   64,   11,   55
 900,    0,   64,    0,   21,    1,   51,   10,   38,   11,   62
 901,   10,   40,    0,   58,    0,   26,   10,   54,    0,   26
 902,   11,   58,   11,   62,   11,   56,   10,   53,   10,   44
 903,    0,   50,   11,   55,    0,   54,    0,   58,    1,   35
 904,    0,   39,   11,   63,    0,   27,   10,   53,    0,   29
 905,    0,   22,    0,   57,   10,   63,    0,   21,   10,   59
 906,    0,   45,    1,   25,    1,   17,   10,   51,    1,   29
 907,    1,   32,    1,   15,   10,   38,    1,   44,    1,   55
 908,    0,   31,   10,   64,    0,   27,   10,   55,    1,   18
 909,    0,   39,   10,   62,    0,   29,   10,   41,    0,   29
 910,    1,   48,   10,   45,    1,   19,    0,   65,    1,   45
 911,   10,   61,   11,   56,    0,   26,   10,   55,    0,   35
 912,    0,   30,    0,   55,    0,   65,    1,   27,   11,   58
 913,    1,   24,   10,   38,    0,   36,   11,   59,    0,   55
 914,   11,   57,   10,   55,   11,   62,   10,   50,   10,   58
 915,   11,   61,    0,   28,   11,   55,   11,   57,    0,   64
 916,    1,   56,    0,   37,   11,   54,   10,   65,    0,   47
 917,   10,   55,   11,   57,    1,   24,    0,   61,   11,   61
 918,    0,   29,    0,   43,    1,   48,    1,   23,    1,   52
 919,    1,   22,    0,   18,   10,   52,   10,   48,    1,   50
 920,    0,   18,   11,   59,   10,   65,   10,   42,   10,   47
 921,    1,   28,    1,   32,   10,   38,   11,   61,    0,   50
 922,    0,   23,   10,   60,    1,   23,   11,   59,   10,   41
 923,    0,   36,    0,   48,   11,   55,   10,   52,   11,   62
 924,   11,   54,    0,   60,   11,   57,   10,   46,   11,   60
 925,    0,   52,   10,   48,    1,   40,    0,   39,   11,   59
 926,   10,   45,   11,   57,    0,   24,   10,   58,   11,   65
 927,    1,   29,    1,   34,    0,   38,   10,   63,   10,   50
 928,   11,   62,   11,   60,   11,   55,   11,   56,   11,   62
 929,    1,   38,   10,   64,   10,   56,    0,   27,    0,   58
 930,   11,   54,    0,   38,   10,   51,   10,   65,    0,   55
 931,   11,   62,    1,   17,   10,   36,   11,   64,    0,   29
 932,    1,   32,   11,   63,    1,   25,    1,   32,    0,   56
 933,    1,   23,    1,   18,    1,   31,   11,   61,    1,   25
 934,    1,   14,   10,   46,   11,   64,    0,   35,    0,   52
 935,   11,   63,   10,   44,   11,   56,    1,   64,   11,   63
 936,    0,   38,   10,   60,    0,   55,   11,   61,    0,   55
 937,    1,   16,    0,   30,    0,   19,    1,   15,    1,   53
 938,    0,   53,    1,   58,   10,   53,   11,   55,    1,   23
 939,    1,   13,   11,   54,   10,   51,   10,   36,    0,   31
 940,   11,   65,    1,   62,   10,   48,   11,   57,    1,   57
 941,   11,   62,    1,   12,    0,   47,    1,   27,   11,   61
 942,    1,   33,    1,   59,    0,   56,    1,   21,    1,   31
 943,   10,   48,   11,   63,   11,   63,    1,   22,   10,   41
 944,    1,   12,   10,   50,    0,   29,    1,   44,    0,   37
 945,   11,   60,   10,   43,   10,   40,    1,   51,    1,   46
 946,   11,   65,    1,   56,    1,   51,   11,   56,   10,   48
 947,    1,   34,    0,   21,    1,   34,    0,   28,   10,   42
 948,   11,   56,    0,   51,    1,   33,   10,   49,    1,   29
 949,   11,   55,   10,   58,   11,   63,    0,   26,    1,   21
 950,   11,   62,    1,   57,    0,   48,    0,   27,    0,   32
 951,    1,   39,    1,   23,    1,   32,    0,   42,    1,   22
 952,    1,   33,    1,   34,   10,   50,    0,   59,   10,   56
 953,    1,   34,    1,   19,   10,   65,    0,   54,   10,   53
 954,   10,   42,   10,   50,   10,   53,   10,   37,   11,   62
 955,    0,   28,   10,   48,   11,   54,   10,   59,    1,   63
 956,    0,   33,    1,   15,   10,   56,   11,   55,    1,   43
 957,   10,   55,    1,   58,   11,   63,    0,   24,    0,   60
 958,    0,   36,   11,   65,   11,   60,    1,   51,   10,   56
 959,   10,   51,    1,   58,    0,   47,   10,   53,    0,   38
 960,    1,   47,    1,   16,    0,   45,   10,   40,    1,   53
 961,    1,   18,   11,   58,    0,   55,   11,   57,   10,   55
 962,   10,   56,    1,   41,    0,   65,    0,   37,    0,   34
 963,    0,   35,    0,   51,    1,   63,   11,   54,   11,   64
 964,   11,   57,   10,   63,   11,   64,   11,   62,   11,   65
 965,   11,   58,    0,   23,   10,   38,   11,   65,   10,   63
 966,   11,   64,    0,   29,    0,   42,    1,   39,    0,   37
 967,    1,   61,   11,   56,    1,   61,    0,   41,    1,   42
 968,    1,   27,    0,   22,    1,   59,    1,   44,   10,   64
 969,   10,   48,    1,   44,    0,   39,    0,   29,    1,   55
 970,   10,   54,   11,   57,   11,   59,   11,   61,   10,   58
 971,    1,   59,   11,   63,   10,   36,    0,   58,    0,   47
 972,    0,   26,    1,   30,   10,   46,    1,   28,   10,   37
 973,    0,   42,    0,   49,   10,   39,    1,   56,    1,   47
 974,    0,   27,   10,   41,   10,   61,   10,   36,   11,   57
 975,    1,   27,    0,   49,   10,   37,    1,   51,   11,   65
 976,    0,   23,    0,   20,   11,   56,    0,   30,   10,   63
 977,   11,   64,   11,   63,    0,   40,    0,   34,    1,   49
 978,   10,   49,    1,   50,   10,   51,    0,   61,   10,   41
 979,    1,   18,    0,   54,    1,   36,   10,   48,    1,   32
 980,    1,   51,    0,   28,   10,   55,   11,   54,    0,   21
 981,   11,   54,    0,   24,    0,   50,    1,   48,   10,   64
 982,    1,   45,   10,   39,    0,   29,    1,   21,    1,   23
 983,    1,   47,   11,   58,    0,   64,    1,   63,    1,   56
 984,    0,   18,    0,   45,    0,   35,    1,   14,   11,   62
 985,   11,   59,   10,   37,    0,   43,    0,   24,   10,   36
 986,   10,   41,    0,   35,   11,   63,   10,   52,    1,   24
 987,    0,   60,   11,   62,    1,   37,   11,   64,   11,   58
 988,    1,   52,    0,   27,    0,   61,   11,   63,    0,   60
 989,   11,   54,   11,   56,    1,   28,    1,   51,    1,   56
 990,    1,   12,   11,   59,   11,   54,    1,   43,   11,   60
 991,   11,   60,    1,   29,   11,   63,    0,   33,    1,   24
 992,   10,   46,    0,   54,    0,   34,   11,   63,    1,   35
 993,    1,   49,   11,   63,    0,   19,    1,   63,   10,   47
 994,   11,   60,   10,   52,    0,   51,    0,   23,   10,   36
 995,    1,   26,    1,   34,    1,   16,   10,   43,   11,   55
 996,   11,   61,    1,   41,   10,   52,   11,   60,    0,   53
 997,    0,   55,    1,   21,    1,   48,   11,   61,   11,   56
 998,   10,   40,   11,   65,    0,   50,    0,   26,   10,   43
 999,    0,   57,    0,   24,   11,   65,   10,   45,   10,   53
